STATISTIC Label,Quarter,Sex,NACE Rev 2 Economic Sector,Region,UNIT,VALUE
Persons aged 15-89 years in Employment,2012Q1,Both sexes,All NACE economic sectors,Dublin,Thousand,542.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Construction (F),Dublin,Thousand,16.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,75.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Transportation and storage (H),Dublin,Thousand,30.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,31.6
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Information and communication (J),Dublin,Thousand,44.7
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,43.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Administrative and support service activities (N),Dublin,Thousand,25.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,25.2
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Education (P),Dublin,Thousand,39.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Human health and social work activities (Q),Dublin,Thousand,77.5
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry (B to E),Dublin,Thousand,39.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Industry and Construction (B to F),Dublin,Thousand,56.8
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Services (G to U),Dublin,Thousand,482.9
Persons aged 15-89 years in Employment,2012Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,52.3
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Other NACE activities (R to U),Dublin,Thousand,37.4
Persons aged 15-89 years in Employment,2012Q1,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q1,Male,All NACE economic sectors,Dublin,Thousand,280.6
Persons aged 15-89 years in Employment,2012Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
