STATISTIC,Statistic Label,TLIST(M1),Year,Month,C02076V02508,Age Group,Sex,UNIT,VALUE
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,310,15 - 24 years,Both sexes,Thousand,55.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,310,15 - 24 years,Male,Thousand,31.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,310,15 - 24 years,Female,Thousand,23.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,316,15 - 74 years,Both sexes,Thousand,151.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,316,15 - 74 years,Male,Thousand,86.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,316,15 - 74 years,Female,Thousand,64.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,4350,25 - 74 years,Both sexes,Thousand,95.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,4350,25 - 74 years,Male,Thousand,55.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199801,1998,January,4350,25 - 74 years,Female,Thousand,40.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,310,15 - 24 years,Both sexes,Thousand,54.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,310,15 - 24 years,Male,Thousand,30.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,310,15 - 24 years,Female,Thousand,23.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,316,15 - 74 years,Both sexes,Thousand,153.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,316,15 - 74 years,Male,Thousand,88
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,316,15 - 74 years,Female,Thousand,65.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,4350,25 - 74 years,Both sexes,Thousand,99.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,4350,25 - 74 years,Male,Thousand,57.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199802,1998,February,4350,25 - 74 years,Female,Thousand,42
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,310,15 - 24 years,Both sexes,Thousand,52
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,310,15 - 24 years,Male,Thousand,29.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,310,15 - 24 years,Female,Thousand,22.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,316,15 - 74 years,Both sexes,Thousand,149.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,316,15 - 74 years,Male,Thousand,86
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,316,15 - 74 years,Female,Thousand,63.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,4350,25 - 74 years,Both sexes,Thousand,97.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,4350,25 - 74 years,Male,Thousand,56.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199803,1998,March,4350,25 - 74 years,Female,Thousand,41.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,310,15 - 24 years,Both sexes,Thousand,48
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,310,15 - 24 years,Male,Thousand,27
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,310,15 - 24 years,Female,Thousand,20.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,316,15 - 74 years,Both sexes,Thousand,140.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,316,15 - 74 years,Male,Thousand,81.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,316,15 - 74 years,Female,Thousand,59.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,4350,25 - 74 years,Both sexes,Thousand,92.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,4350,25 - 74 years,Male,Thousand,54
MUM01C01,Seasonally Adjusted Monthly Unemployment,199804,1998,April,4350,25 - 74 years,Female,Thousand,38.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,310,15 - 24 years,Both sexes,Thousand,45.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,310,15 - 24 years,Male,Thousand,25.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,310,15 - 24 years,Female,Thousand,19.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,316,15 - 74 years,Both sexes,Thousand,134.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,316,15 - 74 years,Male,Thousand,78.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,316,15 - 74 years,Female,Thousand,56
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,4350,25 - 74 years,Both sexes,Thousand,88.9
