Routing Key,City,Month,Year,VALUE
A41,Ballyboughal,3,2012,0.0
A41,Ballyboughal,6,2012,0.0
A41,Ballyboughal,9,2012,2.0
A41,Ballyboughal,12,2012,3.0
A41,Ballyboughal,3,2013,5.0
A41,Ballyboughal,6,2013,3.0
A41,Ballyboughal,9,2013,4.0
A41,Ballyboughal,12,2013,4.0
A41,Ballyboughal,3,2014,1.0
A41,Ballyboughal,6,2014,1.0
A41,Ballyboughal,9,2014,1.0
A41,Ballyboughal,12,2014,1.0
A41,Ballyboughal,3,2015,1.0
A41,Ballyboughal,6,2015,0.0
A41,Ballyboughal,9,2015,0.0
A41,Ballyboughal,12,2015,3.0
A41,Ballyboughal,3,2016,5.0
A41,Ballyboughal,6,2016,7.0
A41,Ballyboughal,9,2016,7.0
A41,Ballyboughal,12,2016,8.0
A41,Ballyboughal,3,2017,3.0
A41,Ballyboughal,6,2017,4.0
A41,Ballyboughal,9,2017,5.0
A41,Ballyboughal,12,2017,2.0
A41,Ballyboughal,3,2018,0.0
A41,Ballyboughal,6,2018,0.0
A41,Ballyboughal,9,2018,8.0
A41,Ballyboughal,12,2018,12.0
A41,Ballyboughal,3,2019,24.0
A41,Ballyboughal,6,2019,22.0
A41,Ballyboughal,9,2019,2.0
A41,Ballyboughal,12,2019,0.0
A41,Ballyboughal,3,2020,26.0
A41,Ballyboughal,6,2020,1.0
A41,Ballyboughal,9,2020,3.0
A41,Ballyboughal,12,2020,2.0
A41,Ballyboughal,3,2021,0.0
A41,Ballyboughal,6,2021,2.0
A41,Ballyboughal,9,2021,0.0
A41,Ballyboughal,12,2021,1.0
A41,Ballyboughal,3,2022,0.0
A41,Ballyboughal,6,2022,2.0
A41,Ballyboughal,9,2022,0.0
A41,Ballyboughal,12,2022,1.0
A41,Ballyboughal,3,2023,1.0
A41,Ballyboughal,6,2023,0.0
A41,Ballyboughal,9,2023,1.0
A41,Ballyboughal,12,2023,1.0
A41,Ballyboughal,3,2024,0.0
A41,Ballyboughal,6,2024,0.0
A42,Garristown,3,2012,2.0
A42,Garristown,6,2012,2.0
A42,Garristown,9,2012,3.0
A42,Garristown,12,2012,4.0
A42,Garristown,3,2013,1.0
A42,Garristown,6,2013,0.0
A42,Garristown,9,2013,2.0
A42,Garristown,12,2013,1.0
A42,Garristown,3,2014,0.0
A42,Garristown,6,2014,1.0
A42,Garristown,9,2014,0.0
A42,Garristown,12,2014,1.0
A42,Garristown,3,2015,0.0
A42,Garristown,6,2015,1.0
