"STATISTIC Label","Quarter","Eircode Output","UNIT","VALUE"
"New Dwelling Completion","2012Q1","All","Number","1131"
"New Dwelling Completion","2012Q1","A41: Ballyboughal","Number","0"
"New Dwelling Completion","2012Q1","A42: Garristown","Number","2"
"New Dwelling Completion","2012Q1","A45: Oldtown","Number","0"
"New Dwelling Completion","2012Q1","A63: Greystones","Number","7"
"New Dwelling Completion","2012Q1","A67: Wicklow","Number","8"
"New Dwelling Completion","2012Q1","A75: Castleblaney","Number","8"
"New Dwelling Completion","2012Q1","A81: Carrickmacross","Number","27"
"New Dwelling Completion","2012Q1","A82: Kells","Number","15"
"New Dwelling Completion","2012Q1","A83: Enfield","Number","2"
"New Dwelling Completion","2012Q1","A84: Ashbourne","Number","3"
"New Dwelling Completion","2012Q1","A85: Dunshaughlin","Number","2"
"New Dwelling Completion","2012Q1","A86: Dunboyne","Number","0"
"New Dwelling Completion","2012Q1","A91: Dundalk","Number","10"
"New Dwelling Completion","2012Q1","A92: Drogheda","Number","15"
"New Dwelling Completion","2012Q1","A94: Blackrock","Number","0"
"New Dwelling Completion","2012Q1","A96: Glenageary","Number","4"
"New Dwelling Completion","2012Q1","A98: Bray","Number","3"
"New Dwelling Completion","2012Q1","C15: Navan","Number","19"
"New Dwelling Completion","2012Q1","D01: Dublin 1","Number","37"
"New Dwelling Completion","2012Q1","D02: Dublin 2","Number","2"
"New Dwelling Completion","2012Q1","D03: Dublin 3","Number","1"
"New Dwelling Completion","2012Q1","D04: Dublin 4","Number","4"
"New Dwelling Completion","2012Q1","D05: Dublin 5","Number","2"
"New Dwelling Completion","2012Q1","D06: Dublin 6","Number","2"
"New Dwelling Completion","2012Q1","D07: Dublin 7","Number","3"
"New Dwelling Completion","2012Q1","D08: Dublin 8","Number","3"
"New Dwelling Completion","2012Q1","D09: Dublin 9","Number","0"
"New Dwelling Completion","2012Q1","D10: Dublin 10","Number","0"
"New Dwelling Completion","2012Q1","D11: Dublin 11","Number","2"
"New Dwelling Completion","2012Q1","D12: Dublin 12","Number","1"
"New Dwelling Completion","2012Q1","D13: Dublin 13","Number","3"
"New Dwelling Completion","2012Q1","D14: Dublin 14","Number","0"
"New Dwelling Completion","2012Q1","D15: Dublin 15","Number","1"
"New Dwelling Completion","2012Q1","D16: Dublin 16","Number","3"
"New Dwelling Completion","2012Q1","D17: Dublin 17","Number","0"
"New Dwelling Completion","2012Q1","D18: Dublin 18","Number","7"
"New Dwelling Completion","2012Q1","D20: Dublin 20","Number","0"
"New Dwelling Completion","2012Q1","D22: Dublin 22","Number","1"
"New Dwelling Completion","2012Q1","D24: Dublin 24","Number","8"
"New Dwelling Completion","2012Q1","D6W: Dublin 6W","Number","0"
"New Dwelling Completion","2012Q1","E21: Cahir","Number","1"
"New Dwelling Completion","2012Q1","E25: Cashel","Number","1"
"New Dwelling Completion","2012Q1","E32: Carrick-on-Suir","Number","5"
"New Dwelling Completion","2012Q1","E34: Tipperary","Number","3"
"New Dwelling Completion","2012Q1","E41: Thurles","Number","9"
"New Dwelling Completion","2012Q1","E45: Nenagh","Number","8"
"New Dwelling Completion","2012Q1","E53: Roscrea","Number","14"
"New Dwelling Completion","2012Q1","E91: Clonmel","Number","6"
"New Dwelling Completion","2012Q1","F12: Claremorris","Number","9"
"New Dwelling Completion","2012Q1","F23: Castlebar","Number","3"
"New Dwelling Completion","2012Q1","F26: Ballina","Number","21"
"New Dwelling Completion","2012Q1","F28: Westport","Number","10"
"New Dwelling Completion","2012Q1","F31: Ballinrobe","Number","0"
"New Dwelling Completion","2012Q1","F35: Ballyhaunis","Number","2"
"New Dwelling Completion","2012Q1","F42: Roscommon","Number","4"
"New Dwelling Completion","2012Q1","F45: Castlerea","Number","6"
"New Dwelling Completion","2012Q1","F52: Boyle","Number","8"
"New Dwelling Completion","2012Q1","F56: Ballymote","Number","6"
"New Dwelling Completion","2012Q1","F91: Sligo","Number","58"
"New Dwelling Completion","2012Q1","F92: Letterkenny","Number","17"
"New Dwelling Completion","2012Q1","F93: Lifford","Number","22"
"New Dwelling Completion","2012Q1","F94: Donegal","Number","75"
"New Dwelling Completion","2012Q1","H12: Cavan","Number","8"
"New Dwelling Completion","2012Q1","H14: Belturbet","Number","3"
