Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
A86,Dunboyne,1,2010,All Dwelling Statuses,All Buyer Types,272618.0
A86,Dunboyne,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180355.0
A86,Dunboyne,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,318750.0
A86,Dunboyne,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
A86,Dunboyne,1,2010,New,All Buyer Types,216428.0
A86,Dunboyne,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180355.0
A86,Dunboyne,1,2010,New,Household Buyer - Former Owner-Occupier,252500.0
A86,Dunboyne,1,2010,New,Household Buyer - Non-Occupier,
A86,Dunboyne,1,2010,Existing,All Buyer Types,385000.0
A86,Dunboyne,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
A86,Dunboyne,1,2010,Existing,Household Buyer - Former Owner-Occupier,385000.0
A86,Dunboyne,1,2010,Existing,Household Buyer - Non-Occupier,
A86,Dunboyne,2,2010,All Dwelling Statuses,All Buyer Types,284983.0
A86,Dunboyne,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
A86,Dunboyne,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,375000.0
A86,Dunboyne,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,104950.0
A86,Dunboyne,2,2010,New,All Buyer Types,345000.0
A86,Dunboyne,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
A86,Dunboyne,2,2010,New,Household Buyer - Former Owner-Occupier,345000.0
A86,Dunboyne,2,2010,New,Household Buyer - Non-Occupier,
A86,Dunboyne,2,2010,Existing,All Buyer Types,254975.0
A86,Dunboyne,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
A86,Dunboyne,2,2010,Existing,Household Buyer - Former Owner-Occupier,405000.0
A86,Dunboyne,2,2010,Existing,Household Buyer - Non-Occupier,104950.0
A86,Dunboyne,3,2010,All Dwelling Statuses,All Buyer Types,286500.0
