,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
0,All,1,2010,All Dwelling Statuses,All Buyer Types,284811.0
1,All,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,243164.0
2,All,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,380936.0
3,All,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,230077.0
560,All,1,2010,New,All Buyer Types,259761.0
561,All,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240015.0
562,All,1,2010,New,Household Buyer - Former Owner-Occupier,317829.0
563,All,1,2010,New,Household Buyer - Non-Occupier,204069.0
1120,All,1,2010,Existing,All Buyer Types,294141.0
1121,All,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,244328.0
1122,All,1,2010,Existing,Household Buyer - Former Owner-Occupier,404202.0
1123,All,1,2010,Existing,Household Buyer - Non-Occupier,240352.0
1680,All,2,2010,All Dwelling Statuses,All Buyer Types,269304.0
1681,All,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,237832.0
1682,All,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340059.0
1683,All,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,216253.0
2240,All,2,2010,New,All Buyer Types,251312.0
2241,All,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,241083.0
2242,All,2,2010,New,Household Buyer - Former Owner-Occupier,283898.0
2243,All,2,2010,New,Household Buyer - Non-Occupier,211572.0
2800,All,2,2010,Existing,All Buyer Types,277476.0
2801,All,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,236147.0
2802,All,2,2010,Existing,Household Buyer - Former Owner-Occupier,362484.0
2803,All,2,2010,Existing,Household Buyer - Non-Occupier,217829.0
3360,All,3,2010,All Dwelling Statuses,All Buyer Types,270216.0
3361,All,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,241376.0
3362,All,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,353654.0
3363,All,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,196644.0
3920,All,3,2010,New,All Buyer Types,258606.0
3921,All,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,229754.0
3922,All,3,2010,New,Household Buyer - Former Owner-Occupier,347414.0
3923,All,3,2010,New,Household Buyer - Non-Occupier,216118.0
