,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
540,Y14,1,2010,All Dwelling Statuses,All Buyer Types,201559.0
541,Y14,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183896.0
542,Y14,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,223637.0
543,Y14,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1100,Y14,1,2010,New,All Buyer Types,243007.0
1101,Y14,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,319480.0
1102,Y14,1,2010,New,Household Buyer - Former Owner-Occupier,217516.0
1103,Y14,1,2010,New,Household Buyer - Non-Occupier,
1660,Y14,1,2010,Existing,All Buyer Types,168400.0
1661,Y14,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
1662,Y14,1,2010,Existing,Household Buyer - Former Owner-Occupier,242000.0
1663,Y14,1,2010,Existing,Household Buyer - Non-Occupier,
2220,Y14,2,2010,All Dwelling Statuses,All Buyer Types,191000.0
2221,Y14,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187000.0
2222,Y14,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,199000.0
2223,Y14,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2780,Y14,2,2010,New,All Buyer Types,199000.0
2781,Y14,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2782,Y14,2,2010,New,Household Buyer - Former Owner-Occupier,199000.0
2783,Y14,2,2010,New,Household Buyer - Non-Occupier,
3340,Y14,2,2010,Existing,All Buyer Types,187000.0
3341,Y14,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187000.0
3342,Y14,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3343,Y14,2,2010,Existing,Household Buyer - Non-Occupier,
3900,Y14,3,2010,All Dwelling Statuses,All Buyer Types,241432.0
3901,Y14,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,224648.0
3902,Y14,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,275000.0
3903,Y14,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4460,Y14,3,2010,New,All Buyer Types,299295.0
4461,Y14,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,299295.0
4462,Y14,3,2010,New,Household Buyer - Former Owner-Occupier,
4463,Y14,3,2010,New,Household Buyer - Non-Occupier,
5020,Y14,3,2010,Existing,All Buyer Types,212500.0
5021,Y14,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
5022,Y14,3,2010,Existing,Household Buyer - Former Owner-Occupier,275000.0
5023,Y14,3,2010,Existing,Household Buyer - Non-Occupier,
5580,Y14,4,2010,All Dwelling Statuses,All Buyer Types,200725.0
5581,Y14,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5582,Y14,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,254950.0
5583,Y14,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,146500.0
6140,Y14,4,2010,New,All Buyer Types,205325.0
6141,Y14,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6142,Y14,4,2010,New,Household Buyer - Former Owner-Occupier,215650.0
6143,Y14,4,2010,New,Household Buyer - Non-Occupier,195000.0
6700,Y14,4,2010,Existing,All Buyer Types,196125.0
6701,Y14,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6702,Y14,4,2010,Existing,Household Buyer - Former Owner-Occupier,294250.0
6703,Y14,4,2010,Existing,Household Buyer - Non-Occupier,98000.0
7260,Y14,5,2010,All Dwelling Statuses,All Buyer Types,211325.0
7261,Y14,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,219879.0
7262,Y14,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7263,Y14,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
7820,Y14,5,2010,New,All Buyer Types,187275.0
7821,Y14,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,187275.0
7822,Y14,5,2010,New,Household Buyer - Former Owner-Occupier,
7823,Y14,5,2010,New,Household Buyer - Non-Occupier,
8380,Y14,5,2010,Existing,All Buyer Types,215333.0
8381,Y14,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226400.0
8382,Y14,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8383,Y14,5,2010,Existing,Household Buyer - Non-Occupier,160000.0
8940,Y14,6,2010,All Dwelling Statuses,All Buyer Types,195758.0
8941,Y14,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214979.0
8942,Y14,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,191875.0
8943,Y14,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,136250.0
9500,Y14,6,2010,New,All Buyer Types,178117.0
9501,Y14,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,175925.0
9502,Y14,6,2010,New,Household Buyer - Former Owner-Occupier,
9503,Y14,6,2010,New,Household Buyer - Non-Occupier,182500.0
10060,Y14,6,2010,Existing,All Buyer Types,201050.0
10061,Y14,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230600.0
10062,Y14,6,2010,Existing,Household Buyer - Former Owner-Occupier,191875.0
10063,Y14,6,2010,Existing,Household Buyer - Non-Occupier,90000.0
10620,Y14,7,2010,All Dwelling Statuses,All Buyer Types,163370.0
10621,Y14,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164840.0
10622,Y14,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,196250.0
10623,Y14,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,139000.0
11180,Y14,7,2010,New,All Buyer Types,136200.0
11181,Y14,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,136200.0
11182,Y14,7,2010,New,Household Buyer - Former Owner-Occupier,
11183,Y14,7,2010,New,Household Buyer - Non-Occupier,
11740,Y14,7,2010,Existing,All Buyer Types,166389.0
11741,Y14,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,172000.0
11742,Y14,7,2010,Existing,Household Buyer - Former Owner-Occupier,196250.0
