,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
40,A84,1,2010,All Dwelling Statuses,All Buyer Types,235211.0
41,A84,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235211.0
42,A84,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
43,A84,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
600,A84,1,2010,New,All Buyer Types,265158.0
601,A84,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,265158.0
602,A84,1,2010,New,Household Buyer - Former Owner-Occupier,
603,A84,1,2010,New,Household Buyer - Non-Occupier,
1160,A84,1,2010,Existing,All Buyer Types,212750.0
1161,A84,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,212750.0
1162,A84,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1163,A84,1,2010,Existing,Household Buyer - Non-Occupier,
1720,A84,2,2010,All Dwelling Statuses,All Buyer Types,275398.0
1721,A84,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,283797.0
1722,A84,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225000.0
1723,A84,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2280,A84,2,2010,New,All Buyer Types,292571.0
2281,A84,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,292571.0
2282,A84,2,2010,New,Household Buyer - Former Owner-Occupier,
2283,A84,2,2010,New,Household Buyer - Non-Occupier,
2840,A84,2,2010,Existing,All Buyer Types,252500.0
2841,A84,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,266250.0
2842,A84,2,2010,Existing,Household Buyer - Former Owner-Occupier,225000.0
2843,A84,2,2010,Existing,Household Buyer - Non-Occupier,
3400,A84,3,2010,All Dwelling Statuses,All Buyer Types,292177.0
3401,A84,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,233610.0
3402,A84,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,409311.0
3403,A84,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3960,A84,3,2010,New,All Buyer Types,321531.0
3961,A84,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,299441.0
3962,A84,3,2010,New,Household Buyer - Former Owner-Occupier,343621.0
3963,A84,3,2010,New,Household Buyer - Non-Occupier,
4520,A84,3,2010,Existing,All Buyer Types,277500.0
4521,A84,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,211667.0
4522,A84,3,2010,Existing,Household Buyer - Former Owner-Occupier,475000.0
4523,A84,3,2010,Existing,Household Buyer - Non-Occupier,
5080,A84,4,2010,All Dwelling Statuses,All Buyer Types,272563.0
5081,A84,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,271750.0
5082,A84,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,275000.0
5083,A84,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5640,A84,4,2010,New,All Buyer Types,287500.0
5641,A84,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,300000.0
5642,A84,4,2010,New,Household Buyer - Former Owner-Occupier,275000.0
5643,A84,4,2010,New,Household Buyer - Non-Occupier,
6200,A84,4,2010,Existing,All Buyer Types,257625.0
6201,A84,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,257625.0
6202,A84,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6203,A84,4,2010,Existing,Household Buyer - Non-Occupier,
6760,A84,5,2010,All Dwelling Statuses,All Buyer Types,253129.0
6761,A84,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,212143.0
6762,A84,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,284800.0
6763,A84,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,350000.0
7320,A84,5,2010,New,All Buyer Types,255717.0
7321,A84,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
7322,A84,5,2010,New,Household Buyer - Former Owner-Occupier,283575.0
7323,A84,5,2010,New,Household Buyer - Non-Occupier,
7880,A84,5,2010,Existing,All Buyer Types,251188.0
7881,A84,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,217000.0
7882,A84,5,2010,Existing,Household Buyer - Former Owner-Occupier,287250.0
7883,A84,5,2010,Existing,Household Buyer - Non-Occupier,350000.0
8440,A84,6,2010,All Dwelling Statuses,All Buyer Types,205590.0
8441,A84,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216625.0
8442,A84,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,189037.0
8443,A84,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9000,A84,6,2010,New,All Buyer Types,211150.0
9001,A84,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,255375.0
9002,A84,6,2010,New,Household Buyer - Former Owner-Occupier,189037.0
9003,A84,6,2010,New,Household Buyer - Non-Occupier,
9560,A84,6,2010,Existing,All Buyer Types,197250.0
9561,A84,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,197250.0
9562,A84,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9563,A84,6,2010,Existing,Household Buyer - Non-Occupier,
10120,A84,7,2010,All Dwelling Statuses,All Buyer Types,313443.0
10121,A84,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,258133.0
10122,A84,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,368753.0
10123,A84,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10680,A84,7,2010,New,All Buyer Types,289909.0
10681,A84,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,247510.0
10682,A84,7,2010,New,Household Buyer - Former Owner-Occupier,353507.0
10683,A84,7,2010,New,Household Buyer - Non-Occupier,
11240,A84,7,2010,Existing,All Buyer Types,352667.0
11241,A84,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,290000.0
11242,A84,7,2010,Existing,Household Buyer - Former Owner-Occupier,384000.0
11243,A84,7,2010,Existing,Household Buyer - Non-Occupier,
11800,A84,8,2010,All Dwelling Statuses,All Buyer Types,179175.0
11801,A84,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,179175.0
11802,A84,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11803,A84,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12360,A84,8,2010,New,All Buyer Types,249700.0
12361,A84,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,249700.0
12362,A84,8,2010,New,Household Buyer - Former Owner-Occupier,
12363,A84,8,2010,New,Household Buyer - Non-Occupier,
12920,A84,8,2010,Existing,All Buyer Types,155667.0
12921,A84,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155667.0
12922,A84,8,2010,Existing,Household Buyer - Former Owner-Occupier,
12923,A84,8,2010,Existing,Household Buyer - Non-Occupier,
13480,A84,9,2010,All Dwelling Statuses,All Buyer Types,252233.0
13481,A84,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240929.0
13482,A84,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,282625.0
13483,A84,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,164575.0
14040,A84,9,2010,New,All Buyer Types,245573.0
14041,A84,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240929.0
14042,A84,9,2010,New,Household Buyer - Former Owner-Occupier,340500.0
14043,A84,9,2010,New,Household Buyer - Non-Occupier,164575.0
14600,A84,9,2010,Existing,All Buyer Types,263333.0
14601,A84,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
14602,A84,9,2010,Existing,Household Buyer - Former Owner-Occupier,263333.0
14603,A84,9,2010,Existing,Household Buyer - Non-Occupier,
15160,A84,10,2010,All Dwelling Statuses,All Buyer Types,255343.0
15161,A84,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,267125.0
15162,A84,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,327505.0
