,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
284,H65,1,2010,All Dwelling Statuses,All Buyer Types,189165.0
285,H65,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,224163.0
286,H65,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,222500.0
287,H65,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137500.0
844,H65,1,2010,New,All Buyer Types,219442.0
845,H65,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,224163.0
846,H65,1,2010,New,Household Buyer - Former Owner-Occupier,
847,H65,1,2010,New,Household Buyer - Non-Occupier,210000.0
1404,H65,1,2010,Existing,All Buyer Types,143750.0
1405,H65,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1406,H65,1,2010,Existing,Household Buyer - Former Owner-Occupier,222500.0
1407,H65,1,2010,Existing,Household Buyer - Non-Occupier,65000.0
1964,H65,2,2010,All Dwelling Statuses,All Buyer Types,213122.0
1965,H65,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,219426.0
1966,H65,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,181600.0
1967,H65,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2524,H65,2,2010,New,All Buyer Types,205746.0
2525,H65,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211782.0
2526,H65,2,2010,New,Household Buyer - Former Owner-Occupier,181600.0
2527,H65,2,2010,New,Household Buyer - Non-Occupier,
3084,H65,2,2010,Existing,All Buyer Types,250000.0
3085,H65,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,250000.0
3086,H65,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3087,H65,2,2010,Existing,Household Buyer - Non-Occupier,
3644,H65,3,2010,All Dwelling Statuses,All Buyer Types,245910.0
3645,H65,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153775.0
3646,H65,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,147000.0
3647,H65,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,387500.0
