,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
324,N37,1,2010,All Dwelling Statuses,All Buyer Types,264227.0
325,N37,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,317568.0
326,N37,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,228667.0
327,N37,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
884,N37,1,2010,New,All Buyer Types,240135.0
885,N37,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240135.0
886,N37,1,2010,New,Household Buyer - Former Owner-Occupier,
887,N37,1,2010,New,Household Buyer - Non-Occupier,
1444,N37,1,2010,Existing,All Buyer Types,270250.0
1445,N37,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,395000.0
1446,N37,1,2010,Existing,Household Buyer - Former Owner-Occupier,228667.0
1447,N37,1,2010,Existing,Household Buyer - Non-Occupier,
2004,N37,2,2010,All Dwelling Statuses,All Buyer Types,236421.0
2005,N37,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235702.0
2006,N37,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,75000.0
2007,N37,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,399999.0
2564,N37,2,2010,New,All Buyer Types,276776.0
2565,N37,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,235702.0
2566,N37,2,2010,New,Household Buyer - Former Owner-Occupier,
2567,N37,2,2010,New,Household Buyer - Non-Occupier,399999.0
3124,N37,2,2010,Existing,All Buyer Types,75000.0
3125,N37,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3126,N37,2,2010,Existing,Household Buyer - Former Owner-Occupier,75000.0
3127,N37,2,2010,Existing,Household Buyer - Non-Occupier,
3684,N37,3,2010,All Dwelling Statuses,All Buyer Types,211948.0
3685,N37,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177935.0
3686,N37,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,348000.0
3687,N37,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4244,N37,3,2010,New,All Buyer Types,245579.0
4245,N37,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,194369.0
4246,N37,3,2010,New,Household Buyer - Former Owner-Occupier,348000.0
4247,N37,3,2010,New,Household Buyer - Non-Occupier,
4804,N37,3,2010,Existing,All Buyer Types,161500.0
4805,N37,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,161500.0
4806,N37,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4807,N37,3,2010,Existing,Household Buyer - Non-Occupier,
5364,N37,4,2010,All Dwelling Statuses,All Buyer Types,168937.0
5365,N37,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175073.0
5366,N37,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,152500.0
5367,N37,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,165000.0
5924,N37,4,2010,New,All Buyer Types,183087.0
5925,N37,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,187609.0
5926,N37,4,2010,New,Household Buyer - Former Owner-Occupier,
5927,N37,4,2010,New,Household Buyer - Non-Occupier,165000.0
6484,N37,4,2010,Existing,All Buyer Types,151250.0
6485,N37,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
6486,N37,4,2010,Existing,Household Buyer - Former Owner-Occupier,152500.0
6487,N37,4,2010,Existing,Household Buyer - Non-Occupier,
7044,N37,5,2010,All Dwelling Statuses,All Buyer Types,146250.0
7045,N37,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
7046,N37,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,165000.0
7047,N37,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,90000.0
7604,N37,5,2010,New,All Buyer Types,207500.0
7605,N37,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
7606,N37,5,2010,New,Household Buyer - Former Owner-Occupier,249999.0
7607,N37,5,2010,New,Household Buyer - Non-Occupier,
8164,N37,5,2010,Existing,All Buyer Types,85000.0
8165,N37,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8166,N37,5,2010,Existing,Household Buyer - Former Owner-Occupier,80000.0
8167,N37,5,2010,Existing,Household Buyer - Non-Occupier,90000.0
8724,N37,6,2010,All Dwelling Statuses,All Buyer Types,273250.0
8725,N37,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,272500.0
8726,N37,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,383000.0
8727,N37,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,165000.0
9284,N37,6,2010,New,All Buyer Types,383000.0
9285,N37,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9286,N37,6,2010,New,Household Buyer - Former Owner-Occupier,383000.0
9287,N37,6,2010,New,Household Buyer - Non-Occupier,
9844,N37,6,2010,Existing,All Buyer Types,236667.0
9845,N37,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,272500.0
9846,N37,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9847,N37,6,2010,Existing,Household Buyer - Non-Occupier,165000.0
10404,N37,7,2010,All Dwelling Statuses,All Buyer Types,214023.0
10405,N37,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195600.0
10406,N37,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,297500.0
10407,N37,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,192866.0
10964,N37,7,2010,New,All Buyer Types,210985.0
10965,N37,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,225480.0
10966,N37,7,2010,New,Household Buyer - Former Owner-Occupier,
10967,N37,7,2010,New,Household Buyer - Non-Occupier,192866.0
11524,N37,7,2010,Existing,All Buyer Types,217929.0
11525,N37,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158250.0
