,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
412,R14,1,2010,All Dwelling Statuses,All Buyer Types,250800.0
413,R14,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
414,R14,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278000.0
415,R14,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
972,R14,1,2010,New,All Buyer Types,
973,R14,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
974,R14,1,2010,New,Household Buyer - Former Owner-Occupier,
975,R14,1,2010,New,Household Buyer - Non-Occupier,
1532,R14,1,2010,Existing,All Buyer Types,250800.0
1533,R14,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
1534,R14,1,2010,Existing,Household Buyer - Former Owner-Occupier,278000.0
1535,R14,1,2010,Existing,Household Buyer - Non-Occupier,
2092,R14,2,2010,All Dwelling Statuses,All Buyer Types,178131.0
2093,R14,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,194758.0
2094,R14,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2095,R14,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,95000.0
2652,R14,2,2010,New,All Buyer Types,218447.0
2653,R14,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,218447.0
2654,R14,2,2010,New,Household Buyer - Former Owner-Occupier,
2655,R14,2,2010,New,Household Buyer - Non-Occupier,
3212,R14,2,2010,Existing,All Buyer Types,97500.0
3213,R14,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,100000.0
3214,R14,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3215,R14,2,2010,Existing,Household Buyer - Non-Occupier,95000.0
3772,R14,3,2010,All Dwelling Statuses,All Buyer Types,219406.0
3773,R14,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218767.0
3774,R14,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,221325.0
3775,R14,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4332,R14,3,2010,New,All Buyer Types,217542.0
4333,R14,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215650.0
4334,R14,3,2010,New,Household Buyer - Former Owner-Occupier,221325.0
4335,R14,3,2010,New,Household Buyer - Non-Occupier,
4892,R14,3,2010,Existing,All Buyer Types,225000.0
4893,R14,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
4894,R14,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4895,R14,3,2010,Existing,Household Buyer - Non-Occupier,
5452,R14,4,2010,All Dwelling Statuses,All Buyer Types,161882.0
5453,R14,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,176205.0
5454,R14,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,126075.0
5455,R14,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6012,R14,4,2010,New,All Buyer Types,191134.0
6013,R14,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234508.0
6014,R14,4,2010,New,Household Buyer - Former Owner-Occupier,126075.0
6015,R14,4,2010,New,Household Buyer - Non-Occupier,
6572,R14,4,2010,Existing,All Buyer Types,88750.0
6573,R14,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,88750.0
6574,R14,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6575,R14,4,2010,Existing,Household Buyer - Non-Occupier,
7132,R14,5,2010,All Dwelling Statuses,All Buyer Types,260990.0
7133,R14,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,278983.0
