,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
296,K32,1,2010,All Dwelling Statuses,All Buyer Types,238338.0
297,K32,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,259813.0
298,K32,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224750.0
299,K32,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,187500.0
856,K32,1,2010,New,All Buyer Types,368875.0
857,K32,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,368875.0
858,K32,1,2010,New,Household Buyer - Former Owner-Occupier,
859,K32,1,2010,New,Household Buyer - Non-Occupier,
1416,K32,1,2010,Existing,All Buyer Types,223833.0
1417,K32,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,238000.0
1418,K32,1,2010,Existing,Household Buyer - Former Owner-Occupier,224750.0
1419,K32,1,2010,Existing,Household Buyer - Non-Occupier,187500.0
1976,K32,2,2010,All Dwelling Statuses,All Buyer Types,202386.0
1977,K32,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172340.0
1978,K32,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,279356.0
1979,K32,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,225000.0
2536,K32,2,2010,New,All Buyer Types,199417.0
2537,K32,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,154535.0
2538,K32,2,2010,New,Household Buyer - Former Owner-Occupier,304142.0
2539,K32,2,2010,New,Household Buyer - Non-Occupier,
3096,K32,2,2010,Existing,All Buyer Types,207333.0
3097,K32,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,203500.0
3098,K32,2,2010,Existing,Household Buyer - Former Owner-Occupier,205000.0
3099,K32,2,2010,Existing,Household Buyer - Non-Occupier,225000.0
3656,K32,3,2010,All Dwelling Statuses,All Buyer Types,211715.0
3657,K32,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,225187.0
3658,K32,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,205763.0
3659,K32,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,152500.0
4216,K32,3,2010,New,All Buyer Types,204674.0
4217,K32,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,207889.0
4218,K32,3,2010,New,Household Buyer - Former Owner-Occupier,191815.0
4219,K32,3,2010,New,Household Buyer - Non-Occupier,
4776,K32,3,2010,Existing,All Buyer Types,214423.0
4777,K32,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,235071.0
4778,K32,3,2010,Existing,Household Buyer - Former Owner-Occupier,209250.0
4779,K32,3,2010,Existing,Household Buyer - Non-Occupier,152500.0
5336,K32,4,2010,All Dwelling Statuses,All Buyer Types,191935.0
5337,K32,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,191935.0
5338,K32,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5339,K32,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5896,K32,4,2010,New,All Buyer Types,187580.0
5897,K32,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,187580.0
5898,K32,4,2010,New,Household Buyer - Former Owner-Occupier,
5899,K32,4,2010,New,Household Buyer - Non-Occupier,
6456,K32,4,2010,Existing,All Buyer Types,205000.0
6457,K32,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
6458,K32,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6459,K32,4,2010,Existing,Household Buyer - Non-Occupier,
7016,K32,5,2010,All Dwelling Statuses,All Buyer Types,182547.0
7017,K32,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178423.0
7018,K32,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203165.0
7019,K32,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7576,K32,5,2010,New,All Buyer Types,189093.0
7577,K32,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,182058.0
7578,K32,5,2010,New,Household Buyer - Former Owner-Occupier,203165.0
