,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
204,F26,1,2010,All Dwelling Statuses,All Buyer Types,161500.0
205,F26,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,245000.0
206,F26,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
207,F26,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140625.0
764,F26,1,2010,New,All Buyer Types,
765,F26,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
766,F26,1,2010,New,Household Buyer - Former Owner-Occupier,
767,F26,1,2010,New,Household Buyer - Non-Occupier,
1324,F26,1,2010,Existing,All Buyer Types,161500.0
1325,F26,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,245000.0
1326,F26,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1327,F26,1,2010,Existing,Household Buyer - Non-Occupier,140625.0
1884,F26,2,2010,All Dwelling Statuses,All Buyer Types,214959.0
1885,F26,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167000.0
1886,F26,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,241755.0
1887,F26,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,273500.0
2444,F26,2,2010,New,All Buyer Types,213378.0
2445,F26,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
2446,F26,2,2010,New,Household Buyer - Former Owner-Occupier,241755.0
2447,F26,2,2010,New,Household Buyer - Non-Occupier,
3004,F26,2,2010,Existing,All Buyer Types,215750.0
3005,F26,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
3006,F26,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3007,F26,2,2010,Existing,Household Buyer - Non-Occupier,273500.0
3564,F26,3,2010,All Dwelling Statuses,All Buyer Types,179600.0
3565,F26,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,148000.0
3566,F26,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,144000.0
3567,F26,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,202000.0
4124,F26,3,2010,New,All Buyer Types,
4125,F26,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4126,F26,3,2010,New,Household Buyer - Former Owner-Occupier,
4127,F26,3,2010,New,Household Buyer - Non-Occupier,
4684,F26,3,2010,Existing,All Buyer Types,179600.0
4685,F26,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,148000.0
4686,F26,3,2010,Existing,Household Buyer - Former Owner-Occupier,144000.0
4687,F26,3,2010,Existing,Household Buyer - Non-Occupier,202000.0
5244,F26,4,2010,All Dwelling Statuses,All Buyer Types,194932.0
5245,F26,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217850.0
5246,F26,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,172000.0
