,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
272,H53,1,2010,All Dwelling Statuses,All Buyer Types,173523.0
273,H53,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183303.0
274,H53,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
275,H53,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,168633.0
832,H53,1,2010,New,All Buyer Types,173523.0
833,H53,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,183303.0
834,H53,1,2010,New,Household Buyer - Former Owner-Occupier,
835,H53,1,2010,New,Household Buyer - Non-Occupier,168633.0
1392,H53,1,2010,Existing,All Buyer Types,
1393,H53,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1394,H53,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1395,H53,1,2010,Existing,Household Buyer - Non-Occupier,
1952,H53,2,2010,All Dwelling Statuses,All Buyer Types,162610.0
1953,H53,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,149253.0
1954,H53,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170624.0
1955,H53,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2512,H53,2,2010,New,All Buyer Types,148376.0
2513,H53,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,149253.0
2514,H53,2,2010,New,Household Buyer - Former Owner-Occupier,147061.0
2515,H53,2,2010,New,Household Buyer - Non-Occupier,
3072,H53,2,2010,Existing,All Buyer Types,186333.0
3073,H53,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3074,H53,2,2010,Existing,Household Buyer - Former Owner-Occupier,186333.0
3075,H53,2,2010,Existing,Household Buyer - Non-Occupier,
3632,H53,3,2010,All Dwelling Statuses,All Buyer Types,155840.0
3633,H53,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,162008.0
3634,H53,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,125000.0
3635,H53,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4192,H53,3,2010,New,All Buyer Types,190680.0
4193,H53,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,190680.0
4194,H53,3,2010,New,Household Buyer - Former Owner-Occupier,
4195,H53,3,2010,New,Household Buyer - Non-Occupier,
