,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
360,P31,1,2010,All Dwelling Statuses,All Buyer Types,389105.0
361,P31,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,299917.0
362,P31,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,522888.0
363,P31,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
920,P31,1,2010,New,All Buyer Types,333508.0
921,P31,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,349875.0
922,P31,1,2010,New,Household Buyer - Former Owner-Occupier,300775.0
923,P31,1,2010,New,Household Buyer - Non-Occupier,
1480,P31,1,2010,Existing,All Buyer Types,472500.0
1481,P31,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
1482,P31,1,2010,Existing,Household Buyer - Former Owner-Occupier,745000.0
1483,P31,1,2010,Existing,Household Buyer - Non-Occupier,
2040,P31,2,2010,All Dwelling Statuses,All Buyer Types,257289.0
2041,P31,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,285205.0
2042,P31,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2043,P31,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,187500.0
2600,P31,2,2010,New,All Buyer Types,377388.0
2601,P31,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,377388.0
2602,P31,2,2010,New,Household Buyer - Former Owner-Occupier,
2603,P31,2,2010,New,Household Buyer - Non-Occupier,
3160,P31,2,2010,Existing,All Buyer Types,209250.0
3161,P31,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223750.0
3162,P31,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3163,P31,2,2010,Existing,Household Buyer - Non-Occupier,187500.0
3720,P31,3,2010,All Dwelling Statuses,All Buyer Types,378137.0
3721,P31,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,265574.0
3722,P31,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,535725.0
3723,P31,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4280,P31,3,2010,New,All Buyer Types,352183.0
4281,P31,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,264804.0
4282,P31,3,2010,New,Household Buyer - Former Owner-Occupier,461406.0
4283,P31,3,2010,New,Household Buyer - Non-Occupier,
4840,P31,3,2010,Existing,All Buyer Types,456000.0
4841,P31,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,267500.0
4842,P31,3,2010,Existing,Household Buyer - Former Owner-Occupier,833000.0
4843,P31,3,2010,Existing,Household Buyer - Non-Occupier,
5400,P31,4,2010,All Dwelling Statuses,All Buyer Types,322922.0
5401,P31,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,315875.0
5402,P31,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,329969.0
5403,P31,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5960,P31,4,2010,New,All Buyer Types,314438.0
5961,P31,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5962,P31,4,2010,New,Household Buyer - Former Owner-Occupier,314438.0
5963,P31,4,2010,New,Household Buyer - Non-Occupier,
6520,P31,4,2010,Existing,All Buyer Types,325750.0
6521,P31,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,315875.0
6522,P31,4,2010,Existing,Household Buyer - Former Owner-Occupier,345500.0
6523,P31,4,2010,Existing,Household Buyer - Non-Occupier,
7080,P31,5,2010,All Dwelling Statuses,All Buyer Types,246938.0
7081,P31,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,259079.0
7082,P31,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,230750.0
7083,P31,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7640,P31,5,2010,New,All Buyer Types,338090.0
7641,P31,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,309408.0
7642,P31,5,2010,New,Household Buyer - Former Owner-Occupier,376333.0
7643,P31,5,2010,New,Household Buyer - Non-Occupier,
8200,P31,5,2010,Existing,All Buyer Types,155786.0
8201,P31,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,208750.0
8202,P31,5,2010,Existing,Household Buyer - Former Owner-Occupier,85167.0
8203,P31,5,2010,Existing,Household Buyer - Non-Occupier,
8760,P31,6,2010,All Dwelling Statuses,All Buyer Types,308883.0
8761,P31,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,259622.0
8762,P31,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,456667.0
8763,P31,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9320,P31,6,2010,New,All Buyer Types,336250.0
9321,P31,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,232500.0
9322,P31,6,2010,New,Household Buyer - Former Owner-Occupier,440000.0
9323,P31,6,2010,New,Household Buyer - Non-Occupier,
9880,P31,6,2010,Existing,All Buyer Types,295200.0
9881,P31,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,267371.0
9882,P31,6,2010,Existing,Household Buyer - Former Owner-Occupier,490000.0
9883,P31,6,2010,Existing,Household Buyer - Non-Occupier,
10440,P31,7,2010,All Dwelling Statuses,All Buyer Types,232520.0
10441,P31,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218623.0
10442,P31,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,255683.0
10443,P31,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11000,P31,7,2010,New,All Buyer Types,227721.0
11001,P31,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,236945.0
11002,P31,7,2010,New,Household Buyer - Former Owner-Occupier,181600.0
11003,P31,7,2010,New,Household Buyer - Non-Occupier,
11560,P31,7,2010,Existing,All Buyer Types,235400.0
11561,P31,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200300.0
11562,P31,7,2010,Existing,Household Buyer - Former Owner-Occupier,270500.0
11563,P31,7,2010,Existing,Household Buyer - Non-Occupier,
12120,P31,8,2010,All Dwelling Statuses,All Buyer Types,227175.0
12121,P31,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199000.0
12122,P31,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,284863.0
12123,P31,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,250000.0
12680,P31,8,2010,New,All Buyer Types,193575.0
12681,P31,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161250.0
12682,P31,8,2010,New,Household Buyer - Former Owner-Occupier,258226.0
12683,P31,8,2010,New,Household Buyer - Non-Occupier,
13240,P31,8,2010,Existing,All Buyer Types,252375.0
13241,P31,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,229200.0
13242,P31,8,2010,Existing,Household Buyer - Former Owner-Occupier,311500.0
13243,P31,8,2010,Existing,Household Buyer - Non-Occupier,250000.0
13800,P31,9,2010,All Dwelling Statuses,All Buyer Types,277731.0
13801,P31,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,221855.0
13802,P31,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,305668.0
13803,P31,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14360,P31,9,2010,New,All Buyer Types,351292.0
14361,P31,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,300775.0
14362,P31,9,2010,New,Household Buyer - Former Owner-Occupier,363921.0
14363,P31,9,2010,New,Household Buyer - Non-Occupier,
14920,P31,9,2010,Existing,All Buyer Types,240950.0
14921,P31,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202125.0
14922,P31,9,2010,Existing,Household Buyer - Former Owner-Occupier,266833.0
14923,P31,9,2010,Existing,Household Buyer - Non-Occupier,
15480,P31,10,2010,All Dwelling Statuses,All Buyer Types,255960.0
15481,P31,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218950.0
15482,P31,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,404000.0
15483,P31,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
16040,P31,10,2010,New,All Buyer Types,280799.0
16041,P31,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,280799.0
16042,P31,10,2010,New,Household Buyer - Former Owner-Occupier,
16043,P31,10,2010,New,Household Buyer - Non-Occupier,
16600,P31,10,2010,Existing,All Buyer Types,249750.0
16601,P31,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,198333.0
16602,P31,10,2010,Existing,Household Buyer - Former Owner-Occupier,404000.0
16603,P31,10,2010,Existing,Household Buyer - Non-Occupier,
17160,P31,11,2010,All Dwelling Statuses,All Buyer Types,275143.0
17161,P31,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,246000.0
17162,P31,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,352666.0
17163,P31,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
17720,P31,11,2010,New,All Buyer Types,304999.0
17721,P31,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17722,P31,11,2010,New,Household Buyer - Former Owner-Occupier,304999.0
17723,P31,11,2010,New,Household Buyer - Non-Occupier,
18280,P31,11,2010,Existing,All Buyer Types,270167.0
18281,P31,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,246000.0
18282,P31,11,2010,Existing,Household Buyer - Former Owner-Occupier,376500.0
18283,P31,11,2010,Existing,Household Buyer - Non-Occupier,130000.0
