,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
212,F31,1,2010,All Dwelling Statuses,All Buyer Types,
213,F31,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
214,F31,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
215,F31,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
772,F31,1,2010,New,All Buyer Types,
773,F31,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
774,F31,1,2010,New,Household Buyer - Former Owner-Occupier,
775,F31,1,2010,New,Household Buyer - Non-Occupier,
1332,F31,1,2010,Existing,All Buyer Types,
1333,F31,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1334,F31,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1335,F31,1,2010,Existing,Household Buyer - Non-Occupier,
1892,F31,2,2010,All Dwelling Statuses,All Buyer Types,196400.0
1893,F31,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1894,F31,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,196400.0
1895,F31,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2452,F31,2,2010,New,All Buyer Types,197800.0
2453,F31,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2454,F31,2,2010,New,Household Buyer - Former Owner-Occupier,197800.0
2455,F31,2,2010,New,Household Buyer - Non-Occupier,
3012,F31,2,2010,Existing,All Buyer Types,195000.0
3013,F31,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3014,F31,2,2010,Existing,Household Buyer - Former Owner-Occupier,195000.0
3015,F31,2,2010,Existing,Household Buyer - Non-Occupier,
3572,F31,3,2010,All Dwelling Statuses,All Buyer Types,
3573,F31,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3574,F31,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3575,F31,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4132,F31,3,2010,New,All Buyer Types,
4133,F31,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4134,F31,3,2010,New,Household Buyer - Former Owner-Occupier,
4135,F31,3,2010,New,Household Buyer - Non-Occupier,
4692,F31,3,2010,Existing,All Buyer Types,
4693,F31,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4694,F31,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4695,F31,3,2010,Existing,Household Buyer - Non-Occupier,
5252,F31,4,2010,All Dwelling Statuses,All Buyer Types,170000.0
5253,F31,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
5254,F31,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5255,F31,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5812,F31,4,2010,New,All Buyer Types,
5813,F31,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5814,F31,4,2010,New,Household Buyer - Former Owner-Occupier,
5815,F31,4,2010,New,Household Buyer - Non-Occupier,
6372,F31,4,2010,Existing,All Buyer Types,170000.0
6373,F31,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
6374,F31,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6375,F31,4,2010,Existing,Household Buyer - Non-Occupier,
6932,F31,5,2010,All Dwelling Statuses,All Buyer Types,155817.0
6933,F31,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
6934,F31,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,176000.0
6935,F31,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135633.0
7492,F31,5,2010,New,All Buyer Types,135633.0
7493,F31,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7494,F31,5,2010,New,Household Buyer - Former Owner-Occupier,
7495,F31,5,2010,New,Household Buyer - Non-Occupier,135633.0
8052,F31,5,2010,Existing,All Buyer Types,176000.0
8053,F31,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8054,F31,5,2010,Existing,Household Buyer - Former Owner-Occupier,176000.0
8055,F31,5,2010,Existing,Household Buyer - Non-Occupier,
8612,F31,6,2010,All Dwelling Statuses,All Buyer Types,150350.0
8613,F31,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8614,F31,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8615,F31,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150350.0
9172,F31,6,2010,New,All Buyer Types,150350.0
9173,F31,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9174,F31,6,2010,New,Household Buyer - Former Owner-Occupier,
9175,F31,6,2010,New,Household Buyer - Non-Occupier,150350.0
9732,F31,6,2010,Existing,All Buyer Types,
9733,F31,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9734,F31,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9735,F31,6,2010,Existing,Household Buyer - Non-Occupier,
10292,F31,7,2010,All Dwelling Statuses,All Buyer Types,145005.0
10293,F31,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
10294,F31,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,146854.0
10295,F31,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,141308.0
10852,F31,7,2010,New,All Buyer Types,147508.0
10853,F31,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10854,F31,7,2010,New,Household Buyer - Former Owner-Occupier,153707.0
10855,F31,7,2010,New,Household Buyer - Non-Occupier,141308.0
11412,F31,7,2010,Existing,All Buyer Types,140000.0
11413,F31,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
11414,F31,7,2010,Existing,Household Buyer - Former Owner-Occupier,140000.0
11415,F31,7,2010,Existing,Household Buyer - Non-Occupier,
11972,F31,8,2010,All Dwelling Statuses,All Buyer Types,
11973,F31,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
11974,F31,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11975,F31,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12532,F31,8,2010,New,All Buyer Types,
12533,F31,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12534,F31,8,2010,New,Household Buyer - Former Owner-Occupier,
12535,F31,8,2010,New,Household Buyer - Non-Occupier,
13092,F31,8,2010,Existing,All Buyer Types,
13093,F31,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13094,F31,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13095,F31,8,2010,Existing,Household Buyer - Non-Occupier,
13652,F31,9,2010,All Dwelling Statuses,All Buyer Types,184665.0
13653,F31,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,179330.0
13654,F31,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,190000.0
13655,F31,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14212,F31,9,2010,New,All Buyer Types,179330.0
14213,F31,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,179330.0
14214,F31,9,2010,New,Household Buyer - Former Owner-Occupier,
14215,F31,9,2010,New,Household Buyer - Non-Occupier,
