,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
4,A41,1,2010,All Dwelling Statuses,All Buyer Types,
5,A41,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
6,A41,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7,A41,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
564,A41,1,2010,New,All Buyer Types,
565,A41,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
566,A41,1,2010,New,Household Buyer - Former Owner-Occupier,
567,A41,1,2010,New,Household Buyer - Non-Occupier,
1124,A41,1,2010,Existing,All Buyer Types,
1125,A41,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1126,A41,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1127,A41,1,2010,Existing,Household Buyer - Non-Occupier,
1684,A41,2,2010,All Dwelling Statuses,All Buyer Types,
1685,A41,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1686,A41,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1687,A41,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2244,A41,2,2010,New,All Buyer Types,
2245,A41,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2246,A41,2,2010,New,Household Buyer - Former Owner-Occupier,
2247,A41,2,2010,New,Household Buyer - Non-Occupier,
2804,A41,2,2010,Existing,All Buyer Types,
2805,A41,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2806,A41,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2807,A41,2,2010,Existing,Household Buyer - Non-Occupier,
3364,A41,3,2010,All Dwelling Statuses,All Buyer Types,
3365,A41,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3366,A41,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3367,A41,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3924,A41,3,2010,New,All Buyer Types,
3925,A41,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
3926,A41,3,2010,New,Household Buyer - Former Owner-Occupier,
3927,A41,3,2010,New,Household Buyer - Non-Occupier,
4484,A41,3,2010,Existing,All Buyer Types,
4485,A41,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4486,A41,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4487,A41,3,2010,Existing,Household Buyer - Non-Occupier,
5044,A41,4,2010,All Dwelling Statuses,All Buyer Types,
5045,A41,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5046,A41,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5047,A41,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5604,A41,4,2010,New,All Buyer Types,
5605,A41,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5606,A41,4,2010,New,Household Buyer - Former Owner-Occupier,
5607,A41,4,2010,New,Household Buyer - Non-Occupier,
6164,A41,4,2010,Existing,All Buyer Types,
6165,A41,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6166,A41,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6167,A41,4,2010,Existing,Household Buyer - Non-Occupier,
6724,A41,5,2010,All Dwelling Statuses,All Buyer Types,
6725,A41,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
6726,A41,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
6727,A41,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7284,A41,5,2010,New,All Buyer Types,
7285,A41,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7286,A41,5,2010,New,Household Buyer - Former Owner-Occupier,
7287,A41,5,2010,New,Household Buyer - Non-Occupier,
7844,A41,5,2010,Existing,All Buyer Types,
7845,A41,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
7846,A41,5,2010,Existing,Household Buyer - Former Owner-Occupier,
7847,A41,5,2010,Existing,Household Buyer - Non-Occupier,
8404,A41,6,2010,All Dwelling Statuses,All Buyer Types,
8405,A41,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8406,A41,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8407,A41,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
8964,A41,6,2010,New,All Buyer Types,
8965,A41,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
8966,A41,6,2010,New,Household Buyer - Former Owner-Occupier,
8967,A41,6,2010,New,Household Buyer - Non-Occupier,
9524,A41,6,2010,Existing,All Buyer Types,
9525,A41,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
