,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
216,F35,1,2010,All Dwelling Statuses,All Buyer Types,130000.0
217,F35,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,130000.0
218,F35,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
219,F35,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
776,F35,1,2010,New,All Buyer Types,130000.0
777,F35,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,130000.0
778,F35,1,2010,New,Household Buyer - Former Owner-Occupier,
779,F35,1,2010,New,Household Buyer - Non-Occupier,
1336,F35,1,2010,Existing,All Buyer Types,
1337,F35,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1338,F35,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1339,F35,1,2010,Existing,Household Buyer - Non-Occupier,
1896,F35,2,2010,All Dwelling Statuses,All Buyer Types,94167.0
1897,F35,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,112500.0
1898,F35,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,45000.0
1899,F35,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
2456,F35,2,2010,New,All Buyer Types,
2457,F35,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2458,F35,2,2010,New,Household Buyer - Former Owner-Occupier,
2459,F35,2,2010,New,Household Buyer - Non-Occupier,
3016,F35,2,2010,Existing,All Buyer Types,94167.0
3017,F35,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,112500.0
3018,F35,2,2010,Existing,Household Buyer - Former Owner-Occupier,45000.0
3019,F35,2,2010,Existing,Household Buyer - Non-Occupier,125000.0
3576,F35,3,2010,All Dwelling Statuses,All Buyer Types,150000.0
3577,F35,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
3578,F35,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3579,F35,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4136,F35,3,2010,New,All Buyer Types,150000.0
4137,F35,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
4138,F35,3,2010,New,Household Buyer - Former Owner-Occupier,
4139,F35,3,2010,New,Household Buyer - Non-Occupier,
4696,F35,3,2010,Existing,All Buyer Types,
4697,F35,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4698,F35,3,2010,Existing,Household Buyer - Former Owner-Occupier,
