,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
232,F56,1,2010,All Dwelling Statuses,All Buyer Types,177976.0
233,F56,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,173721.0
234,F56,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
235,F56,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,195000.0
792,F56,1,2010,New,All Buyer Types,173721.0
793,F56,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,173721.0
794,F56,1,2010,New,Household Buyer - Former Owner-Occupier,
795,F56,1,2010,New,Household Buyer - Non-Occupier,
1352,F56,1,2010,Existing,All Buyer Types,195000.0
1353,F56,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1354,F56,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1355,F56,1,2010,Existing,Household Buyer - Non-Occupier,195000.0
1912,F56,2,2010,All Dwelling Statuses,All Buyer Types,175254.0
1913,F56,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
1914,F56,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,201463.0
1915,F56,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,120000.0
2472,F56,2,2010,New,All Buyer Types,202882.0
2473,F56,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
2474,F56,2,2010,New,Household Buyer - Former Owner-Occupier,201463.0
2475,F56,2,2010,New,Household Buyer - Non-Occupier,
3032,F56,2,2010,Existing,All Buyer Types,120000.0
3033,F56,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3034,F56,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3035,F56,2,2010,Existing,Household Buyer - Non-Occupier,120000.0
3592,F56,3,2010,All Dwelling Statuses,All Buyer Types,178640.0
3593,F56,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164776.0
3594,F56,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257000.0
3595,F56,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,141875.0
4152,F56,3,2010,New,All Buyer Types,167292.0
4153,F56,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
