,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
396,P72,1,2010,All Dwelling Statuses,All Buyer Types,325000.0
397,P72,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
398,P72,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
399,P72,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
956,P72,1,2010,New,All Buyer Types,
957,P72,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
958,P72,1,2010,New,Household Buyer - Former Owner-Occupier,
959,P72,1,2010,New,Household Buyer - Non-Occupier,
1516,P72,1,2010,Existing,All Buyer Types,325000.0
1517,P72,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
1518,P72,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1519,P72,1,2010,Existing,Household Buyer - Non-Occupier,
2076,P72,2,2010,All Dwelling Statuses,All Buyer Types,200000.0
2077,P72,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
2078,P72,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2079,P72,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2636,P72,2,2010,New,All Buyer Types,
2637,P72,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2638,P72,2,2010,New,Household Buyer - Former Owner-Occupier,
2639,P72,2,2010,New,Household Buyer - Non-Occupier,
3196,P72,2,2010,Existing,All Buyer Types,200000.0
3197,P72,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
3198,P72,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3199,P72,2,2010,Existing,Household Buyer - Non-Occupier,
3756,P72,3,2010,All Dwelling Statuses,All Buyer Types,212195.0
3757,P72,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196992.0
3758,P72,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,370000.0
3759,P72,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
4316,P72,3,2010,New,All Buyer Types,209975.0
4317,P72,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
4318,P72,3,2010,New,Household Buyer - Former Owner-Occupier,
4319,P72,3,2010,New,Household Buyer - Non-Occupier,
4876,P72,3,2010,Existing,All Buyer Types,212750.0
4877,P72,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190500.0
4878,P72,3,2010,Existing,Household Buyer - Former Owner-Occupier,370000.0
4879,P72,3,2010,Existing,Household Buyer - Non-Occupier,100000.0
5436,P72,4,2010,All Dwelling Statuses,All Buyer Types,179400.0
5437,P72,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178000.0
5438,P72,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,179680.0
5439,P72,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5996,P72,4,2010,New,All Buyer Types,
5997,P72,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5998,P72,4,2010,New,Household Buyer - Former Owner-Occupier,
5999,P72,4,2010,New,Household Buyer - Non-Occupier,
6556,P72,4,2010,Existing,All Buyer Types,179400.0
6557,P72,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,178000.0
6558,P72,4,2010,Existing,Household Buyer - Former Owner-Occupier,179680.0
6559,P72,4,2010,Existing,Household Buyer - Non-Occupier,
7116,P72,5,2010,All Dwelling Statuses,All Buyer Types,253711.0
7117,P72,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,211244.0
7118,P72,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,375500.0
7119,P72,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180000.0
7676,P72,5,2010,New,All Buyer Types,324988.0
7677,P72,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
7678,P72,5,2010,New,Household Buyer - Former Owner-Occupier,440000.0
7679,P72,5,2010,New,Household Buyer - Non-Occupier,
8236,P72,5,2010,Existing,All Buyer Types,225200.0
8237,P72,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,211667.0
8238,P72,5,2010,Existing,Household Buyer - Former Owner-Occupier,311000.0
8239,P72,5,2010,Existing,Household Buyer - Non-Occupier,180000.0
8796,P72,6,2010,All Dwelling Statuses,All Buyer Types,144750.0
8797,P72,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8798,P72,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170250.0
8799,P72,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,132000.0
9356,P72,6,2010,New,All Buyer Types,170250.0
9357,P72,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9358,P72,6,2010,New,Household Buyer - Former Owner-Occupier,170250.0
9359,P72,6,2010,New,Household Buyer - Non-Occupier,
9916,P72,6,2010,Existing,All Buyer Types,132000.0
9917,P72,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9918,P72,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9919,P72,6,2010,Existing,Household Buyer - Non-Occupier,132000.0
10476,P72,7,2010,All Dwelling Statuses,All Buyer Types,213119.0
10477,P72,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204238.0
10478,P72,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,249333.0
10479,P72,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140000.0
11036,P72,7,2010,New,All Buyer Types,199477.0
11037,P72,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199477.0
11038,P72,7,2010,New,Household Buyer - Former Owner-Occupier,
11039,P72,7,2010,New,Household Buyer - Non-Occupier,
11596,P72,7,2010,Existing,All Buyer Types,217667.0
11597,P72,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,209000.0
11598,P72,7,2010,Existing,Household Buyer - Former Owner-Occupier,249333.0
11599,P72,7,2010,Existing,Household Buyer - Non-Occupier,140000.0
12156,P72,8,2010,All Dwelling Statuses,All Buyer Types,205542.0
12157,P72,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,212813.0
12158,P72,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,191000.0
12159,P72,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12716,P72,8,2010,New,All Buyer Types,212813.0
12717,P72,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,212813.0
12718,P72,8,2010,New,Household Buyer - Former Owner-Occupier,
12719,P72,8,2010,New,Household Buyer - Non-Occupier,
13276,P72,8,2010,Existing,All Buyer Types,191000.0
13277,P72,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13278,P72,8,2010,Existing,Household Buyer - Former Owner-Occupier,191000.0
13279,P72,8,2010,Existing,Household Buyer - Non-Occupier,
13836,P72,9,2010,All Dwelling Statuses,All Buyer Types,180000.0
13837,P72,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
13838,P72,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
13839,P72,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14396,P72,9,2010,New,All Buyer Types,
14397,P72,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14398,P72,9,2010,New,Household Buyer - Former Owner-Occupier,
14399,P72,9,2010,New,Household Buyer - Non-Occupier,
14956,P72,9,2010,Existing,All Buyer Types,180000.0
14957,P72,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
14958,P72,9,2010,Existing,Household Buyer - Former Owner-Occupier,
14959,P72,9,2010,Existing,Household Buyer - Non-Occupier,
