,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
400,P75,1,2010,All Dwelling Statuses,All Buyer Types,197642.0
401,P75,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196950.0
402,P75,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,222500.0
403,P75,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
960,P75,1,2010,New,All Buyer Types,238350.0
961,P75,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238350.0
962,P75,1,2010,New,Household Buyer - Former Owner-Occupier,
963,P75,1,2010,New,Household Buyer - Non-Occupier,
1520,P75,1,2010,Existing,All Buyer Types,189500.0
1521,P75,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176250.0
1522,P75,1,2010,Existing,Household Buyer - Former Owner-Occupier,222500.0
1523,P75,1,2010,Existing,Household Buyer - Non-Occupier,150000.0
2080,P75,2,2010,All Dwelling Statuses,All Buyer Types,129211.0
2081,P75,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,201750.0
2082,P75,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,38092.0
2083,P75,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,138500.0
2640,P75,2,2010,New,All Buyer Types,201750.0
2641,P75,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,201750.0
2642,P75,2,2010,New,Household Buyer - Former Owner-Occupier,
2643,P75,2,2010,New,Household Buyer - Non-Occupier,
3200,P75,2,2010,Existing,All Buyer Types,105031.0
3201,P75,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3202,P75,2,2010,Existing,Household Buyer - Former Owner-Occupier,38092.0
3203,P75,2,2010,Existing,Household Buyer - Non-Occupier,138500.0
3760,P75,3,2010,All Dwelling Statuses,All Buyer Types,282000.0
3761,P75,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3762,P75,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,400000.0
3763,P75,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,252500.0
4320,P75,3,2010,New,All Buyer Types,
4321,P75,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4322,P75,3,2010,New,Household Buyer - Former Owner-Occupier,
4323,P75,3,2010,New,Household Buyer - Non-Occupier,
4880,P75,3,2010,Existing,All Buyer Types,282000.0
4881,P75,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4882,P75,3,2010,Existing,Household Buyer - Former Owner-Occupier,400000.0
4883,P75,3,2010,Existing,Household Buyer - Non-Occupier,252500.0
5440,P75,4,2010,All Dwelling Statuses,All Buyer Types,165326.0
5441,P75,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
5442,P75,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,93802.0
5443,P75,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,190000.0
6000,P75,4,2010,New,All Buyer Types,93802.0
6001,P75,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6002,P75,4,2010,New,Household Buyer - Former Owner-Occupier,93802.0
6003,P75,4,2010,New,Household Buyer - Non-Occupier,
6560,P75,4,2010,Existing,All Buyer Types,189167.0
6561,P75,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
6562,P75,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6563,P75,4,2010,Existing,Household Buyer - Non-Occupier,190000.0
7120,P75,5,2010,All Dwelling Statuses,All Buyer Types,120000.0
7121,P75,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7122,P75,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7123,P75,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,120000.0
7680,P75,5,2010,New,All Buyer Types,
7681,P75,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7682,P75,5,2010,New,Household Buyer - Former Owner-Occupier,
7683,P75,5,2010,New,Household Buyer - Non-Occupier,
8240,P75,5,2010,Existing,All Buyer Types,120000.0
8241,P75,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8242,P75,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8243,P75,5,2010,Existing,Household Buyer - Non-Occupier,120000.0
8800,P75,6,2010,All Dwelling Statuses,All Buyer Types,169999.0
8801,P75,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169999.0
8802,P75,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8803,P75,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9360,P75,6,2010,New,All Buyer Types,169999.0
9361,P75,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,169999.0
9362,P75,6,2010,New,Household Buyer - Former Owner-Occupier,
9363,P75,6,2010,New,Household Buyer - Non-Occupier,
9920,P75,6,2010,Existing,All Buyer Types,
9921,P75,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9922,P75,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9923,P75,6,2010,Existing,Household Buyer - Non-Occupier,
10480,P75,7,2010,All Dwelling Statuses,All Buyer Types,151813.0
10481,P75,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198625.0
10482,P75,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,105000.0
10483,P75,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11040,P75,7,2010,New,All Buyer Types,198625.0
11041,P75,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,198625.0
11042,P75,7,2010,New,Household Buyer - Former Owner-Occupier,
11043,P75,7,2010,New,Household Buyer - Non-Occupier,
11600,P75,7,2010,Existing,All Buyer Types,105000.0
11601,P75,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
11602,P75,7,2010,Existing,Household Buyer - Former Owner-Occupier,105000.0
11603,P75,7,2010,Existing,Household Buyer - Non-Occupier,
12160,P75,8,2010,All Dwelling Statuses,All Buyer Types,185500.0
12161,P75,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
12162,P75,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
12163,P75,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,171000.0
12720,P75,8,2010,New,All Buyer Types,
12721,P75,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12722,P75,8,2010,New,Household Buyer - Former Owner-Occupier,
12723,P75,8,2010,New,Household Buyer - Non-Occupier,
13280,P75,8,2010,Existing,All Buyer Types,185500.0
13281,P75,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
13282,P75,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13283,P75,8,2010,Existing,Household Buyer - Non-Occupier,171000.0
13840,P75,9,2010,All Dwelling Statuses,All Buyer Types,179476.0
13841,P75,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186162.0
13842,P75,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,187500.0
13843,P75,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
14400,P75,9,2010,New,All Buyer Types,171811.0
14401,P75,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,171811.0
14402,P75,9,2010,New,Household Buyer - Former Owner-Occupier,
14403,P75,9,2010,New,Household Buyer - Non-Occupier,
14960,P75,9,2010,Existing,All Buyer Types,180571.0
14961,P75,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189750.0
14962,P75,9,2010,Existing,Household Buyer - Former Owner-Occupier,187500.0
14963,P75,9,2010,Existing,Household Buyer - Non-Occupier,130000.0
15520,P75,10,2010,All Dwelling Statuses,All Buyer Types,201000.0
15521,P75,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
15522,P75,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252500.0
