,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
256,H14,1,2010,All Dwelling Statuses,All Buyer Types,192950.0
257,H14,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153225.0
258,H14,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
259,H14,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,232675.0
816,H14,1,2010,New,All Buyer Types,192950.0
817,H14,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,153225.0
818,H14,1,2010,New,Household Buyer - Former Owner-Occupier,
819,H14,1,2010,New,Household Buyer - Non-Occupier,232675.0
1376,H14,1,2010,Existing,All Buyer Types,
1377,H14,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1378,H14,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1379,H14,1,2010,Existing,Household Buyer - Non-Occupier,
1936,H14,2,2010,All Dwelling Statuses,All Buyer Types,180000.0
1937,H14,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1938,H14,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1939,H14,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180000.0
2496,H14,2,2010,New,All Buyer Types,
2497,H14,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2498,H14,2,2010,New,Household Buyer - Former Owner-Occupier,
2499,H14,2,2010,New,Household Buyer - Non-Occupier,
3056,H14,2,2010,Existing,All Buyer Types,180000.0
3057,H14,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3058,H14,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3059,H14,2,2010,Existing,Household Buyer - Non-Occupier,180000.0
3616,H14,3,2010,All Dwelling Statuses,All Buyer Types,
3617,H14,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3618,H14,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3619,H14,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4176,H14,3,2010,New,All Buyer Types,
4177,H14,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4178,H14,3,2010,New,Household Buyer - Former Owner-Occupier,
4179,H14,3,2010,New,Household Buyer - Non-Occupier,
4736,H14,3,2010,Existing,All Buyer Types,
4737,H14,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4738,H14,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4739,H14,3,2010,Existing,Household Buyer - Non-Occupier,
5296,H14,4,2010,All Dwelling Statuses,All Buyer Types,153387.0
5297,H14,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5298,H14,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5299,H14,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,153387.0
5856,H14,4,2010,New,All Buyer Types,167580.0
5857,H14,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5858,H14,4,2010,New,Household Buyer - Former Owner-Occupier,
5859,H14,4,2010,New,Household Buyer - Non-Occupier,167580.0
6416,H14,4,2010,Existing,All Buyer Types,125000.0
6417,H14,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6418,H14,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6419,H14,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
6976,H14,5,2010,All Dwelling Statuses,All Buyer Types,170497.0
6977,H14,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,102000.0
6978,H14,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,155000.0
6979,H14,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,254492.0
7536,H14,5,2010,New,All Buyer Types,254492.0
7537,H14,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7538,H14,5,2010,New,Household Buyer - Former Owner-Occupier,
7539,H14,5,2010,New,Household Buyer - Non-Occupier,254492.0
8096,H14,5,2010,Existing,All Buyer Types,128500.0
8097,H14,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,102000.0
8098,H14,5,2010,Existing,Household Buyer - Former Owner-Occupier,155000.0
8099,H14,5,2010,Existing,Household Buyer - Non-Occupier,
8656,H14,6,2010,All Dwelling Statuses,All Buyer Types,180500.0
8657,H14,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8658,H14,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,226000.0
8659,H14,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
9216,H14,6,2010,New,All Buyer Types,180500.0
9217,H14,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9218,H14,6,2010,New,Household Buyer - Former Owner-Occupier,226000.0
9219,H14,6,2010,New,Household Buyer - Non-Occupier,135000.0
9776,H14,6,2010,Existing,All Buyer Types,
9777,H14,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9778,H14,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9779,H14,6,2010,Existing,Household Buyer - Non-Occupier,
10336,H14,7,2010,All Dwelling Statuses,All Buyer Types,162873.0
10337,H14,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,110095.0
10338,H14,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,215650.0
10339,H14,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10896,H14,7,2010,New,All Buyer Types,162873.0
10897,H14,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,110095.0
10898,H14,7,2010,New,Household Buyer - Former Owner-Occupier,215650.0
10899,H14,7,2010,New,Household Buyer - Non-Occupier,
11456,H14,7,2010,Existing,All Buyer Types,
11457,H14,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
11458,H14,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11459,H14,7,2010,Existing,Household Buyer - Non-Occupier,
12016,H14,8,2010,All Dwelling Statuses,All Buyer Types,240050.0
12017,H14,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
12018,H14,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,295100.0
12019,H14,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,185000.0
12576,H14,8,2010,New,All Buyer Types,240050.0
12577,H14,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12578,H14,8,2010,New,Household Buyer - Former Owner-Occupier,295100.0
12579,H14,8,2010,New,Household Buyer - Non-Occupier,185000.0
13136,H14,8,2010,Existing,All Buyer Types,
13137,H14,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13138,H14,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13139,H14,8,2010,Existing,Household Buyer - Non-Occupier,
13696,H14,9,2010,All Dwelling Statuses,All Buyer Types,90800.0
13697,H14,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
13698,H14,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,90800.0
13699,H14,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14256,H14,9,2010,New,All Buyer Types,90800.0
14257,H14,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14258,H14,9,2010,New,Household Buyer - Former Owner-Occupier,90800.0
14259,H14,9,2010,New,Household Buyer - Non-Occupier,
14816,H14,9,2010,Existing,All Buyer Types,
14817,H14,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
14818,H14,9,2010,Existing,Household Buyer - Former Owner-Occupier,
14819,H14,9,2010,Existing,Household Buyer - Non-Occupier,
15376,H14,10,2010,All Dwelling Statuses,All Buyer Types,83750.0
15377,H14,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
15378,H14,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,99000.0
15379,H14,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,68500.0
15936,H14,10,2010,New,All Buyer Types,
15937,H14,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15938,H14,10,2010,New,Household Buyer - Former Owner-Occupier,
15939,H14,10,2010,New,Household Buyer - Non-Occupier,
16496,H14,10,2010,Existing,All Buyer Types,83750.0
16497,H14,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
16498,H14,10,2010,Existing,Household Buyer - Former Owner-Occupier,99000.0
16499,H14,10,2010,Existing,Household Buyer - Non-Occupier,68500.0
17056,H14,11,2010,All Dwelling Statuses,All Buyer Types,154050.0
17057,H14,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
