,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
428,R42,1,2010,All Dwelling Statuses,All Buyer Types,55000.0
429,R42,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
430,R42,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
431,R42,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,55000.0
988,R42,1,2010,New,All Buyer Types,
989,R42,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
990,R42,1,2010,New,Household Buyer - Former Owner-Occupier,
991,R42,1,2010,New,Household Buyer - Non-Occupier,
1548,R42,1,2010,Existing,All Buyer Types,55000.0
1549,R42,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1550,R42,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1551,R42,1,2010,Existing,Household Buyer - Non-Occupier,55000.0
2108,R42,2,2010,All Dwelling Statuses,All Buyer Types,318500.0
2109,R42,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2110,R42,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,390250.0
2111,R42,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,175000.0
2668,R42,2,2010,New,All Buyer Types,
2669,R42,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2670,R42,2,2010,New,Household Buyer - Former Owner-Occupier,
2671,R42,2,2010,New,Household Buyer - Non-Occupier,
3228,R42,2,2010,Existing,All Buyer Types,318500.0
3229,R42,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3230,R42,2,2010,Existing,Household Buyer - Former Owner-Occupier,390250.0
3231,R42,2,2010,Existing,Household Buyer - Non-Occupier,175000.0
3788,R42,3,2010,All Dwelling Statuses,All Buyer Types,161950.0
3789,R42,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161950.0
3790,R42,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3791,R42,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4348,R42,3,2010,New,All Buyer Types,158900.0
4349,R42,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,158900.0
4350,R42,3,2010,New,Household Buyer - Former Owner-Occupier,
4351,R42,3,2010,New,Household Buyer - Non-Occupier,
4908,R42,3,2010,Existing,All Buyer Types,165000.0
4909,R42,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
4910,R42,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4911,R42,3,2010,Existing,Household Buyer - Non-Occupier,
5468,R42,4,2010,All Dwelling Statuses,All Buyer Types,161658.0
5469,R42,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161658.0
5470,R42,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5471,R42,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6028,R42,4,2010,New,All Buyer Types,161658.0
6029,R42,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161658.0
6030,R42,4,2010,New,Household Buyer - Former Owner-Occupier,
6031,R42,4,2010,New,Household Buyer - Non-Occupier,
6588,R42,4,2010,Existing,All Buyer Types,
6589,R42,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6590,R42,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6591,R42,4,2010,Existing,Household Buyer - Non-Occupier,
7148,R42,5,2010,All Dwelling Statuses,All Buyer Types,145931.0
