,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
60,A94,1,2010,All Dwelling Statuses,All Buyer Types,618889.0
61,A94,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,450750.0
62,A94,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,793222.0
63,A94,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,395000.0
620,A94,1,2010,New,All Buyer Types,410750.0
621,A94,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,367500.0
622,A94,1,2010,New,Household Buyer - Former Owner-Occupier,454000.0
623,A94,1,2010,New,Household Buyer - Non-Occupier,
1180,A94,1,2010,Existing,All Buyer Types,644906.0
1181,A94,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,462643.0
1182,A94,1,2010,Existing,Household Buyer - Former Owner-Occupier,835625.0
1183,A94,1,2010,Existing,Household Buyer - Non-Occupier,395000.0
1740,A94,2,2010,All Dwelling Statuses,All Buyer Types,551000.0
1741,A94,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,617333.0
1742,A94,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,680333.0
1743,A94,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,356000.0
2300,A94,2,2010,New,All Buyer Types,660000.0
2301,A94,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,950000.0
2302,A94,2,2010,New,Household Buyer - Former Owner-Occupier,
2303,A94,2,2010,New,Household Buyer - Non-Occupier,370000.0
2860,A94,2,2010,Existing,All Buyer Types,532833.0
2861,A94,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,451000.0
2862,A94,2,2010,Existing,Household Buyer - Former Owner-Occupier,680333.0
2863,A94,2,2010,Existing,Household Buyer - Non-Occupier,352500.0
3420,A94,3,2010,All Dwelling Statuses,All Buyer Types,567739.0
3421,A94,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,583000.0
3422,A94,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,622857.0
3423,A94,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,280000.0
3980,A94,3,2010,New,All Buyer Types,355000.0
3981,A94,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
3982,A94,3,2010,New,Household Buyer - Former Owner-Occupier,355000.0
3983,A94,3,2010,New,Household Buyer - Non-Occupier,
4540,A94,3,2010,Existing,All Buyer Types,577409.0
4541,A94,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,583000.0
4542,A94,3,2010,Existing,Household Buyer - Former Owner-Occupier,643462.0
4543,A94,3,2010,Existing,Household Buyer - Non-Occupier,280000.0
5100,A94,4,2010,All Dwelling Statuses,All Buyer Types,537155.0
5101,A94,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,318906.0
5102,A94,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,843333.0
5103,A94,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,355000.0
5660,A94,4,2010,New,All Buyer Types,422000.0
5661,A94,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,355000.0
5662,A94,4,2010,New,Household Buyer - Former Owner-Occupier,522500.0
5663,A94,4,2010,New,Household Buyer - Non-Occupier,
6220,A94,4,2010,Existing,All Buyer Types,561146.0
6221,A94,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,310577.0
