,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
228,F52,1,2010,All Dwelling Statuses,All Buyer Types,
229,F52,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
230,F52,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
231,F52,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
788,F52,1,2010,New,All Buyer Types,
789,F52,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
790,F52,1,2010,New,Household Buyer - Former Owner-Occupier,
791,F52,1,2010,New,Household Buyer - Non-Occupier,
1348,F52,1,2010,Existing,All Buyer Types,
1349,F52,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1350,F52,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1351,F52,1,2010,Existing,Household Buyer - Non-Occupier,
1908,F52,2,2010,All Dwelling Statuses,All Buyer Types,176045.0
1909,F52,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,201198.0
1910,F52,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,150892.0
1911,F52,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2468,F52,2,2010,New,All Buyer Types,234757.0
2469,F52,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,221798.0
2470,F52,2,2010,New,Household Buyer - Former Owner-Occupier,260675.0
2471,F52,2,2010,New,Household Buyer - Non-Occupier,
3028,F52,2,2010,Existing,All Buyer Types,117333.0
3029,F52,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
3030,F52,2,2010,Existing,Household Buyer - Former Owner-Occupier,96000.0
3031,F52,2,2010,Existing,Household Buyer - Non-Occupier,
3588,F52,3,2010,All Dwelling Statuses,All Buyer Types,214018.0
3589,F52,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214018.0
3590,F52,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3591,F52,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4148,F52,3,2010,New,All Buyer Types,214018.0
4149,F52,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,214018.0
4150,F52,3,2010,New,Household Buyer - Former Owner-Occupier,
4151,F52,3,2010,New,Household Buyer - Non-Occupier,
4708,F52,3,2010,Existing,All Buyer Types,
4709,F52,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4710,F52,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4711,F52,3,2010,Existing,Household Buyer - Non-Occupier,
5268,F52,4,2010,All Dwelling Statuses,All Buyer Types,153500.0
5269,F52,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
5270,F52,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5271,F52,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137000.0
5828,F52,4,2010,New,All Buyer Types,220000.0
5829,F52,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,289999.0
