,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
68,A98,1,2010,All Dwelling Statuses,All Buyer Types,465164.0
69,A98,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,266306.0
70,A98,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,796593.0
71,A98,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
628,A98,1,2010,New,All Buyer Types,511462.0
629,A98,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,255843.0
630,A98,1,2010,New,Household Buyer - Former Owner-Occupier,894890.0
631,A98,1,2010,New,Household Buyer - Non-Occupier,
1188,A98,1,2010,Existing,All Buyer Types,388000.0
1189,A98,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,282000.0
1190,A98,1,2010,Existing,Household Buyer - Former Owner-Occupier,600000.0
1191,A98,1,2010,Existing,Household Buyer - Non-Occupier,
1748,A98,2,2010,All Dwelling Statuses,All Buyer Types,298360.0
1749,A98,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,244926.0
1750,A98,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,359428.0
1751,A98,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2308,A98,2,2010,New,All Buyer Types,331567.0
2309,A98,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,276881.0
2310,A98,2,2010,New,Household Buyer - Former Owner-Occupier,604999.0
2311,A98,2,2010,New,Household Buyer - Non-Occupier,
2868,A98,2,2010,Existing,All Buyer Types,276222.0
2869,A98,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,191667.0
2870,A98,2,2010,Existing,Household Buyer - Former Owner-Occupier,318500.0
2871,A98,2,2010,Existing,Household Buyer - Non-Occupier,
3428,A98,3,2010,All Dwelling Statuses,All Buyer Types,381555.0
3429,A98,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270890.0
3430,A98,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,529109.0
