Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
C15,Navan,1,2010,All Dwelling Statuses,All Buyer Types,201554.0
C15,Navan,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198831.0
C15,Navan,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207000.0
C15,Navan,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
C15,Navan,1,2010,New,All Buyer Types,235937.0
C15,Navan,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211406.0
C15,Navan,1,2010,New,Household Buyer - Former Owner-Occupier,285001.0
C15,Navan,1,2010,New,Household Buyer - Non-Occupier,
C15,Navan,1,2010,Existing,All Buyer Types,192958.0
C15,Navan,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195688.0
C15,Navan,1,2010,Existing,Household Buyer - Former Owner-Occupier,187500.0
C15,Navan,1,2010,Existing,Household Buyer - Non-Occupier,
C15,Navan,2,2010,All Dwelling Statuses,All Buyer Types,213864.0
C15,Navan,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,206592.0
C15,Navan,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,231175.0
C15,Navan,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,190000.0
C15,Navan,2,2010,New,All Buyer Types,253086.0
C15,Navan,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,237754.0
C15,Navan,2,2010,New,Household Buyer - Former Owner-Occupier,283750.0
C15,Navan,2,2010,New,Household Buyer - Non-Occupier,
C15,Navan,2,2010,Existing,All Buyer Types,206020.0
C15,Navan,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,199667.0
C15,Navan,2,2010,Existing,Household Buyer - Former Owner-Occupier,220660.0
C15,Navan,2,2010,Existing,Household Buyer - Non-Occupier,190000.0
C15,Navan,3,2010,All Dwelling Statuses,All Buyer Types,243148.0
C15,Navan,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197514.0
C15,Navan,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,352670.0
C15,Navan,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
C15,Navan,3,2010,New,All Buyer Types,276420.0
C15,Navan,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,223041.0
C15,Navan,3,2010,New,Household Buyer - Former Owner-Occupier,383176.0
C15,Navan,3,2010,New,Household Buyer - Non-Occupier,
C15,Navan,3,2010,Existing,All Buyer Types,225000.0
C15,Navan,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,184750.0
C15,Navan,3,2010,Existing,Household Buyer - Former Owner-Occupier,332333.0
C15,Navan,3,2010,Existing,Household Buyer - Non-Occupier,
C15,Navan,4,2010,All Dwelling Statuses,All Buyer Types,293397.0
C15,Navan,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192403.0
C15,Navan,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,405625.0
C15,Navan,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,330767.0
C15,Navan,4,2010,New,All Buyer Types,249426.0
C15,Navan,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,194383.0
C15,Navan,4,2010,New,Household Buyer - Former Owner-Occupier,283750.0
C15,Navan,4,2010,New,Household Buyer - Non-Occupier,332300.0
C15,Navan,4,2010,Existing,All Buyer Types,326375.0
C15,Navan,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,191083.0
C15,Navan,4,2010,Existing,Household Buyer - Former Owner-Occupier,527500.0
C15,Navan,4,2010,Existing,Household Buyer - Non-Occupier,330000.0
C15,Navan,5,2010,All Dwelling Statuses,All Buyer Types,255206.0
C15,Navan,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,223511.0
C15,Navan,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,300250.0
C15,Navan,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,228506.0
C15,Navan,5,2010,New,All Buyer Types,311028.0
C15,Navan,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,248565.0
C15,Navan,5,2010,New,Household Buyer - Former Owner-Occupier,454000.0
C15,Navan,5,2010,New,Household Buyer - Non-Occupier,230519.0
C15,Navan,5,2010,Existing,All Buyer Types,241250.0
C15,Navan,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,218500.0
C15,Navan,5,2010,Existing,Household Buyer - Former Owner-Occupier,269500.0
C15,Navan,5,2010,Existing,Household Buyer - Non-Occupier,227500.0
C15,Navan,6,2010,All Dwelling Statuses,All Buyer Types,209550.0
C15,Navan,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214706.0
C15,Navan,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,199240.0
C15,Navan,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
C15,Navan,6,2010,New,All Buyer Types,195915.0
C15,Navan,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,201938.0
C15,Navan,6,2010,New,Household Buyer - Former Owner-Occupier,173833.0
C15,Navan,6,2010,New,Household Buyer - Non-Occupier,
C15,Navan,6,2010,Existing,All Buyer Types,221481.0
C15,Navan,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230311.0
C15,Navan,6,2010,Existing,Household Buyer - Former Owner-Occupier,210129.0
C15,Navan,6,2010,Existing,Household Buyer - Non-Occupier,
C15,Navan,7,2010,All Dwelling Statuses,All Buyer Types,236141.0
C15,Navan,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227309.0
C15,Navan,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250470.0
C15,Navan,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,198250.0
C15,Navan,7,2010,New,All Buyer Types,222037.0
C15,Navan,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,226537.0
C15,Navan,7,2010,New,Household Buyer - Former Owner-Occupier,207547.0
C15,Navan,7,2010,New,Household Buyer - Non-Occupier,234999.0
C15,Navan,7,2010,Existing,All Buyer Types,245339.0
