,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
480,V23,1,2010,All Dwelling Statuses,All Buyer Types,260800.0
481,V23,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
482,V23,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
483,V23,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,260800.0
1040,V23,1,2010,New,All Buyer Types,
1041,V23,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1042,V23,1,2010,New,Household Buyer - Former Owner-Occupier,
1043,V23,1,2010,New,Household Buyer - Non-Occupier,
1600,V23,1,2010,Existing,All Buyer Types,260800.0
1601,V23,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1602,V23,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1603,V23,1,2010,Existing,Household Buyer - Non-Occupier,260800.0
2160,V23,2,2010,All Dwelling Statuses,All Buyer Types,166333.0
2161,V23,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
2162,V23,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2163,V23,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,155600.0
2720,V23,2,2010,New,All Buyer Types,
2721,V23,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2722,V23,2,2010,New,Household Buyer - Former Owner-Occupier,
2723,V23,2,2010,New,Household Buyer - Non-Occupier,
3280,V23,2,2010,Existing,All Buyer Types,166333.0
3281,V23,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
3282,V23,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3283,V23,2,2010,Existing,Household Buyer - Non-Occupier,155600.0
3840,V23,3,2010,All Dwelling Statuses,All Buyer Types,91750.0
3841,V23,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,91750.0
3842,V23,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3843,V23,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4400,V23,3,2010,New,All Buyer Types,
4401,V23,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4402,V23,3,2010,New,Household Buyer - Former Owner-Occupier,
4403,V23,3,2010,New,Household Buyer - Non-Occupier,
4960,V23,3,2010,Existing,All Buyer Types,91750.0
4961,V23,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,91750.0
4962,V23,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4963,V23,3,2010,Existing,Household Buyer - Non-Occupier,
5520,V23,4,2010,All Dwelling Statuses,All Buyer Types,581500.0
5521,V23,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5522,V23,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,581500.0
5523,V23,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6080,V23,4,2010,New,All Buyer Types,
6081,V23,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6082,V23,4,2010,New,Household Buyer - Former Owner-Occupier,
6083,V23,4,2010,New,Household Buyer - Non-Occupier,
6640,V23,4,2010,Existing,All Buyer Types,581500.0
6641,V23,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6642,V23,4,2010,Existing,Household Buyer - Former Owner-Occupier,581500.0
6643,V23,4,2010,Existing,Household Buyer - Non-Occupier,
7200,V23,5,2010,All Dwelling Statuses,All Buyer Types,53000.0
7201,V23,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7202,V23,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7203,V23,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,53000.0
7760,V23,5,2010,New,All Buyer Types,
7761,V23,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7762,V23,5,2010,New,Household Buyer - Former Owner-Occupier,
7763,V23,5,2010,New,Household Buyer - Non-Occupier,
8320,V23,5,2010,Existing,All Buyer Types,53000.0
8321,V23,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8322,V23,5,2010,Existing,Household Buyer - Former Owner-Occupier,
