,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
164,E21,1,2010,All Dwelling Statuses,All Buyer Types,225000.0
165,E21,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
166,E21,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
167,E21,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
724,E21,1,2010,New,All Buyer Types,
725,E21,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
726,E21,1,2010,New,Household Buyer - Former Owner-Occupier,
727,E21,1,2010,New,Household Buyer - Non-Occupier,
1284,E21,1,2010,Existing,All Buyer Types,225000.0
1285,E21,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
1286,E21,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1287,E21,1,2010,Existing,Household Buyer - Non-Occupier,
1844,E21,2,2010,All Dwelling Statuses,All Buyer Types,225000.0
1845,E21,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1846,E21,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1847,E21,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,225000.0
2404,E21,2,2010,New,All Buyer Types,
2405,E21,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2406,E21,2,2010,New,Household Buyer - Former Owner-Occupier,
2407,E21,2,2010,New,Household Buyer - Non-Occupier,
2964,E21,2,2010,Existing,All Buyer Types,225000.0
2965,E21,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2966,E21,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2967,E21,2,2010,Existing,Household Buyer - Non-Occupier,225000.0
3524,E21,3,2010,All Dwelling Statuses,All Buyer Types,220000.0
3525,E21,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3526,E21,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,220000.0
3527,E21,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4084,E21,3,2010,New,All Buyer Types,
4085,E21,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4086,E21,3,2010,New,Household Buyer - Former Owner-Occupier,
4087,E21,3,2010,New,Household Buyer - Non-Occupier,
4644,E21,3,2010,Existing,All Buyer Types,220000.0
4645,E21,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4646,E21,3,2010,Existing,Household Buyer - Former Owner-Occupier,220000.0
4647,E21,3,2010,Existing,Household Buyer - Non-Occupier,
5204,E21,4,2010,All Dwelling Statuses,All Buyer Types,169374.0
5205,E21,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5206,E21,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5207,E21,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169374.0
5764,E21,4,2010,New,All Buyer Types,169374.0
5765,E21,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5766,E21,4,2010,New,Household Buyer - Former Owner-Occupier,
5767,E21,4,2010,New,Household Buyer - Non-Occupier,169374.0
6324,E21,4,2010,Existing,All Buyer Types,
6325,E21,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6326,E21,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6327,E21,4,2010,Existing,Household Buyer - Non-Occupier,
6884,E21,5,2010,All Dwelling Statuses,All Buyer Types,159500.0
6885,E21,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,159500.0
6886,E21,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
6887,E21,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7444,E21,5,2010,New,All Buyer Types,
7445,E21,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7446,E21,5,2010,New,Household Buyer - Former Owner-Occupier,
7447,E21,5,2010,New,Household Buyer - Non-Occupier,
8004,E21,5,2010,Existing,All Buyer Types,159500.0
8005,E21,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,159500.0
8006,E21,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8007,E21,5,2010,Existing,Household Buyer - Non-Occupier,
8564,E21,6,2010,All Dwelling Statuses,All Buyer Types,219167.0
8565,E21,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,128333.0
8566,E21,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,310000.0
8567,E21,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9124,E21,6,2010,New,All Buyer Types,
9125,E21,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9126,E21,6,2010,New,Household Buyer - Former Owner-Occupier,
9127,E21,6,2010,New,Household Buyer - Non-Occupier,
9684,E21,6,2010,Existing,All Buyer Types,219167.0
9685,E21,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,128333.0
9686,E21,6,2010,Existing,Household Buyer - Former Owner-Occupier,310000.0
9687,E21,6,2010,Existing,Household Buyer - Non-Occupier,
10244,E21,7,2010,All Dwelling Statuses,All Buyer Types,213750.0
10245,E21,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213750.0
10246,E21,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10247,E21,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10804,E21,7,2010,New,All Buyer Types,
10805,E21,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10806,E21,7,2010,New,Household Buyer - Former Owner-Occupier,
10807,E21,7,2010,New,Household Buyer - Non-Occupier,
11364,E21,7,2010,Existing,All Buyer Types,213750.0
11365,E21,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,213750.0
11366,E21,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11367,E21,7,2010,Existing,Household Buyer - Non-Occupier,
11924,E21,8,2010,All Dwelling Statuses,All Buyer Types,
11925,E21,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
11926,E21,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11927,E21,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12484,E21,8,2010,New,All Buyer Types,
12485,E21,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12486,E21,8,2010,New,Household Buyer - Former Owner-Occupier,
12487,E21,8,2010,New,Household Buyer - Non-Occupier,
13044,E21,8,2010,Existing,All Buyer Types,
13045,E21,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13046,E21,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13047,E21,8,2010,Existing,Household Buyer - Non-Occupier,
13604,E21,9,2010,All Dwelling Statuses,All Buyer Types,121250.0
13605,E21,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,157500.0
13606,E21,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,85000.0
13607,E21,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14164,E21,9,2010,New,All Buyer Types,
14165,E21,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14166,E21,9,2010,New,Household Buyer - Former Owner-Occupier,
14167,E21,9,2010,New,Household Buyer - Non-Occupier,
14724,E21,9,2010,Existing,All Buyer Types,121250.0
14725,E21,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,157500.0
14726,E21,9,2010,Existing,Household Buyer - Former Owner-Occupier,85000.0
14727,E21,9,2010,Existing,Household Buyer - Non-Occupier,
15284,E21,10,2010,All Dwelling Statuses,All Buyer Types,100000.0
15285,E21,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,100000.0
15286,E21,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15287,E21,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
15844,E21,10,2010,New,All Buyer Types,
15845,E21,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15846,E21,10,2010,New,Household Buyer - Former Owner-Occupier,
15847,E21,10,2010,New,Household Buyer - Non-Occupier,
16404,E21,10,2010,Existing,All Buyer Types,100000.0
16405,E21,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,100000.0
16406,E21,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16407,E21,10,2010,Existing,Household Buyer - Non-Occupier,
16964,E21,11,2010,All Dwelling Statuses,All Buyer Types,137125.0
16965,E21,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,143000.0
16966,E21,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,131250.0
16967,E21,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17524,E21,11,2010,New,All Buyer Types,
17525,E21,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17526,E21,11,2010,New,Household Buyer - Former Owner-Occupier,
17527,E21,11,2010,New,Household Buyer - Non-Occupier,
18084,E21,11,2010,Existing,All Buyer Types,137125.0
18085,E21,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,143000.0
18086,E21,11,2010,Existing,Household Buyer - Former Owner-Occupier,131250.0
18087,E21,11,2010,Existing,Household Buyer - Non-Occupier,
18644,E21,12,2010,All Dwelling Statuses,All Buyer Types,305000.0
18645,E21,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
18646,E21,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,370000.0
18647,E21,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
19204,E21,12,2010,New,All Buyer Types,
19205,E21,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
19206,E21,12,2010,New,Household Buyer - Former Owner-Occupier,
19207,E21,12,2010,New,Household Buyer - Non-Occupier,
19764,E21,12,2010,Existing,All Buyer Types,305000.0
19765,E21,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
19766,E21,12,2010,Existing,Household Buyer - Former Owner-Occupier,370000.0
19767,E21,12,2010,Existing,Household Buyer - Non-Occupier,
20324,E21,1,2011,All Dwelling Statuses,All Buyer Types,
20325,E21,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
20326,E21,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
20327,E21,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
20884,E21,1,2011,New,All Buyer Types,
20885,E21,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
20886,E21,1,2011,New,Household Buyer - Former Owner-Occupier,
20887,E21,1,2011,New,Household Buyer - Non-Occupier,
21444,E21,1,2011,Existing,All Buyer Types,
21445,E21,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21446,E21,1,2011,Existing,Household Buyer - Former Owner-Occupier,
21447,E21,1,2011,Existing,Household Buyer - Non-Occupier,
22004,E21,2,2011,All Dwelling Statuses,All Buyer Types,
22005,E21,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
22006,E21,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
22007,E21,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
22564,E21,2,2011,New,All Buyer Types,
22565,E21,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22566,E21,2,2011,New,Household Buyer - Former Owner-Occupier,
22567,E21,2,2011,New,Household Buyer - Non-Occupier,
23124,E21,2,2011,Existing,All Buyer Types,
23125,E21,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
23126,E21,2,2011,Existing,Household Buyer - Former Owner-Occupier,
23127,E21,2,2011,Existing,Household Buyer - Non-Occupier,
23684,E21,3,2011,All Dwelling Statuses,All Buyer Types,197750.0
23685,E21,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,128000.0
23686,E21,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224000.0
23687,E21,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,215000.0
24244,E21,3,2011,New,All Buyer Types,
24245,E21,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
24246,E21,3,2011,New,Household Buyer - Former Owner-Occupier,
24247,E21,3,2011,New,Household Buyer - Non-Occupier,
24804,E21,3,2011,Existing,All Buyer Types,197750.0
24805,E21,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,128000.0
24806,E21,3,2011,Existing,Household Buyer - Former Owner-Occupier,224000.0
24807,E21,3,2011,Existing,Household Buyer - Non-Occupier,215000.0
25364,E21,4,2011,All Dwelling Statuses,All Buyer Types,
