,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
444,R93,1,2010,All Dwelling Statuses,All Buyer Types,162808.0
445,R93,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,144151.0
446,R93,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252500.0
447,R93,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,157073.0
1004,R93,1,2010,New,All Buyer Types,191800.0
1005,R93,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,154928.0
1006,R93,1,2010,New,Household Buyer - Former Owner-Occupier,252500.0
1007,R93,1,2010,New,Household Buyer - Non-Occupier,144145.0
1564,R93,1,2010,Existing,All Buyer Types,144688.0
1565,R93,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,141071.0
1566,R93,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1567,R93,1,2010,Existing,Household Buyer - Non-Occupier,170000.0
2124,R93,2,2010,All Dwelling Statuses,All Buyer Types,176166.0
2125,R93,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171887.0
2126,R93,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,182500.0
2127,R93,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,170000.0
2684,R93,2,2010,New,All Buyer Types,160331.0
2685,R93,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,160331.0
2686,R93,2,2010,New,Household Buyer - Former Owner-Occupier,
2687,R93,2,2010,New,Household Buyer - Non-Occupier,
3244,R93,2,2010,Existing,All Buyer Types,182500.0
3245,R93,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
3246,R93,2,2010,Existing,Household Buyer - Former Owner-Occupier,182500.0
3247,R93,2,2010,Existing,Household Buyer - Non-Occupier,170000.0
3804,R93,3,2010,All Dwelling Statuses,All Buyer Types,180250.0
3805,R93,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226143.0
3806,R93,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157500.0
3807,R93,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,88333.0
4364,R93,3,2010,New,All Buyer Types,164500.0
4365,R93,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,179000.0
4366,R93,3,2010,New,Household Buyer - Former Owner-Occupier,
4367,R93,3,2010,New,Household Buyer - Non-Occupier,150000.0
4924,R93,3,2010,Existing,All Buyer Types,183400.0
4925,R93,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,234000.0
4926,R93,3,2010,Existing,Household Buyer - Former Owner-Occupier,157500.0
4927,R93,3,2010,Existing,Household Buyer - Non-Occupier,57500.0
5484,R93,4,2010,All Dwelling Statuses,All Buyer Types,183923.0
5485,R93,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171968.0
5486,R93,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219445.0
