,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
332,N41,1,2010,All Dwelling Statuses,All Buyer Types,154745.0
333,N41,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
334,N41,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
335,N41,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,152993.0
892,N41,1,2010,New,All Buyer Types,175493.0
893,N41,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
894,N41,1,2010,New,Household Buyer - Former Owner-Occupier,
895,N41,1,2010,New,Household Buyer - Non-Occupier,183240.0
1452,N41,1,2010,Existing,All Buyer Types,92500.0
1453,N41,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1454,N41,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1455,N41,1,2010,Existing,Household Buyer - Non-Occupier,92500.0
2012,N41,2,2010,All Dwelling Statuses,All Buyer Types,105010.0
2013,N41,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,112365.0
2014,N41,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,100000.0
2015,N41,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,103837.0
2572,N41,2,2010,New,All Buyer Types,127520.0
2573,N41,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,112365.0
2574,N41,2,2010,New,Household Buyer - Former Owner-Occupier,
2575,N41,2,2010,New,Household Buyer - Non-Occupier,142674.0
3132,N41,2,2010,Existing,All Buyer Types,82500.0
3133,N41,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3134,N41,2,2010,Existing,Household Buyer - Former Owner-Occupier,100000.0
3135,N41,2,2010,Existing,Household Buyer - Non-Occupier,65000.0
3692,N41,3,2010,All Dwelling Statuses,All Buyer Types,143750.0
3693,N41,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3694,N41,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3695,N41,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,143750.0
4252,N41,3,2010,New,All Buyer Types,
