,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
172,E32,1,2010,All Dwelling Statuses,All Buyer Types,131830.0
173,E32,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171160.0
174,E32,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,85000.0
175,E32,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
732,E32,1,2010,New,All Buyer Types,149820.0
733,E32,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,149820.0
734,E32,1,2010,New,Household Buyer - Former Owner-Occupier,
735,E32,1,2010,New,Household Buyer - Non-Occupier,
1292,E32,1,2010,Existing,All Buyer Types,125833.0
1293,E32,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192500.0
1294,E32,1,2010,Existing,Household Buyer - Former Owner-Occupier,85000.0
1295,E32,1,2010,Existing,Household Buyer - Non-Occupier,100000.0
1852,E32,2,2010,All Dwelling Statuses,All Buyer Types,120667.0
1853,E32,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
1854,E32,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,127000.0
1855,E32,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,60000.0
2412,E32,2,2010,New,All Buyer Types,
2413,E32,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2414,E32,2,2010,New,Household Buyer - Former Owner-Occupier,
2415,E32,2,2010,New,Household Buyer - Non-Occupier,
2972,E32,2,2010,Existing,All Buyer Types,120667.0
2973,E32,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
2974,E32,2,2010,Existing,Household Buyer - Former Owner-Occupier,127000.0
2975,E32,2,2010,Existing,Household Buyer - Non-Occupier,60000.0
3532,E32,3,2010,All Dwelling Statuses,All Buyer Types,131000.0
3533,E32,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,176000.0
3534,E32,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,86000.0
3535,E32,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4092,E32,3,2010,New,All Buyer Types,
4093,E32,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4094,E32,3,2010,New,Household Buyer - Former Owner-Occupier,
4095,E32,3,2010,New,Household Buyer - Non-Occupier,
4652,E32,3,2010,Existing,All Buyer Types,131000.0
4653,E32,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176000.0
4654,E32,3,2010,Existing,Household Buyer - Former Owner-Occupier,86000.0
4655,E32,3,2010,Existing,Household Buyer - Non-Occupier,
5212,E32,4,2010,All Dwelling Statuses,All Buyer Types,135833.0
5213,E32,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,166250.0
5214,E32,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5215,E32,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,75000.0
5772,E32,4,2010,New,All Buyer Types,
5773,E32,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5774,E32,4,2010,New,Household Buyer - Former Owner-Occupier,
5775,E32,4,2010,New,Household Buyer - Non-Occupier,
6332,E32,4,2010,Existing,All Buyer Types,135833.0
6333,E32,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,166250.0
6334,E32,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6335,E32,4,2010,Existing,Household Buyer - Non-Occupier,75000.0
6892,E32,5,2010,All Dwelling Statuses,All Buyer Types,224833.0
6893,E32,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,303000.0
6894,E32,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,68500.0
6895,E32,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7452,E32,5,2010,New,All Buyer Types,
7453,E32,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7454,E32,5,2010,New,Household Buyer - Former Owner-Occupier,
7455,E32,5,2010,New,Household Buyer - Non-Occupier,
8012,E32,5,2010,Existing,All Buyer Types,224833.0
8013,E32,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,303000.0
8014,E32,5,2010,Existing,Household Buyer - Former Owner-Occupier,68500.0
8015,E32,5,2010,Existing,Household Buyer - Non-Occupier,
8572,E32,6,2010,All Dwelling Statuses,All Buyer Types,193950.0
8573,E32,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
8574,E32,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,229000.0
8575,E32,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,231750.0
9132,E32,6,2010,New,All Buyer Types,231750.0
