,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
28,A81,1,2010,All Dwelling Statuses,All Buyer Types,228416.0
29,A81,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
30,A81,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,244588.0
31,A81,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,214515.0
588,A81,1,2010,New,All Buyer Types,221222.0
589,A81,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
590,A81,1,2010,New,Household Buyer - Former Owner-Occupier,239175.0
591,A81,1,2010,New,Household Buyer - Non-Occupier,214515.0
1148,A81,1,2010,Existing,All Buyer Types,250000.0
1149,A81,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1150,A81,1,2010,Existing,Household Buyer - Former Owner-Occupier,250000.0
1151,A81,1,2010,Existing,Household Buyer - Non-Occupier,
1708,A81,2,2010,All Dwelling Statuses,All Buyer Types,241988.0
1709,A81,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217685.0
1710,A81,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,363500.0
1711,A81,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2268,A81,2,2010,New,All Buyer Types,260385.0
2269,A81,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234607.0
2270,A81,2,2010,New,Household Buyer - Former Owner-Occupier,363500.0
2271,A81,2,2010,New,Household Buyer - Non-Occupier,
2828,A81,2,2010,Existing,All Buyer Types,150000.0
2829,A81,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
2830,A81,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2831,A81,2,2010,Existing,Household Buyer - Non-Occupier,
3388,A81,3,2010,All Dwelling Statuses,All Buyer Types,164985.0
3389,A81,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,146205.0
3390,A81,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,221325.0
3391,A81,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3948,A81,3,2010,New,All Buyer Types,210720.0
3949,A81,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200114.0
3950,A81,3,2010,New,Household Buyer - Former Owner-Occupier,221325.0
3951,A81,3,2010,New,Household Buyer - Non-Occupier,
4508,A81,3,2010,Existing,All Buyer Types,119250.0
4509,A81,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,119250.0
4510,A81,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4511,A81,3,2010,Existing,Household Buyer - Non-Occupier,
5068,A81,4,2010,All Dwelling Statuses,All Buyer Types,142390.0
5069,A81,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,143975.0
5070,A81,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,141333.0
5071,A81,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5628,A81,4,2010,New,All Buyer Types,143975.0
5629,A81,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,143975.0
5630,A81,4,2010,New,Household Buyer - Former Owner-Occupier,
5631,A81,4,2010,New,Household Buyer - Non-Occupier,
6188,A81,4,2010,Existing,All Buyer Types,141333.0
6189,A81,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6190,A81,4,2010,Existing,Household Buyer - Former Owner-Occupier,141333.0
6191,A81,4,2010,Existing,Household Buyer - Non-Occupier,
6748,A81,5,2010,All Dwelling Statuses,All Buyer Types,145110.0
6749,A81,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158185.0
6750,A81,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,150955.0
6751,A81,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,109500.0
7308,A81,5,2010,New,All Buyer Types,155470.0
7309,A81,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,156975.0
7310,A81,5,2010,New,Household Buyer - Former Owner-Occupier,150955.0
7311,A81,5,2010,New,Household Buyer - Non-Occupier,
7868,A81,5,2010,Existing,All Buyer Types,134750.0
7869,A81,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
7870,A81,5,2010,Existing,Household Buyer - Former Owner-Occupier,
7871,A81,5,2010,Existing,Household Buyer - Non-Occupier,109500.0
8428,A81,6,2010,All Dwelling Statuses,All Buyer Types,66950.0
8429,A81,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,88500.0
8430,A81,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,45400.0
8431,A81,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
8988,A81,6,2010,New,All Buyer Types,45400.0
8989,A81,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
8990,A81,6,2010,New,Household Buyer - Former Owner-Occupier,45400.0
8991,A81,6,2010,New,Household Buyer - Non-Occupier,
9548,A81,6,2010,Existing,All Buyer Types,88500.0
9549,A81,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,88500.0
9550,A81,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9551,A81,6,2010,Existing,Household Buyer - Non-Occupier,
10108,A81,7,2010,All Dwelling Statuses,All Buyer Types,132750.0
10109,A81,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,123001.0
10110,A81,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,120000.0
