,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
372,P43,1,2010,All Dwelling Statuses,All Buyer Types,229214.0
373,P43,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,253499.0
374,P43,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,307000.0
375,P43,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,30000.0
932,P43,1,2010,New,All Buyer Types,247998.0
933,P43,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,247998.0
934,P43,1,2010,New,Household Buyer - Former Owner-Occupier,
935,P43,1,2010,New,Household Buyer - Non-Occupier,
1492,P43,1,2010,Existing,All Buyer Types,221700.0
1493,P43,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,257167.0
1494,P43,1,2010,Existing,Household Buyer - Former Owner-Occupier,307000.0
1495,P43,1,2010,Existing,Household Buyer - Non-Occupier,30000.0
2052,P43,2,2010,All Dwelling Statuses,All Buyer Types,212683.0
2053,P43,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,233021.0
2054,P43,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,141500.0
2055,P43,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2612,P43,2,2010,New,All Buyer Types,299073.0
2613,P43,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,299073.0
2614,P43,2,2010,New,Household Buyer - Former Owner-Occupier,
2615,P43,2,2010,New,Household Buyer - Non-Occupier,
3172,P43,2,2010,Existing,All Buyer Types,188000.0
3173,P43,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,206600.0
3174,P43,2,2010,Existing,Household Buyer - Former Owner-Occupier,141500.0
3175,P43,2,2010,Existing,Household Buyer - Non-Occupier,
3732,P43,3,2010,All Dwelling Statuses,All Buyer Types,271344.0
3733,P43,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,259781.0
3734,P43,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,287533.0
3735,P43,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4292,P43,3,2010,New,All Buyer Types,247662.0
4293,P43,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,220323.0
4294,P43,3,2010,New,Household Buyer - Former Owner-Occupier,268166.0
4295,P43,3,2010,New,Household Buyer - Non-Occupier,
4852,P43,3,2010,Existing,All Buyer Types,304500.0
4853,P43,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,289375.0
4854,P43,3,2010,Existing,Household Buyer - Former Owner-Occupier,365000.0
4855,P43,3,2010,Existing,Household Buyer - Non-Occupier,
5412,P43,4,2010,All Dwelling Statuses,All Buyer Types,196940.0
5413,P43,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192576.0
5414,P43,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207120.0
5415,P43,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5972,P43,4,2010,New,All Buyer Types,223724.0
5973,P43,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,273535.0
5974,P43,4,2010,New,Household Buyer - Former Owner-Occupier,207120.0
5975,P43,4,2010,New,Household Buyer - Non-Occupier,
