,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
460,T34,1,2010,All Dwelling Statuses,All Buyer Types,364851.0
461,T34,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,330182.0
462,T34,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,399520.0
463,T34,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1020,T34,1,2010,New,All Buyer Types,364851.0
1021,T34,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,330182.0
1022,T34,1,2010,New,Household Buyer - Former Owner-Occupier,399520.0
1023,T34,1,2010,New,Household Buyer - Non-Occupier,
1580,T34,1,2010,Existing,All Buyer Types,
1581,T34,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1582,T34,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1583,T34,1,2010,Existing,Household Buyer - Non-Occupier,
2140,T34,2,2010,All Dwelling Statuses,All Buyer Types,296675.0
2141,T34,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,296675.0
2142,T34,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2143,T34,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2700,T34,2,2010,New,All Buyer Types,238350.0
2701,T34,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238350.0
2702,T34,2,2010,New,Household Buyer - Former Owner-Occupier,
2703,T34,2,2010,New,Household Buyer - Non-Occupier,
3260,T34,2,2010,Existing,All Buyer Types,355000.0
3261,T34,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,355000.0
3262,T34,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3263,T34,2,2010,Existing,Household Buyer - Non-Occupier,
3820,T34,3,2010,All Dwelling Statuses,All Buyer Types,
3821,T34,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3822,T34,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3823,T34,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4380,T34,3,2010,New,All Buyer Types,
4381,T34,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4382,T34,3,2010,New,Household Buyer - Former Owner-Occupier,
4383,T34,3,2010,New,Household Buyer - Non-Occupier,
4940,T34,3,2010,Existing,All Buyer Types,
4941,T34,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4942,T34,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4943,T34,3,2010,Existing,Household Buyer - Non-Occupier,
5500,T34,4,2010,All Dwelling Statuses,All Buyer Types,252506.0
5501,T34,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,252506.0
5502,T34,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5503,T34,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6060,T34,4,2010,New,All Buyer Types,252506.0
6061,T34,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,252506.0
6062,T34,4,2010,New,Household Buyer - Former Owner-Occupier,
6063,T34,4,2010,New,Household Buyer - Non-Occupier,
6620,T34,4,2010,Existing,All Buyer Types,
6621,T34,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6622,T34,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6623,T34,4,2010,Existing,Household Buyer - Non-Occupier,
7180,T34,5,2010,All Dwelling Statuses,All Buyer Types,183975.0
7181,T34,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183975.0
7182,T34,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7183,T34,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7740,T34,5,2010,New,All Buyer Types,183975.0
7741,T34,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,183975.0
7742,T34,5,2010,New,Household Buyer - Former Owner-Occupier,
7743,T34,5,2010,New,Household Buyer - Non-Occupier,
8300,T34,5,2010,Existing,All Buyer Types,
8301,T34,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8302,T34,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8303,T34,5,2010,Existing,Household Buyer - Non-Occupier,
8860,T34,6,2010,All Dwelling Statuses,All Buyer Types,251517.0
8861,T34,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,238350.0
8862,T34,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,258100.0
8863,T34,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9420,T34,6,2010,New,All Buyer Types,238350.0
9421,T34,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238350.0
9422,T34,6,2010,New,Household Buyer - Former Owner-Occupier,
9423,T34,6,2010,New,Household Buyer - Non-Occupier,
9980,T34,6,2010,Existing,All Buyer Types,258100.0
9981,T34,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9982,T34,6,2010,Existing,Household Buyer - Former Owner-Occupier,258100.0
9983,T34,6,2010,Existing,Household Buyer - Non-Occupier,
10540,T34,7,2010,All Dwelling Statuses,All Buyer Types,270000.0
10541,T34,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
10542,T34,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10543,T34,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11100,T34,7,2010,New,All Buyer Types,
11101,T34,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
11102,T34,7,2010,New,Household Buyer - Former Owner-Occupier,
11103,T34,7,2010,New,Household Buyer - Non-Occupier,
11660,T34,7,2010,Existing,All Buyer Types,270000.0
11661,T34,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
11662,T34,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11663,T34,7,2010,Existing,Household Buyer - Non-Occupier,
12220,T34,8,2010,All Dwelling Statuses,All Buyer Types,348445.0
12221,T34,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
12222,T34,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,348445.0
12223,T34,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12780,T34,8,2010,New,All Buyer Types,348445.0
12781,T34,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12782,T34,8,2010,New,Household Buyer - Former Owner-Occupier,348445.0
12783,T34,8,2010,New,Household Buyer - Non-Occupier,
