,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
168,E25,1,2010,All Dwelling Statuses,All Buyer Types,170000.0
169,E25,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
170,E25,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170000.0
171,E25,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
728,E25,1,2010,New,All Buyer Types,170000.0
729,E25,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
730,E25,1,2010,New,Household Buyer - Former Owner-Occupier,170000.0
731,E25,1,2010,New,Household Buyer - Non-Occupier,
1288,E25,1,2010,Existing,All Buyer Types,
1289,E25,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1290,E25,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1291,E25,1,2010,Existing,Household Buyer - Non-Occupier,
1848,E25,2,2010,All Dwelling Statuses,All Buyer Types,159313.0
1849,E25,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,120000.0
1850,E25,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,198625.0
1851,E25,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2408,E25,2,2010,New,All Buyer Types,198625.0
2409,E25,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2410,E25,2,2010,New,Household Buyer - Former Owner-Occupier,198625.0
2411,E25,2,2010,New,Household Buyer - Non-Occupier,
2968,E25,2,2010,Existing,All Buyer Types,120000.0
2969,E25,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,120000.0
2970,E25,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2971,E25,2,2010,Existing,Household Buyer - Non-Occupier,
3528,E25,3,2010,All Dwelling Statuses,All Buyer Types,162150.0
3529,E25,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
3530,E25,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,120000.0
3531,E25,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4088,E25,3,2010,New,All Buyer Types,204300.0
4089,E25,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
4090,E25,3,2010,New,Household Buyer - Former Owner-Occupier,
4091,E25,3,2010,New,Household Buyer - Non-Occupier,
4648,E25,3,2010,Existing,All Buyer Types,120000.0
4649,E25,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4650,E25,3,2010,Existing,Household Buyer - Former Owner-Occupier,120000.0
4651,E25,3,2010,Existing,Household Buyer - Non-Occupier,
5208,E25,4,2010,All Dwelling Statuses,All Buyer Types,174666.0
5209,E25,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5210,E25,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,85000.0
5211,E25,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,219500.0
5768,E25,4,2010,New,All Buyer Types,219500.0
5769,E25,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5770,E25,4,2010,New,Household Buyer - Former Owner-Occupier,
5771,E25,4,2010,New,Household Buyer - Non-Occupier,219500.0
6328,E25,4,2010,Existing,All Buyer Types,85000.0
6329,E25,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6330,E25,4,2010,Existing,Household Buyer - Former Owner-Occupier,85000.0
6331,E25,4,2010,Existing,Household Buyer - Non-Occupier,
6888,E25,5,2010,All Dwelling Statuses,All Buyer Types,171581.0
6889,E25,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183500.0
6890,E25,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,80000.0
6891,E25,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,205454.0
7448,E25,5,2010,New,All Buyer Types,205454.0
7449,E25,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7450,E25,5,2010,New,Household Buyer - Former Owner-Occupier,
7451,E25,5,2010,New,Household Buyer - Non-Occupier,205454.0
8008,E25,5,2010,Existing,All Buyer Types,149000.0
8009,E25,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,183500.0
8010,E25,5,2010,Existing,Household Buyer - Former Owner-Occupier,80000.0
8011,E25,5,2010,Existing,Household Buyer - Non-Occupier,
8568,E25,6,2010,All Dwelling Statuses,All Buyer Types,136147.0
8569,E25,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8570,E25,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,172293.0
8571,E25,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
9128,E25,6,2010,New,All Buyer Types,172293.0
9129,E25,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9130,E25,6,2010,New,Household Buyer - Former Owner-Occupier,172293.0
9131,E25,6,2010,New,Household Buyer - Non-Occupier,
9688,E25,6,2010,Existing,All Buyer Types,100000.0
9689,E25,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9690,E25,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9691,E25,6,2010,Existing,Household Buyer - Non-Occupier,100000.0
10248,E25,7,2010,All Dwelling Statuses,All Buyer Types,168300.0
10249,E25,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185500.0
10250,E25,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,255000.0
10251,E25,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,30000.0
10808,E25,7,2010,New,All Buyer Types,
10809,E25,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10810,E25,7,2010,New,Household Buyer - Former Owner-Occupier,
10811,E25,7,2010,New,Household Buyer - Non-Occupier,
11368,E25,7,2010,Existing,All Buyer Types,168300.0
11369,E25,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185500.0
11370,E25,7,2010,Existing,Household Buyer - Former Owner-Occupier,255000.0
11371,E25,7,2010,Existing,Household Buyer - Non-Occupier,30000.0
11928,E25,8,2010,All Dwelling Statuses,All Buyer Types,190000.0
11929,E25,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
11930,E25,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11931,E25,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12488,E25,8,2010,New,All Buyer Types,190000.0
12489,E25,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
12490,E25,8,2010,New,Household Buyer - Former Owner-Occupier,
12491,E25,8,2010,New,Household Buyer - Non-Occupier,
13048,E25,8,2010,Existing,All Buyer Types,
13049,E25,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13050,E25,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13051,E25,8,2010,Existing,Household Buyer - Non-Occupier,
13608,E25,9,2010,All Dwelling Statuses,All Buyer Types,137500.0
13609,E25,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
13610,E25,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,160000.0
13611,E25,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14168,E25,9,2010,New,All Buyer Types,
14169,E25,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14170,E25,9,2010,New,Household Buyer - Former Owner-Occupier,
14171,E25,9,2010,New,Household Buyer - Non-Occupier,
14728,E25,9,2010,Existing,All Buyer Types,137500.0
14729,E25,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
14730,E25,9,2010,Existing,Household Buyer - Former Owner-Occupier,160000.0
14731,E25,9,2010,Existing,Household Buyer - Non-Occupier,
15288,E25,10,2010,All Dwelling Statuses,All Buyer Types,217803.0
15289,E25,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
15290,E25,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15291,E25,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,241705.0
15848,E25,10,2010,New,All Buyer Types,188410.0
15849,E25,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15850,E25,10,2010,New,Household Buyer - Former Owner-Occupier,
15851,E25,10,2010,New,Household Buyer - Non-Occupier,188410.0
16408,E25,10,2010,Existing,All Buyer Types,232500.0
16409,E25,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
16410,E25,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16411,E25,10,2010,Existing,Household Buyer - Non-Occupier,295000.0
16968,E25,11,2010,All Dwelling Statuses,All Buyer Types,111000.0
16969,E25,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,144000.0
16970,E25,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,45000.0
16971,E25,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17528,E25,11,2010,New,All Buyer Types,
17529,E25,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17530,E25,11,2010,New,Household Buyer - Former Owner-Occupier,
