,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
200,F23,1,2010,All Dwelling Statuses,All Buyer Types,140000.0
201,F23,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
202,F23,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
203,F23,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
760,F23,1,2010,New,All Buyer Types,
761,F23,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
762,F23,1,2010,New,Household Buyer - Former Owner-Occupier,
763,F23,1,2010,New,Household Buyer - Non-Occupier,
1320,F23,1,2010,Existing,All Buyer Types,140000.0
1321,F23,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
1322,F23,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1323,F23,1,2010,Existing,Household Buyer - Non-Occupier,
1880,F23,2,2010,All Dwelling Statuses,All Buyer Types,217625.0
1881,F23,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
1882,F23,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219000.0
1883,F23,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2440,F23,2,2010,New,All Buyer Types,
2441,F23,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2442,F23,2,2010,New,Household Buyer - Former Owner-Occupier,
2443,F23,2,2010,New,Household Buyer - Non-Occupier,
3000,F23,2,2010,Existing,All Buyer Types,217625.0
3001,F23,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
3002,F23,2,2010,Existing,Household Buyer - Former Owner-Occupier,219000.0
3003,F23,2,2010,Existing,Household Buyer - Non-Occupier,
3560,F23,3,2010,All Dwelling Statuses,All Buyer Types,221560.0
3561,F23,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
3562,F23,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,333401.0
3563,F23,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
4120,F23,3,2010,New,All Buyer Types,481801.0
4121,F23,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4122,F23,3,2010,New,Household Buyer - Former Owner-Occupier,481801.0
4123,F23,3,2010,New,Household Buyer - Non-Occupier,
4680,F23,3,2010,Existing,All Buyer Types,156500.0
4681,F23,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
4682,F23,3,2010,Existing,Household Buyer - Former Owner-Occupier,185000.0
4683,F23,3,2010,Existing,Household Buyer - Non-Occupier,125000.0
5240,F23,4,2010,All Dwelling Statuses,All Buyer Types,146074.0
5241,F23,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200612.0
5242,F23,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5243,F23,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,37000.0
5800,F23,4,2010,New,All Buyer Types,200612.0
5801,F23,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200612.0
5802,F23,4,2010,New,Household Buyer - Former Owner-Occupier,
5803,F23,4,2010,New,Household Buyer - Non-Occupier,
6360,F23,4,2010,Existing,All Buyer Types,37000.0
6361,F23,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6362,F23,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6363,F23,4,2010,Existing,Household Buyer - Non-Occupier,37000.0
6920,F23,5,2010,All Dwelling Statuses,All Buyer Types,170500.0
6921,F23,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177500.0
6922,F23,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,183000.0
6923,F23,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,151000.0
7480,F23,5,2010,New,All Buyer Types,
7481,F23,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7482,F23,5,2010,New,Household Buyer - Former Owner-Occupier,
7483,F23,5,2010,New,Household Buyer - Non-Occupier,
8040,F23,5,2010,Existing,All Buyer Types,170500.0
8041,F23,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,177500.0
8042,F23,5,2010,Existing,Household Buyer - Former Owner-Occupier,183000.0
8043,F23,5,2010,Existing,Household Buyer - Non-Occupier,151000.0
8600,F23,6,2010,All Dwelling Statuses,All Buyer Types,201000.0
8601,F23,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
8602,F23,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8603,F23,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9160,F23,6,2010,New,All Buyer Types,
9161,F23,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9162,F23,6,2010,New,Household Buyer - Former Owner-Occupier,
9163,F23,6,2010,New,Household Buyer - Non-Occupier,
9720,F23,6,2010,Existing,All Buyer Types,201000.0
9721,F23,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
9722,F23,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9723,F23,6,2010,Existing,Household Buyer - Non-Occupier,
10280,F23,7,2010,All Dwelling Statuses,All Buyer Types,179803.0
10281,F23,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158469.0
10282,F23,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,201137.0
10283,F23,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10840,F23,7,2010,New,All Buyer Types,192856.0
10841,F23,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,141875.0
10842,F23,7,2010,New,Household Buyer - Former Owner-Occupier,209850.0
10843,F23,7,2010,New,Household Buyer - Non-Occupier,
11400,F23,7,2010,Existing,All Buyer Types,166750.0
11401,F23,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,164000.0
11402,F23,7,2010,Existing,Household Buyer - Former Owner-Occupier,175000.0
11403,F23,7,2010,Existing,Household Buyer - Non-Occupier,
11960,F23,8,2010,All Dwelling Statuses,All Buyer Types,222752.0
11961,F23,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213403.0
11962,F23,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,282500.0
11963,F23,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
12520,F23,8,2010,New,All Buyer Types,170250.0
12521,F23,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
12522,F23,8,2010,New,Household Buyer - Former Owner-Occupier,
12523,F23,8,2010,New,Household Buyer - Non-Occupier,
13080,F23,8,2010,Existing,All Buyer Types,230252.0
13081,F23,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,224191.0
13082,F23,8,2010,Existing,Household Buyer - Former Owner-Occupier,282500.0
13083,F23,8,2010,Existing,Household Buyer - Non-Occupier,150000.0
13640,F23,9,2010,All Dwelling Statuses,All Buyer Types,182722.0
13641,F23,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170833.0
13642,F23,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,211250.0
13643,F23,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,197000.0
14200,F23,9,2010,New,All Buyer Types,185000.0
14201,F23,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
14202,F23,9,2010,New,Household Buyer - Former Owner-Occupier,
14203,F23,9,2010,New,Household Buyer - Non-Occupier,
14760,F23,9,2010,Existing,All Buyer Types,182438.0
14761,F23,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,168000.0
14762,F23,9,2010,Existing,Household Buyer - Former Owner-Occupier,211250.0
14763,F23,9,2010,Existing,Household Buyer - Non-Occupier,197000.0
15320,F23,10,2010,All Dwelling Statuses,All Buyer Types,141000.0
15321,F23,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
15322,F23,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15323,F23,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,141000.0
15880,F23,10,2010,New,All Buyer Types,
15881,F23,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15882,F23,10,2010,New,Household Buyer - Former Owner-Occupier,
15883,F23,10,2010,New,Household Buyer - Non-Occupier,
16440,F23,10,2010,Existing,All Buyer Types,141000.0
