,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
24,A75,1,2010,All Dwelling Statuses,All Buyer Types,203750.0
25,A75,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203750.0
26,A75,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
27,A75,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
584,A75,1,2010,New,All Buyer Types,182500.0
585,A75,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,182500.0
586,A75,1,2010,New,Household Buyer - Former Owner-Occupier,
587,A75,1,2010,New,Household Buyer - Non-Occupier,
1144,A75,1,2010,Existing,All Buyer Types,225000.0
1145,A75,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
1146,A75,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1147,A75,1,2010,Existing,Household Buyer - Non-Occupier,
1704,A75,2,2010,All Dwelling Statuses,All Buyer Types,101817.0
1705,A75,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,115225.0
1706,A75,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,75000.0
1707,A75,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2264,A75,2,2010,New,All Buyer Types,192950.0
2265,A75,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192950.0
2266,A75,2,2010,New,Household Buyer - Former Owner-Occupier,
2267,A75,2,2010,New,Household Buyer - Non-Occupier,
2824,A75,2,2010,Existing,All Buyer Types,56250.0
2825,A75,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,37500.0
2826,A75,2,2010,Existing,Household Buyer - Former Owner-Occupier,75000.0
2827,A75,2,2010,Existing,Household Buyer - Non-Occupier,
3384,A75,3,2010,All Dwelling Statuses,All Buyer Types,167500.0
3385,A75,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167500.0
3386,A75,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3387,A75,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3944,A75,3,2010,New,All Buyer Types,
3945,A75,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
3946,A75,3,2010,New,Household Buyer - Former Owner-Occupier,
3947,A75,3,2010,New,Household Buyer - Non-Occupier,
4504,A75,3,2010,Existing,All Buyer Types,167500.0
4505,A75,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,167500.0
4506,A75,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4507,A75,3,2010,Existing,Household Buyer - Non-Occupier,
5064,A75,4,2010,All Dwelling Statuses,All Buyer Types,125000.0
5065,A75,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,125000.0
5066,A75,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5067,A75,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5624,A75,4,2010,New,All Buyer Types,
5625,A75,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5626,A75,4,2010,New,Household Buyer - Former Owner-Occupier,
5627,A75,4,2010,New,Household Buyer - Non-Occupier,
6184,A75,4,2010,Existing,All Buyer Types,125000.0
6185,A75,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,125000.0
6186,A75,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6187,A75,4,2010,Existing,Household Buyer - Non-Occupier,
6744,A75,5,2010,All Dwelling Statuses,All Buyer Types,155088.0
6745,A75,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
6746,A75,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,230000.0
6747,A75,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125177.0
7304,A75,5,2010,New,All Buyer Types,125177.0
7305,A75,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7306,A75,5,2010,New,Household Buyer - Former Owner-Occupier,
7307,A75,5,2010,New,Household Buyer - Non-Occupier,125177.0
7864,A75,5,2010,Existing,All Buyer Types,185000.0
7865,A75,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
7866,A75,5,2010,Existing,Household Buyer - Former Owner-Occupier,230000.0
7867,A75,5,2010,Existing,Household Buyer - Non-Occupier,
8424,A75,6,2010,All Dwelling Statuses,All Buyer Types,150023.0
8425,A75,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
8426,A75,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,151882.0
8427,A75,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,145675.0
8984,A75,6,2010,New,All Buyer Types,150028.0
8985,A75,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
8986,A75,6,2010,New,Household Buyer - Former Owner-Occupier,151882.0
8987,A75,6,2010,New,Household Buyer - Non-Occupier,141350.0
9544,A75,6,2010,Existing,All Buyer Types,150000.0
9545,A75,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9546,A75,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9547,A75,6,2010,Existing,Household Buyer - Non-Occupier,150000.0
10104,A75,7,2010,All Dwelling Statuses,All Buyer Types,100000.0
10105,A75,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,65000.0
10106,A75,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10107,A75,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
10664,A75,7,2010,New,All Buyer Types,135000.0
10665,A75,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10666,A75,7,2010,New,Household Buyer - Former Owner-Occupier,
10667,A75,7,2010,New,Household Buyer - Non-Occupier,135000.0
11224,A75,7,2010,Existing,All Buyer Types,65000.0
11225,A75,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,65000.0
11226,A75,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11227,A75,7,2010,Existing,Household Buyer - Non-Occupier,
11784,A75,8,2010,All Dwelling Statuses,All Buyer Types,141875.0
11785,A75,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,141875.0
11786,A75,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11787,A75,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12344,A75,8,2010,New,All Buyer Types,141875.0
12345,A75,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,141875.0
12346,A75,8,2010,New,Household Buyer - Former Owner-Occupier,
12347,A75,8,2010,New,Household Buyer - Non-Occupier,
12904,A75,8,2010,Existing,All Buyer Types,
12905,A75,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
12906,A75,8,2010,Existing,Household Buyer - Former Owner-Occupier,
12907,A75,8,2010,Existing,Household Buyer - Non-Occupier,
13464,A75,9,2010,All Dwelling Statuses,All Buyer Types,164788.0
13465,A75,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164575.0
13466,A75,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,165000.0
13467,A75,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14024,A75,9,2010,New,All Buyer Types,164575.0
14025,A75,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,164575.0
14026,A75,9,2010,New,Household Buyer - Former Owner-Occupier,
14027,A75,9,2010,New,Household Buyer - Non-Occupier,
14584,A75,9,2010,Existing,All Buyer Types,165000.0
14585,A75,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
14586,A75,9,2010,Existing,Household Buyer - Former Owner-Occupier,165000.0
14587,A75,9,2010,Existing,Household Buyer - Non-Occupier,
15144,A75,10,2010,All Dwelling Statuses,All Buyer Types,242500.0
15145,A75,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,242500.0
15146,A75,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15147,A75,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
15704,A75,10,2010,New,All Buyer Types,
15705,A75,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15706,A75,10,2010,New,Household Buyer - Former Owner-Occupier,
15707,A75,10,2010,New,Household Buyer - Non-Occupier,
16264,A75,10,2010,Existing,All Buyer Types,242500.0
16265,A75,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,242500.0
16266,A75,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16267,A75,10,2010,Existing,Household Buyer - Non-Occupier,
16824,A75,11,2010,All Dwelling Statuses,All Buyer Types,118538.0
16825,A75,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,72500.0
16826,A75,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,164575.0
16827,A75,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17384,A75,11,2010,New,All Buyer Types,164575.0
17385,A75,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17386,A75,11,2010,New,Household Buyer - Former Owner-Occupier,164575.0
17387,A75,11,2010,New,Household Buyer - Non-Occupier,
17944,A75,11,2010,Existing,All Buyer Types,72500.0
17945,A75,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,72500.0
17946,A75,11,2010,Existing,Household Buyer - Former Owner-Occupier,
17947,A75,11,2010,Existing,Household Buyer - Non-Occupier,
18504,A75,12,2010,All Dwelling Statuses,All Buyer Types,97869.0
18505,A75,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
18506,A75,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,161738.0
18507,A75,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,34000.0
19064,A75,12,2010,New,All Buyer Types,161738.0
19065,A75,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
19066,A75,12,2010,New,Household Buyer - Former Owner-Occupier,161738.0
19067,A75,12,2010,New,Household Buyer - Non-Occupier,
19624,A75,12,2010,Existing,All Buyer Types,34000.0
19625,A75,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
19626,A75,12,2010,Existing,Household Buyer - Former Owner-Occupier,
19627,A75,12,2010,Existing,Household Buyer - Non-Occupier,34000.0
20184,A75,1,2011,All Dwelling Statuses,All Buyer Types,
20185,A75,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
20186,A75,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
20187,A75,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
20744,A75,1,2011,New,All Buyer Types,
20745,A75,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
20746,A75,1,2011,New,Household Buyer - Former Owner-Occupier,
20747,A75,1,2011,New,Household Buyer - Non-Occupier,
21304,A75,1,2011,Existing,All Buyer Types,
21305,A75,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21306,A75,1,2011,Existing,Household Buyer - Former Owner-Occupier,
21307,A75,1,2011,Existing,Household Buyer - Non-Occupier,
21864,A75,2,2011,All Dwelling Statuses,All Buyer Types,127333.0
21865,A75,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,91999.0
21866,A75,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,240000.0
21867,A75,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,50000.0
22424,A75,2,2011,New,All Buyer Types,91999.0
22425,A75,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,91999.0
22426,A75,2,2011,New,Household Buyer - Former Owner-Occupier,
22427,A75,2,2011,New,Household Buyer - Non-Occupier,
22984,A75,2,2011,Existing,All Buyer Types,145000.0
22985,A75,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
22986,A75,2,2011,Existing,Household Buyer - Former Owner-Occupier,240000.0
22987,A75,2,2011,Existing,Household Buyer - Non-Occupier,50000.0
23544,A75,3,2011,All Dwelling Statuses,All Buyer Types,
23545,A75,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
23546,A75,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
23547,A75,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
24104,A75,3,2011,New,All Buyer Types,
