,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
224,F45,1,2010,All Dwelling Statuses,All Buyer Types,148638.0
225,F45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,110000.0
226,F45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,187275.0
227,F45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
784,F45,1,2010,New,All Buyer Types,187275.0
785,F45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
786,F45,1,2010,New,Household Buyer - Former Owner-Occupier,187275.0
787,F45,1,2010,New,Household Buyer - Non-Occupier,
1344,F45,1,2010,Existing,All Buyer Types,110000.0
1345,F45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,110000.0
1346,F45,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1347,F45,1,2010,Existing,Household Buyer - Non-Occupier,
1904,F45,2,2010,All Dwelling Statuses,All Buyer Types,103100.0
1905,F45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
1906,F45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,102333.0
1907,F45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,65000.0
2464,F45,2,2010,New,All Buyer Types,136200.0
2465,F45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
2466,F45,2,2010,New,Household Buyer - Former Owner-Occupier,113500.0
2467,F45,2,2010,New,Household Buyer - Non-Occupier,
3024,F45,2,2010,Existing,All Buyer Types,70000.0
3025,F45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3026,F45,2,2010,Existing,Household Buyer - Former Owner-Occupier,80000.0
3027,F45,2,2010,Existing,Household Buyer - Non-Occupier,65000.0
3584,F45,3,2010,All Dwelling Statuses,All Buyer Types,146731.0
3585,F45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180051.0
3586,F45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,80000.0
3587,F45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,113500.0
4144,F45,3,2010,New,All Buyer Types,138827.0
4145,F45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,164153.0
4146,F45,3,2010,New,Household Buyer - Former Owner-Occupier,
4147,F45,3,2010,New,Household Buyer - Non-Occupier,113500.0
4704,F45,3,2010,Existing,All Buyer Types,152000.0
4705,F45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188000.0
4706,F45,3,2010,Existing,Household Buyer - Former Owner-Occupier,80000.0
4707,F45,3,2010,Existing,Household Buyer - Non-Occupier,
5264,F45,4,2010,All Dwelling Statuses,All Buyer Types,118169.0
5265,F45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
5266,F45,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,76338.0
5267,F45,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5824,F45,4,2010,New,All Buyer Types,160000.0
5825,F45,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
5826,F45,4,2010,New,Household Buyer - Former Owner-Occupier,
5827,F45,4,2010,New,Household Buyer - Non-Occupier,
6384,F45,4,2010,Existing,All Buyer Types,76338.0
6385,F45,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6386,F45,4,2010,Existing,Household Buyer - Former Owner-Occupier,76338.0
6387,F45,4,2010,Existing,Household Buyer - Non-Occupier,
6944,F45,5,2010,All Dwelling Statuses,All Buyer Types,57500.0
6945,F45,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
6946,F45,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,45000.0
6947,F45,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,70000.0
7504,F45,5,2010,New,All Buyer Types,
7505,F45,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7506,F45,5,2010,New,Household Buyer - Former Owner-Occupier,
7507,F45,5,2010,New,Household Buyer - Non-Occupier,
8064,F45,5,2010,Existing,All Buyer Types,57500.0
8065,F45,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8066,F45,5,2010,Existing,Household Buyer - Former Owner-Occupier,45000.0
8067,F45,5,2010,Existing,Household Buyer - Non-Occupier,70000.0
8624,F45,6,2010,All Dwelling Statuses,All Buyer Types,106333.0
8625,F45,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,59500.0
8626,F45,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200000.0
8627,F45,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9184,F45,6,2010,New,All Buyer Types,
9185,F45,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9186,F45,6,2010,New,Household Buyer - Former Owner-Occupier,
9187,F45,6,2010,New,Household Buyer - Non-Occupier,
9744,F45,6,2010,Existing,All Buyer Types,106333.0
9745,F45,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,59500.0
9746,F45,6,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
9747,F45,6,2010,Existing,Household Buyer - Non-Occupier,
