,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
252,H12,1,2010,All Dwelling Statuses,All Buyer Types,143846.0
253,H12,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,137650.0
254,H12,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
255,H12,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,181025.0
812,H12,1,2010,New,All Buyer Types,139385.0
813,H12,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,128975.0
814,H12,1,2010,New,Household Buyer - Former Owner-Occupier,
815,H12,1,2010,New,Household Buyer - Non-Occupier,181025.0
1372,H12,1,2010,Existing,All Buyer Types,155000.0
1373,H12,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
1374,H12,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1375,H12,1,2010,Existing,Household Buyer - Non-Occupier,
1932,H12,2,2010,All Dwelling Statuses,All Buyer Types,158631.0
1933,H12,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,159983.0
1934,H12,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,113500.0
1935,H12,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,192950.0
2492,H12,2,2010,New,All Buyer Types,161090.0
2493,H12,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,163337.0
2494,H12,2,2010,New,Household Buyer - Former Owner-Occupier,113500.0
2495,H12,2,2010,New,Household Buyer - Non-Occupier,192950.0
3052,H12,2,2010,Existing,All Buyer Types,136500.0
3053,H12,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,136500.0
3054,H12,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3055,H12,2,2010,Existing,Household Buyer - Non-Occupier,
3612,H12,3,2010,All Dwelling Statuses,All Buyer Types,156490.0
3613,H12,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,137305.0
3614,H12,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,230809.0
3615,H12,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121750.0
4172,H12,3,2010,New,All Buyer Types,171338.0
4173,H12,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,131146.0
