,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
516,W23,1,2010,All Dwelling Statuses,All Buyer Types,314709.0
517,W23,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,330445.0
518,W23,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,323333.0
519,W23,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
1076,W23,1,2010,New,All Buyer Types,305085.0
1077,W23,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,305085.0
1078,W23,1,2010,New,Household Buyer - Former Owner-Occupier,
1079,W23,1,2010,New,Household Buyer - Non-Occupier,
1636,W23,1,2010,Existing,All Buyer Types,317917.0
1637,W23,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,343125.0
1638,W23,1,2010,Existing,Household Buyer - Former Owner-Occupier,323333.0
1639,W23,1,2010,Existing,Household Buyer - Non-Occupier,100000.0
2196,W23,2,2010,All Dwelling Statuses,All Buyer Types,355686.0
2197,W23,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,276335.0
2198,W23,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,562000.0
2199,W23,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2756,W23,2,2010,New,All Buyer Types,415035.0
2757,W23,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,292907.0
2758,W23,2,2010,New,Household Buyer - Former Owner-Occupier,699999.0
2759,W23,2,2010,New,Household Buyer - Non-Occupier,
3316,W23,2,2010,Existing,All Buyer Types,281500.0
3317,W23,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,257000.0
3318,W23,2,2010,Existing,Household Buyer - Former Owner-Occupier,355000.0
3319,W23,2,2010,Existing,Household Buyer - Non-Occupier,
3876,W23,3,2010,All Dwelling Statuses,All Buyer Types,334705.0
3877,W23,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270182.0
3878,W23,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,392740.0
3879,W23,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,290000.0
4436,W23,3,2010,New,All Buyer Types,401458.0
4437,W23,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,260000.0
4438,W23,3,2010,New,Household Buyer - Former Owner-Occupier,441875.0
4439,W23,3,2010,New,Household Buyer - Non-Occupier,
4996,W23,3,2010,Existing,All Buyer Types,297156.0
4997,W23,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,272444.0
4998,W23,3,2010,Existing,Household Buyer - Former Owner-Occupier,335417.0
4999,W23,3,2010,Existing,Household Buyer - Non-Occupier,290000.0
5556,W23,4,2010,All Dwelling Statuses,All Buyer Types,274148.0
5557,W23,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,260063.0
5558,W23,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,330486.0
