,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
384,P56,1,2010,All Dwelling Statuses,All Buyer Types,85000.0
385,P56,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,85000.0
386,P56,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
387,P56,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
944,P56,1,2010,New,All Buyer Types,
945,P56,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
946,P56,1,2010,New,Household Buyer - Former Owner-Occupier,
947,P56,1,2010,New,Household Buyer - Non-Occupier,
1504,P56,1,2010,Existing,All Buyer Types,85000.0
1505,P56,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,85000.0
1506,P56,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1507,P56,1,2010,Existing,Household Buyer - Non-Occupier,
2064,P56,2,2010,All Dwelling Statuses,All Buyer Types,308720.0
2065,P56,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,308720.0
2066,P56,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2067,P56,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2624,P56,2,2010,New,All Buyer Types,308720.0
2625,P56,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,308720.0
2626,P56,2,2010,New,Household Buyer - Former Owner-Occupier,
2627,P56,2,2010,New,Household Buyer - Non-Occupier,
3184,P56,2,2010,Existing,All Buyer Types,
3185,P56,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3186,P56,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3187,P56,2,2010,Existing,Household Buyer - Non-Occupier,
3744,P56,3,2010,All Dwelling Statuses,All Buyer Types,193917.0
3745,P56,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
3746,P56,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,361500.0
3747,P56,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,50000.0
4304,P56,3,2010,New,All Buyer Types,170250.0
4305,P56,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
4306,P56,3,2010,New,Household Buyer - Former Owner-Occupier,
4307,P56,3,2010,New,Household Buyer - Non-Occupier,
4864,P56,3,2010,Existing,All Buyer Types,205750.0
4865,P56,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4866,P56,3,2010,Existing,Household Buyer - Former Owner-Occupier,361500.0
4867,P56,3,2010,Existing,Household Buyer - Non-Occupier,50000.0
5424,P56,4,2010,All Dwelling Statuses,All Buyer Types,125000.0
5425,P56,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5426,P56,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5427,P56,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
5984,P56,4,2010,New,All Buyer Types,
5985,P56,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5986,P56,4,2010,New,Household Buyer - Former Owner-Occupier,
5987,P56,4,2010,New,Household Buyer - Non-Occupier,
6544,P56,4,2010,Existing,All Buyer Types,125000.0
6545,P56,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6546,P56,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6547,P56,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
7104,P56,5,2010,All Dwelling Statuses,All Buyer Types,141342.0
7105,P56,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169513.0
7106,P56,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,85000.0
7107,P56,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7664,P56,5,2010,New,All Buyer Types,244025.0
7665,P56,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244025.0
7666,P56,5,2010,New,Household Buyer - Former Owner-Occupier,
7667,P56,5,2010,New,Household Buyer - Non-Occupier,
8224,P56,5,2010,Existing,All Buyer Types,90000.0
8225,P56,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,95000.0
8226,P56,5,2010,Existing,Household Buyer - Former Owner-Occupier,85000.0
8227,P56,5,2010,Existing,Household Buyer - Non-Occupier,
8784,P56,6,2010,All Dwelling Statuses,All Buyer Types,156167.0
8785,P56,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8786,P56,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,156167.0
8787,P56,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9344,P56,6,2010,New,All Buyer Types,
9345,P56,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9346,P56,6,2010,New,Household Buyer - Former Owner-Occupier,
9347,P56,6,2010,New,Household Buyer - Non-Occupier,
9904,P56,6,2010,Existing,All Buyer Types,156167.0
9905,P56,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9906,P56,6,2010,Existing,Household Buyer - Former Owner-Occupier,156167.0
9907,P56,6,2010,Existing,Household Buyer - Non-Occupier,
10464,P56,7,2010,All Dwelling Statuses,All Buyer Types,275000.0
10465,P56,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
10466,P56,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10467,P56,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11024,P56,7,2010,New,All Buyer Types,
11025,P56,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
11026,P56,7,2010,New,Household Buyer - Former Owner-Occupier,
11027,P56,7,2010,New,Household Buyer - Non-Occupier,
11584,P56,7,2010,Existing,All Buyer Types,275000.0
11585,P56,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
11586,P56,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11587,P56,7,2010,Existing,Household Buyer - Non-Occupier,
12144,P56,8,2010,All Dwelling Statuses,All Buyer Types,119044.0
12145,P56,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
12146,P56,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,119044.0
12147,P56,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12704,P56,8,2010,New,All Buyer Types,68087.0
12705,P56,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12706,P56,8,2010,New,Household Buyer - Former Owner-Occupier,68087.0
12707,P56,8,2010,New,Household Buyer - Non-Occupier,
13264,P56,8,2010,Existing,All Buyer Types,170000.0
13265,P56,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13266,P56,8,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
13267,P56,8,2010,Existing,Household Buyer - Non-Occupier,
13824,P56,9,2010,All Dwelling Statuses,All Buyer Types,184311.0
13825,P56,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210283.0
13826,P56,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,154430.0
13827,P56,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,186917.0
14384,P56,9,2010,New,All Buyer Types,239544.0
