,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
196,F12,1,2010,All Dwelling Statuses,All Buyer Types,168333.0
197,F12,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,262000.0
198,F12,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
199,F12,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121500.0
756,F12,1,2010,New,All Buyer Types,262000.0
757,F12,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,262000.0
758,F12,1,2010,New,Household Buyer - Former Owner-Occupier,
759,F12,1,2010,New,Household Buyer - Non-Occupier,
1316,F12,1,2010,Existing,All Buyer Types,121500.0
1317,F12,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1318,F12,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1319,F12,1,2010,Existing,Household Buyer - Non-Occupier,121500.0
1876,F12,2,2010,All Dwelling Statuses,All Buyer Types,141784.0
1877,F12,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,155353.0
1878,F12,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,135000.0
1879,F12,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2436,F12,2,2010,New,All Buyer Types,110000.0
2437,F12,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2438,F12,2,2010,New,Household Buyer - Former Owner-Occupier,110000.0
2439,F12,2,2010,New,Household Buyer - Non-Occupier,
2996,F12,2,2010,Existing,All Buyer Types,157676.0
2997,F12,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155353.0
2998,F12,2,2010,Existing,Household Buyer - Former Owner-Occupier,160000.0
2999,F12,2,2010,Existing,Household Buyer - Non-Occupier,
3556,F12,3,2010,All Dwelling Statuses,All Buyer Types,170625.0
3557,F12,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,215938.0
3558,F12,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,115000.0
3559,F12,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,45000.0
4116,F12,3,2010,New,All Buyer Types,148750.0
4117,F12,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,165625.0
4118,F12,3,2010,New,Household Buyer - Former Owner-Occupier,115000.0
4119,F12,3,2010,New,Household Buyer - Non-Occupier,
4676,F12,3,2010,Existing,All Buyer Types,192500.0
4677,F12,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,266250.0
4678,F12,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4679,F12,3,2010,Existing,Household Buyer - Non-Occupier,45000.0
5236,F12,4,2010,All Dwelling Statuses,All Buyer Types,203278.0
5237,F12,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153200.0
5238,F12,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,116965.0
5239,F12,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,327590.0
5796,F12,4,2010,New,All Buyer Types,142933.0
5797,F12,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,145933.0
5798,F12,4,2010,New,Household Buyer - Former Owner-Occupier,133930.0
5799,F12,4,2010,New,Household Buyer - Non-Occupier,
6356,F12,4,2010,Existing,All Buyer Types,251554.0
6357,F12,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
6358,F12,4,2010,Existing,Household Buyer - Former Owner-Occupier,100000.0
6359,F12,4,2010,Existing,Household Buyer - Non-Occupier,327590.0
6916,F12,5,2010,All Dwelling Statuses,All Buyer Types,170000.0
6917,F12,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218000.0
6918,F12,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,147500.0
6919,F12,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,71000.0
