,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
288,H71,1,2010,All Dwelling Statuses,All Buyer Types,
289,H71,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
290,H71,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
291,H71,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
848,H71,1,2010,New,All Buyer Types,
849,H71,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
850,H71,1,2010,New,Household Buyer - Former Owner-Occupier,
851,H71,1,2010,New,Household Buyer - Non-Occupier,
1408,H71,1,2010,Existing,All Buyer Types,
1409,H71,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1410,H71,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1411,H71,1,2010,Existing,Household Buyer - Non-Occupier,
1968,H71,2,2010,All Dwelling Statuses,All Buyer Types,
1969,H71,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1970,H71,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1971,H71,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2528,H71,2,2010,New,All Buyer Types,
2529,H71,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2530,H71,2,2010,New,Household Buyer - Former Owner-Occupier,
2531,H71,2,2010,New,Household Buyer - Non-Occupier,
3088,H71,2,2010,Existing,All Buyer Types,
3089,H71,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3090,H71,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3091,H71,2,2010,Existing,Household Buyer - Non-Occupier,
3648,H71,3,2010,All Dwelling Statuses,All Buyer Types,270000.0
3649,H71,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
3650,H71,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3651,H71,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4208,H71,3,2010,New,All Buyer Types,
4209,H71,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4210,H71,3,2010,New,Household Buyer - Former Owner-Occupier,
4211,H71,3,2010,New,Household Buyer - Non-Occupier,
4768,H71,3,2010,Existing,All Buyer Types,270000.0
4769,H71,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
4770,H71,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4771,H71,3,2010,Existing,Household Buyer - Non-Occupier,
5328,H71,4,2010,All Dwelling Statuses,All Buyer Types,202000.0
5329,H71,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5330,H71,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5331,H71,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,202000.0
5888,H71,4,2010,New,All Buyer Types,
5889,H71,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5890,H71,4,2010,New,Household Buyer - Former Owner-Occupier,
5891,H71,4,2010,New,Household Buyer - Non-Occupier,
6448,H71,4,2010,Existing,All Buyer Types,202000.0
6449,H71,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6450,H71,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6451,H71,4,2010,Existing,Household Buyer - Non-Occupier,202000.0
7008,H71,5,2010,All Dwelling Statuses,All Buyer Types,
7009,H71,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7010,H71,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7011,H71,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7568,H71,5,2010,New,All Buyer Types,
7569,H71,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7570,H71,5,2010,New,Household Buyer - Former Owner-Occupier,
7571,H71,5,2010,New,Household Buyer - Non-Occupier,
8128,H71,5,2010,Existing,All Buyer Types,
8129,H71,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8130,H71,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8131,H71,5,2010,Existing,Household Buyer - Non-Occupier,
8688,H71,6,2010,All Dwelling Statuses,All Buyer Types,
