,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
408,P85,1,2010,All Dwelling Statuses,All Buyer Types,
409,P85,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
410,P85,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
411,P85,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
968,P85,1,2010,New,All Buyer Types,
969,P85,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
970,P85,1,2010,New,Household Buyer - Former Owner-Occupier,
971,P85,1,2010,New,Household Buyer - Non-Occupier,
1528,P85,1,2010,Existing,All Buyer Types,
1529,P85,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1530,P85,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1531,P85,1,2010,Existing,Household Buyer - Non-Occupier,
2088,P85,2,2010,All Dwelling Statuses,All Buyer Types,272160.0
2089,P85,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,273240.0
2090,P85,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2091,P85,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,269999.0
2648,P85,2,2010,New,All Buyer Types,275740.0
2649,P85,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,281480.0
2650,P85,2,2010,New,Household Buyer - Former Owner-Occupier,
2651,P85,2,2010,New,Household Buyer - Non-Occupier,269999.0
3208,P85,2,2010,Existing,All Buyer Types,265000.0
3209,P85,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,265000.0
3210,P85,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3211,P85,2,2010,Existing,Household Buyer - Non-Occupier,
3768,P85,3,2010,All Dwelling Statuses,All Buyer Types,333333.0
3769,P85,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
3770,P85,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,350000.0
3771,P85,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4328,P85,3,2010,New,All Buyer Types,350000.0
4329,P85,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4330,P85,3,2010,New,Household Buyer - Former Owner-Occupier,350000.0
4331,P85,3,2010,New,Household Buyer - Non-Occupier,
4888,P85,3,2010,Existing,All Buyer Types,325000.0
4889,P85,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
4890,P85,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4891,P85,3,2010,Existing,Household Buyer - Non-Occupier,
5448,P85,4,2010,All Dwelling Statuses,All Buyer Types,274013.0
5449,P85,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,237017.0
5450,P85,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,385000.0
5451,P85,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6008,P85,4,2010,New,All Buyer Types,261050.0
6009,P85,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
6010,P85,4,2010,New,Household Buyer - Former Owner-Occupier,
6011,P85,4,2010,New,Household Buyer - Non-Occupier,
6568,P85,4,2010,Existing,All Buyer Types,278333.0
6569,P85,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
6570,P85,4,2010,Existing,Household Buyer - Former Owner-Occupier,385000.0
6571,P85,4,2010,Existing,Household Buyer - Non-Occupier,
7128,P85,5,2010,All Dwelling Statuses,All Buyer Types,304214.0
7129,P85,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213717.0
7130,P85,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,439961.0
7131,P85,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7688,P85,5,2010,New,All Buyer Types,392036.0
7689,P85,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,329150.0
7690,P85,5,2010,New,Household Buyer - Former Owner-Occupier,454921.0
7691,P85,5,2010,New,Household Buyer - Non-Occupier,
8248,P85,5,2010,Existing,All Buyer Types,245667.0
8249,P85,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,156000.0
8250,P85,5,2010,Existing,Household Buyer - Former Owner-Occupier,425000.0
8251,P85,5,2010,Existing,Household Buyer - Non-Occupier,
8808,P85,6,2010,All Dwelling Statuses,All Buyer Types,213000.0
