,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
268,H23,1,2010,All Dwelling Statuses,All Buyer Types,
269,H23,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
270,H23,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
271,H23,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
828,H23,1,2010,New,All Buyer Types,
829,H23,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
830,H23,1,2010,New,Household Buyer - Former Owner-Occupier,
831,H23,1,2010,New,Household Buyer - Non-Occupier,
1388,H23,1,2010,Existing,All Buyer Types,
1389,H23,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1390,H23,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1391,H23,1,2010,Existing,Household Buyer - Non-Occupier,
1948,H23,2,2010,All Dwelling Statuses,All Buyer Types,
1949,H23,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1950,H23,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1951,H23,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2508,H23,2,2010,New,All Buyer Types,
2509,H23,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2510,H23,2,2010,New,Household Buyer - Former Owner-Occupier,
2511,H23,2,2010,New,Household Buyer - Non-Occupier,
3068,H23,2,2010,Existing,All Buyer Types,
3069,H23,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3070,H23,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3071,H23,2,2010,Existing,Household Buyer - Non-Occupier,
3628,H23,3,2010,All Dwelling Statuses,All Buyer Types,185000.0
3629,H23,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3630,H23,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,185000.0
3631,H23,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4188,H23,3,2010,New,All Buyer Types,185000.0
4189,H23,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4190,H23,3,2010,New,Household Buyer - Former Owner-Occupier,185000.0
4191,H23,3,2010,New,Household Buyer - Non-Occupier,
4748,H23,3,2010,Existing,All Buyer Types,
4749,H23,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4750,H23,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4751,H23,3,2010,Existing,Household Buyer - Non-Occupier,
5308,H23,4,2010,All Dwelling Statuses,All Buyer Types,
5309,H23,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5310,H23,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5311,H23,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5868,H23,4,2010,New,All Buyer Types,
5869,H23,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5870,H23,4,2010,New,Household Buyer - Former Owner-Occupier,
5871,H23,4,2010,New,Household Buyer - Non-Occupier,
