,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
192,E91,1,2010,All Dwelling Statuses,All Buyer Types,268940.0
193,E91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270910.0
194,E91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,265000.0
195,E91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
752,E91,1,2010,New,All Buyer Types,376820.0
753,E91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,376820.0
754,E91,1,2010,New,Household Buyer - Former Owner-Occupier,
755,E91,1,2010,New,Household Buyer - Non-Occupier,
1312,E91,1,2010,Existing,All Buyer Types,215000.0
1313,E91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
1314,E91,1,2010,Existing,Household Buyer - Former Owner-Occupier,265000.0
1315,E91,1,2010,Existing,Household Buyer - Non-Occupier,
1872,E91,2,2010,All Dwelling Statuses,All Buyer Types,177286.0
1873,E91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,156000.0
1874,E91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,230500.0
1875,E91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2432,E91,2,2010,New,All Buyer Types,
2433,E91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2434,E91,2,2010,New,Household Buyer - Former Owner-Occupier,
2435,E91,2,2010,New,Household Buyer - Non-Occupier,
2992,E91,2,2010,Existing,All Buyer Types,177286.0
2993,E91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,156000.0
2994,E91,2,2010,Existing,Household Buyer - Former Owner-Occupier,230500.0
2995,E91,2,2010,Existing,Household Buyer - Non-Occupier,
3552,E91,3,2010,All Dwelling Statuses,All Buyer Types,205750.0
3553,E91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195300.0
3554,E91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,223750.0
3555,E91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,222000.0
4112,E91,3,2010,New,All Buyer Types,192251.0
4113,E91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,162501.0
4114,E91,3,2010,New,Household Buyer - Former Owner-Occupier,
4115,E91,3,2010,New,Household Buyer - Non-Occupier,222000.0
4672,E91,3,2010,Existing,All Buyer Types,210250.0
4673,E91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,203500.0
4674,E91,3,2010,Existing,Household Buyer - Former Owner-Occupier,223750.0
4675,E91,3,2010,Existing,Household Buyer - Non-Occupier,
5232,E91,4,2010,All Dwelling Statuses,All Buyer Types,215333.0
5233,E91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,222500.0
5234,E91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,255333.0
5235,E91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,81000.0
5792,E91,4,2010,New,All Buyer Types,
5793,E91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5794,E91,4,2010,New,Household Buyer - Former Owner-Occupier,
5795,E91,4,2010,New,Household Buyer - Non-Occupier,
6352,E91,4,2010,Existing,All Buyer Types,215333.0
6353,E91,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222500.0
6354,E91,4,2010,Existing,Household Buyer - Former Owner-Occupier,255333.0
6355,E91,4,2010,Existing,Household Buyer - Non-Occupier,81000.0
6912,E91,5,2010,All Dwelling Statuses,All Buyer Types,182248.0
6913,E91,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180122.0
6914,E91,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,195000.0
6915,E91,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7472,E91,5,2010,New,All Buyer Types,153733.0
7473,E91,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,153733.0
7474,E91,5,2010,New,Household Buyer - Former Owner-Occupier,
7475,E91,5,2010,New,Household Buyer - Non-Occupier,
8032,E91,5,2010,Existing,All Buyer Types,187000.0
8033,E91,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185400.0
8034,E91,5,2010,Existing,Household Buyer - Former Owner-Occupier,195000.0
8035,E91,5,2010,Existing,Household Buyer - Non-Occupier,
8592,E91,6,2010,All Dwelling Statuses,All Buyer Types,209431.0
8593,E91,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186500.0
8594,E91,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,233235.0
8595,E91,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,159200.0
9152,E91,6,2010,New,All Buyer Types,459675.0
9153,E91,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9154,E91,6,2010,New,Household Buyer - Former Owner-Occupier,459675.0
9155,E91,6,2010,New,Household Buyer - Non-Occupier,
9712,E91,6,2010,Existing,All Buyer Types,178150.0
9713,E91,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186500.0
9714,E91,6,2010,Existing,Household Buyer - Former Owner-Occupier,176625.0
9715,E91,6,2010,Existing,Household Buyer - Non-Occupier,159200.0
10272,E91,7,2010,All Dwelling Statuses,All Buyer Types,163600.0
10273,E91,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,154333.0
