,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
352,P24,1,2010,All Dwelling Statuses,All Buyer Types,210750.0
353,P24,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210750.0
354,P24,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
355,P24,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
912,P24,1,2010,New,All Buyer Types,178000.0
913,P24,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,178000.0
914,P24,1,2010,New,Household Buyer - Former Owner-Occupier,
915,P24,1,2010,New,Household Buyer - Non-Occupier,
1472,P24,1,2010,Existing,All Buyer Types,221667.0
1473,P24,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,221667.0
1474,P24,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1475,P24,1,2010,Existing,Household Buyer - Non-Occupier,
2032,P24,2,2010,All Dwelling Statuses,All Buyer Types,30000.0
2033,P24,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,30000.0
2034,P24,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2035,P24,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2592,P24,2,2010,New,All Buyer Types,
2593,P24,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2594,P24,2,2010,New,Household Buyer - Former Owner-Occupier,
2595,P24,2,2010,New,Household Buyer - Non-Occupier,
3152,P24,2,2010,Existing,All Buyer Types,30000.0
3153,P24,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,30000.0
3154,P24,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3155,P24,2,2010,Existing,Household Buyer - Non-Occupier,
3712,P24,3,2010,All Dwelling Statuses,All Buyer Types,179346.0
3713,P24,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
3714,P24,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,156519.0
3715,P24,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4272,P24,3,2010,New,All Buyer Types,139038.0
4273,P24,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4274,P24,3,2010,New,Household Buyer - Former Owner-Occupier,139038.0
4275,P24,3,2010,New,Household Buyer - Non-Occupier,
4832,P24,3,2010,Existing,All Buyer Types,199500.0
4833,P24,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
4834,P24,3,2010,Existing,Household Buyer - Former Owner-Occupier,174000.0
4835,P24,3,2010,Existing,Household Buyer - Non-Occupier,
5392,P24,4,2010,All Dwelling Statuses,All Buyer Types,177500.0
5393,P24,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,207500.0
5394,P24,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,117500.0
5395,P24,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5952,P24,4,2010,New,All Buyer Types,
5953,P24,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5954,P24,4,2010,New,Household Buyer - Former Owner-Occupier,
5955,P24,4,2010,New,Household Buyer - Non-Occupier,
6512,P24,4,2010,Existing,All Buyer Types,177500.0
6513,P24,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,207500.0
6514,P24,4,2010,Existing,Household Buyer - Former Owner-Occupier,117500.0
6515,P24,4,2010,Existing,Household Buyer - Non-Occupier,
7072,P24,5,2010,All Dwelling Statuses,All Buyer Types,157333.0
7073,P24,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,207000.0
7074,P24,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200000.0
7075,P24,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,65000.0
7632,P24,5,2010,New,All Buyer Types,
7633,P24,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7634,P24,5,2010,New,Household Buyer - Former Owner-Occupier,
7635,P24,5,2010,New,Household Buyer - Non-Occupier,
8192,P24,5,2010,Existing,All Buyer Types,157333.0
8193,P24,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,207000.0
8194,P24,5,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
