,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
260,H16,1,2010,All Dwelling Statuses,All Buyer Types,135000.0
261,H16,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
262,H16,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
263,H16,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
820,H16,1,2010,New,All Buyer Types,
821,H16,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
822,H16,1,2010,New,Household Buyer - Former Owner-Occupier,
823,H16,1,2010,New,Household Buyer - Non-Occupier,
1380,H16,1,2010,Existing,All Buyer Types,135000.0
1381,H16,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1382,H16,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1383,H16,1,2010,Existing,Household Buyer - Non-Occupier,135000.0
1940,H16,2,2010,All Dwelling Statuses,All Buyer Types,222500.0
1941,H16,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
1942,H16,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225000.0
1943,H16,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2500,H16,2,2010,New,All Buyer Types,225000.0
2501,H16,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2502,H16,2,2010,New,Household Buyer - Former Owner-Occupier,225000.0
2503,H16,2,2010,New,Household Buyer - Non-Occupier,
3060,H16,2,2010,Existing,All Buyer Types,220000.0
3061,H16,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
3062,H16,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3063,H16,2,2010,Existing,Household Buyer - Non-Occupier,
3620,H16,3,2010,All Dwelling Statuses,All Buyer Types,
3621,H16,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3622,H16,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3623,H16,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4180,H16,3,2010,New,All Buyer Types,
4181,H16,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4182,H16,3,2010,New,Household Buyer - Former Owner-Occupier,
4183,H16,3,2010,New,Household Buyer - Non-Occupier,
4740,H16,3,2010,Existing,All Buyer Types,
4741,H16,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4742,H16,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4743,H16,3,2010,Existing,Household Buyer - Non-Occupier,
5300,H16,4,2010,All Dwelling Statuses,All Buyer Types,
5301,H16,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5302,H16,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5303,H16,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5860,H16,4,2010,New,All Buyer Types,
5861,H16,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5862,H16,4,2010,New,Household Buyer - Former Owner-Occupier,
5863,H16,4,2010,New,Household Buyer - Non-Occupier,
6420,H16,4,2010,Existing,All Buyer Types,
6421,H16,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6422,H16,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6423,H16,4,2010,Existing,Household Buyer - Non-Occupier,
6980,H16,5,2010,All Dwelling Statuses,All Buyer Types,105000.0
