,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
456,T23,1,2010,All Dwelling Statuses,All Buyer Types,317357.0
457,T23,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,252875.0
458,T23,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,403333.0
459,T23,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1016,T23,1,2010,New,All Buyer Types,
1017,T23,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1018,T23,1,2010,New,Household Buyer - Former Owner-Occupier,
1019,T23,1,2010,New,Household Buyer - Non-Occupier,
1576,T23,1,2010,Existing,All Buyer Types,317357.0
1577,T23,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,252875.0
1578,T23,1,2010,Existing,Household Buyer - Former Owner-Occupier,403333.0
1579,T23,1,2010,Existing,Household Buyer - Non-Occupier,
2136,T23,2,2010,All Dwelling Statuses,All Buyer Types,250509.0
2137,T23,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235236.0
2138,T23,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278000.0
2139,T23,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2696,T23,2,2010,New,All Buyer Types,293563.0
2697,T23,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,293563.0
2698,T23,2,2010,New,Household Buyer - Former Owner-Occupier,
2699,T23,2,2010,New,Household Buyer - Non-Occupier,
3256,T23,2,2010,Existing,All Buyer Types,243333.0
3257,T23,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,218571.0
3258,T23,2,2010,Existing,Household Buyer - Former Owner-Occupier,278000.0
3259,T23,2,2010,Existing,Household Buyer - Non-Occupier,
3816,T23,3,2010,All Dwelling Statuses,All Buyer Types,257614.0
3817,T23,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,194789.0
3818,T23,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,477500.0
3819,T23,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4376,T23,3,2010,New,All Buyer Types,323675.0
4377,T23,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,235513.0
4378,T23,3,2010,New,Household Buyer - Former Owner-Occupier,499999.0
4379,T23,3,2010,New,Household Buyer - Non-Occupier,
4936,T23,3,2010,Existing,All Buyer Types,224583.0
4937,T23,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,178500.0
4938,T23,3,2010,Existing,Household Buyer - Former Owner-Occupier,455000.0
4939,T23,3,2010,Existing,Household Buyer - Non-Occupier,
5496,T23,4,2010,All Dwelling Statuses,All Buyer Types,257097.0
5497,T23,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,283500.0
5498,T23,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,267469.0
5499,T23,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,110000.0
6056,T23,4,2010,New,All Buyer Types,516874.0
6057,T23,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6058,T23,4,2010,New,Household Buyer - Former Owner-Occupier,516874.0
6059,T23,4,2010,New,Household Buyer - Non-Occupier,
6616,T23,4,2010,Existing,All Buyer Types,224625.0
6617,T23,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,283500.0
6618,T23,4,2010,Existing,Household Buyer - Former Owner-Occupier,184333.0
6619,T23,4,2010,Existing,Household Buyer - Non-Occupier,110000.0
7176,T23,5,2010,All Dwelling Statuses,All Buyer Types,227641.0
7177,T23,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213298.0
7178,T23,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,465500.0
7179,T23,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,61500.0
7736,T23,5,2010,New,All Buyer Types,243738.0
7737,T23,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,243738.0
7738,T23,5,2010,New,Household Buyer - Former Owner-Occupier,
7739,T23,5,2010,New,Household Buyer - Non-Occupier,
8296,T23,5,2010,Existing,All Buyer Types,224958.0
8297,T23,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205688.0
8298,T23,5,2010,Existing,Household Buyer - Former Owner-Occupier,465500.0
8299,T23,5,2010,Existing,Household Buyer - Non-Occupier,61500.0
8856,T23,6,2010,All Dwelling Statuses,All Buyer Types,246125.0
8857,T23,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,276696.0
8858,T23,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,317500.0
8859,T23,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121250.0
9416,T23,6,2010,New,All Buyer Types,365292.0
9417,T23,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,297938.0
9418,T23,6,2010,New,Household Buyer - Former Owner-Occupier,500000.0
9419,T23,6,2010,New,Household Buyer - Non-Occupier,
9976,T23,6,2010,Existing,All Buyer Types,216333.0
9977,T23,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,268200.0
9978,T23,6,2010,Existing,Household Buyer - Former Owner-Occupier,256667.0
9979,T23,6,2010,Existing,Household Buyer - Non-Occupier,121250.0
10536,T23,7,2010,All Dwelling Statuses,All Buyer Types,228627.0
10537,T23,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177345.0
10538,T23,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,322643.0
10539,T23,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11096,T23,7,2010,New,All Buyer Types,374718.0
11097,T23,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,90800.0
11098,T23,7,2010,New,Household Buyer - Former Owner-Occupier,516678.0
11099,T23,7,2010,New,Household Buyer - Non-Occupier,
11656,T23,7,2010,Existing,All Buyer Types,197321.0
11657,T23,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186000.0
11658,T23,7,2010,Existing,Household Buyer - Former Owner-Occupier,225625.0
11659,T23,7,2010,Existing,Household Buyer - Non-Occupier,
12216,T23,8,2010,All Dwelling Statuses,All Buyer Types,249258.0
12217,T23,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240800.0
12218,T23,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,242849.0
12219,T23,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,330000.0
12776,T23,8,2010,New,All Buyer Types,260001.0
12777,T23,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12778,T23,8,2010,New,Household Buyer - Former Owner-Occupier,260001.0
