,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
452,T12,1,2010,All Dwelling Statuses,All Buyer Types,299630.0
453,T12,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,266283.0
454,T12,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,400190.0
455,T12,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,242500.0
1012,T12,1,2010,New,All Buyer Types,358990.0
1013,T12,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,341556.0
1014,T12,1,2010,New,Household Buyer - Former Owner-Occupier,382236.0
1015,T12,1,2010,New,Household Buyer - Non-Occupier,
1572,T12,1,2010,Existing,All Buyer Types,284241.0
1573,T12,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,249556.0
1574,T12,1,2010,Existing,Household Buyer - Former Owner-Occupier,409167.0
1575,T12,1,2010,Existing,Household Buyer - Non-Occupier,242500.0
2132,T12,2,2010,All Dwelling Statuses,All Buyer Types,308246.0
2133,T12,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226778.0
2134,T12,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,388412.0
2135,T12,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,207000.0
2692,T12,2,2010,New,All Buyer Types,328253.0
2693,T12,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2694,T12,2,2010,New,Household Buyer - Former Owner-Occupier,328253.0
2695,T12,2,2010,New,Household Buyer - Non-Occupier,
3252,T12,2,2010,Existing,All Buyer Types,306955.0
3253,T12,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226778.0
3254,T12,2,2010,Existing,Household Buyer - Former Owner-Occupier,396433.0
3255,T12,2,2010,Existing,Household Buyer - Non-Occupier,207000.0
3812,T12,3,2010,All Dwelling Statuses,All Buyer Types,300301.0
3813,T12,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,231443.0
3814,T12,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,361076.0
3815,T12,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,425800.0
4372,T12,3,2010,New,All Buyer Types,393738.0
4373,T12,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,280894.0
4374,T12,3,2010,New,Household Buyer - Former Owner-Occupier,484014.0
4375,T12,3,2010,New,Household Buyer - Non-Occupier,
4932,T12,3,2010,Existing,All Buyer Types,278738.0
4933,T12,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222024.0
4934,T12,3,2010,Existing,Household Buyer - Former Owner-Occupier,313792.0
4935,T12,3,2010,Existing,Household Buyer - Non-Occupier,425800.0
5492,T12,4,2010,All Dwelling Statuses,All Buyer Types,305770.0
5493,T12,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,302488.0
5494,T12,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,343333.0
5495,T12,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,255167.0
6052,T12,4,2010,New,All Buyer Types,280861.0
6053,T12,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,373415.0
6054,T12,4,2010,New,Household Buyer - Former Owner-Occupier,229000.0
6055,T12,4,2010,New,Household Buyer - Non-Occupier,236445.0
6612,T12,4,2010,Existing,All Buyer Types,311107.0
6613,T12,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,290667.0
6614,T12,4,2010,Existing,Household Buyer - Former Owner-Occupier,353727.0
6615,T12,4,2010,Existing,Household Buyer - Non-Occupier,266400.0
7172,T12,5,2010,All Dwelling Statuses,All Buyer Types,239428.0
7173,T12,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,245144.0
7174,T12,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,284643.0
7175,T12,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169714.0
7732,T12,5,2010,New,All Buyer Types,322302.0
7733,T12,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,280532.0
7734,T12,5,2010,New,Household Buyer - Former Owner-Occupier,740000.0
7735,T12,5,2010,New,Household Buyer - Non-Occupier,
8292,T12,5,2010,Existing,All Buyer Types,211803.0
8293,T12,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,227450.0
8294,T12,5,2010,Existing,Household Buyer - Former Owner-Occupier,208750.0
8295,T12,5,2010,Existing,Household Buyer - Non-Occupier,169714.0
8852,T12,6,2010,All Dwelling Statuses,All Buyer Types,350095.0
8853,T12,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,300586.0
8854,T12,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,385700.0
8855,T12,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,496250.0
9412,T12,6,2010,New,All Buyer Types,273880.0
9413,T12,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,273880.0
