,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
344,P14,1,2010,All Dwelling Statuses,All Buyer Types,
345,P14,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
346,P14,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
347,P14,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
904,P14,1,2010,New,All Buyer Types,
905,P14,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
906,P14,1,2010,New,Household Buyer - Former Owner-Occupier,
907,P14,1,2010,New,Household Buyer - Non-Occupier,
1464,P14,1,2010,Existing,All Buyer Types,
1465,P14,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1466,P14,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1467,P14,1,2010,Existing,Household Buyer - Non-Occupier,
2024,P14,2,2010,All Dwelling Statuses,All Buyer Types,
2025,P14,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2026,P14,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2027,P14,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2584,P14,2,2010,New,All Buyer Types,
2585,P14,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2586,P14,2,2010,New,Household Buyer - Former Owner-Occupier,
2587,P14,2,2010,New,Household Buyer - Non-Occupier,
3144,P14,2,2010,Existing,All Buyer Types,
3145,P14,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3146,P14,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3147,P14,2,2010,Existing,Household Buyer - Non-Occupier,
3704,P14,3,2010,All Dwelling Statuses,All Buyer Types,
3705,P14,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3706,P14,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3707,P14,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4264,P14,3,2010,New,All Buyer Types,
4265,P14,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4266,P14,3,2010,New,Household Buyer - Former Owner-Occupier,
4267,P14,3,2010,New,Household Buyer - Non-Occupier,
4824,P14,3,2010,Existing,All Buyer Types,
4825,P14,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4826,P14,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4827,P14,3,2010,Existing,Household Buyer - Non-Occupier,
5384,P14,4,2010,All Dwelling Statuses,All Buyer Types,
5385,P14,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5386,P14,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5387,P14,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5944,P14,4,2010,New,All Buyer Types,
5945,P14,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5946,P14,4,2010,New,Household Buyer - Former Owner-Occupier,
5947,P14,4,2010,New,Household Buyer - Non-Occupier,
6504,P14,4,2010,Existing,All Buyer Types,
6505,P14,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6506,P14,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6507,P14,4,2010,Existing,Household Buyer - Non-Occupier,
7064,P14,5,2010,All Dwelling Statuses,All Buyer Types,
7065,P14,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7066,P14,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7067,P14,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7624,P14,5,2010,New,All Buyer Types,
7625,P14,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7626,P14,5,2010,New,Household Buyer - Former Owner-Occupier,
7627,P14,5,2010,New,Household Buyer - Non-Occupier,
8184,P14,5,2010,Existing,All Buyer Types,
8185,P14,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8186,P14,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8187,P14,5,2010,Existing,Household Buyer - Non-Occupier,
8744,P14,6,2010,All Dwelling Statuses,All Buyer Types,220000.0
