,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
440,R56,1,2010,All Dwelling Statuses,All Buyer Types,230000.0
441,R56,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
442,R56,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,230000.0
443,R56,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1000,R56,1,2010,New,All Buyer Types,
1001,R56,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1002,R56,1,2010,New,Household Buyer - Former Owner-Occupier,
1003,R56,1,2010,New,Household Buyer - Non-Occupier,
1560,R56,1,2010,Existing,All Buyer Types,230000.0
1561,R56,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1562,R56,1,2010,Existing,Household Buyer - Former Owner-Occupier,230000.0
1563,R56,1,2010,Existing,Household Buyer - Non-Occupier,
2120,R56,2,2010,All Dwelling Statuses,All Buyer Types,249660.0
2121,R56,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,260000.0
2122,R56,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,239319.0
2123,R56,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2680,R56,2,2010,New,All Buyer Types,239319.0
2681,R56,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2682,R56,2,2010,New,Household Buyer - Former Owner-Occupier,239319.0
2683,R56,2,2010,New,Household Buyer - Non-Occupier,
3240,R56,2,2010,Existing,All Buyer Types,260000.0
3241,R56,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,260000.0
3242,R56,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3243,R56,2,2010,Existing,Household Buyer - Non-Occupier,
3800,R56,3,2010,All Dwelling Statuses,All Buyer Types,247667.0
3801,R56,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216500.0
3802,R56,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,310000.0
3803,R56,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4360,R56,3,2010,New,All Buyer Types,
4361,R56,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4362,R56,3,2010,New,Household Buyer - Former Owner-Occupier,
4363,R56,3,2010,New,Household Buyer - Non-Occupier,
4920,R56,3,2010,Existing,All Buyer Types,247667.0
4921,R56,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,216500.0
4922,R56,3,2010,Existing,Household Buyer - Former Owner-Occupier,310000.0
4923,R56,3,2010,Existing,Household Buyer - Non-Occupier,
5480,R56,4,2010,All Dwelling Statuses,All Buyer Types,305227.0
5481,R56,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
5482,R56,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,280080.0
5483,R56,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6040,R56,4,2010,New,All Buyer Types,317800.0
6041,R56,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
6042,R56,4,2010,New,Household Buyer - Former Owner-Occupier,
6043,R56,4,2010,New,Household Buyer - Non-Occupier,
6600,R56,4,2010,Existing,All Buyer Types,280080.0
6601,R56,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6602,R56,4,2010,Existing,Household Buyer - Former Owner-Occupier,280080.0
6603,R56,4,2010,Existing,Household Buyer - Non-Occupier,
7160,R56,5,2010,All Dwelling Statuses,All Buyer Types,216500.0
7161,R56,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,230000.0
7162,R56,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203000.0
7163,R56,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7720,R56,5,2010,New,All Buyer Types,
7721,R56,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7722,R56,5,2010,New,Household Buyer - Former Owner-Occupier,
7723,R56,5,2010,New,Household Buyer - Non-Occupier,
8280,R56,5,2010,Existing,All Buyer Types,216500.0
8281,R56,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230000.0
8282,R56,5,2010,Existing,Household Buyer - Former Owner-Occupier,203000.0
8283,R56,5,2010,Existing,Household Buyer - Non-Occupier,
8840,R56,6,2010,All Dwelling Statuses,All Buyer Types,231000.0
8841,R56,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186000.0
8842,R56,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340000.0
8843,R56,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,212000.0
9400,R56,6,2010,New,All Buyer Types,
9401,R56,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9402,R56,6,2010,New,Household Buyer - Former Owner-Occupier,
9403,R56,6,2010,New,Household Buyer - Non-Occupier,
9960,R56,6,2010,Existing,All Buyer Types,231000.0
9961,R56,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186000.0
9962,R56,6,2010,Existing,Household Buyer - Former Owner-Occupier,340000.0
9963,R56,6,2010,Existing,Household Buyer - Non-Occupier,212000.0
