Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
D09,Dublin 9,1,2010,All Dwelling Statuses,All Buyer Types,384828.0
D09,Dublin 9,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,317000.0
D09,Dublin 9,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,448450.0
D09,Dublin 9,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,215000.0
D09,Dublin 9,1,2010,New,All Buyer Types,404999.0
D09,Dublin 9,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,404999.0
D09,Dublin 9,1,2010,New,Household Buyer - Former Owner-Occupier,
D09,Dublin 9,1,2010,New,Household Buyer - Non-Occupier,
D09,Dublin 9,1,2010,Existing,All Buyer Types,383277.0
D09,Dublin 9,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,295000.0
D09,Dublin 9,1,2010,Existing,Household Buyer - Former Owner-Occupier,448450.0
D09,Dublin 9,1,2010,Existing,Household Buyer - Non-Occupier,215000.0
D09,Dublin 9,2,2010,All Dwelling Statuses,All Buyer Types,324951.0
D09,Dublin 9,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,278426.0
D09,Dublin 9,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,448750.0
D09,Dublin 9,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,295000.0
D09,Dublin 9,2,2010,New,All Buyer Types,86260.0
D09,Dublin 9,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,86260.0
D09,Dublin 9,2,2010,New,Household Buyer - Former Owner-Occupier,
D09,Dublin 9,2,2010,New,Household Buyer - Non-Occupier,
D09,Dublin 9,2,2010,Existing,All Buyer Types,342000.0
D09,Dublin 9,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,299778.0
D09,Dublin 9,2,2010,Existing,Household Buyer - Former Owner-Occupier,448750.0
D09,Dublin 9,2,2010,Existing,Household Buyer - Non-Occupier,295000.0
D09,Dublin 9,3,2010,All Dwelling Statuses,All Buyer Types,360181.0
D09,Dublin 9,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,296045.0
D09,Dublin 9,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,484965.0
D09,Dublin 9,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,368900.0
D09,Dublin 9,3,2010,New,All Buyer Types,242375.0
D09,Dublin 9,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,166950.0
D09,Dublin 9,3,2010,New,Household Buyer - Former Owner-Occupier,
D09,Dublin 9,3,2010,New,Household Buyer - Non-Occupier,317800.0
D09,Dublin 9,3,2010,Existing,All Buyer Types,375888.0
D09,Dublin 9,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,310389.0
D09,Dublin 9,3,2010,Existing,Household Buyer - Former Owner-Occupier,484965.0
D09,Dublin 9,3,2010,Existing,Household Buyer - Non-Occupier,420000.0
D09,Dublin 9,4,2010,All Dwelling Statuses,All Buyer Types,377178.0
D09,Dublin 9,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,271049.0
D09,Dublin 9,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,697857.0
D09,Dublin 9,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,255000.0
D09,Dublin 9,4,2010,New,All Buyer Types,216369.0
D09,Dublin 9,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,216369.0
D09,Dublin 9,4,2010,New,Household Buyer - Former Owner-Occupier,
D09,Dublin 9,4,2010,New,Household Buyer - Non-Occupier,
