Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
D6W,Dublin 6W,1,2010,All Dwelling Statuses,All Buyer Types,529400.0
D6W,Dublin 6W,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
D6W,Dublin 6W,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,580500.0
D6W,Dublin 6W,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
D6W,Dublin 6W,1,2010,New,All Buyer Types,800000.0
D6W,Dublin 6W,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,1,2010,New,Household Buyer - Former Owner-Occupier,800000.0
D6W,Dublin 6W,1,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,1,2010,Existing,All Buyer Types,461750.0
D6W,Dublin 6W,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
D6W,Dublin 6W,1,2010,Existing,Household Buyer - Former Owner-Occupier,507333.0
D6W,Dublin 6W,1,2010,Existing,Household Buyer - Non-Occupier,
D6W,Dublin 6W,2,2010,All Dwelling Statuses,All Buyer Types,423450.0
D6W,Dublin 6W,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,357000.0
D6W,Dublin 6W,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,451929.0
D6W,Dublin 6W,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
D6W,Dublin 6W,2,2010,New,All Buyer Types,
D6W,Dublin 6W,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,2,2010,New,Household Buyer - Former Owner-Occupier,
D6W,Dublin 6W,2,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,2,2010,Existing,All Buyer Types,423450.0
D6W,Dublin 6W,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,357000.0
D6W,Dublin 6W,2,2010,Existing,Household Buyer - Former Owner-Occupier,451929.0
D6W,Dublin 6W,2,2010,Existing,Household Buyer - Non-Occupier,
D6W,Dublin 6W,3,2010,All Dwelling Statuses,All Buyer Types,460713.0
D6W,Dublin 6W,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,390213.0
D6W,Dublin 6W,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,568450.0
D6W,Dublin 6W,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,490000.0
D6W,Dublin 6W,3,2010,New,All Buyer Types,629207.0
D6W,Dublin 6W,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,383063.0
D6W,Dublin 6W,3,2010,New,Household Buyer - Former Owner-Occupier,875350.0
D6W,Dublin 6W,3,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,3,2010,Existing,All Buyer Types,412571.0
D6W,Dublin 6W,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,392000.0
D6W,Dublin 6W,3,2010,Existing,Household Buyer - Former Owner-Occupier,415000.0
D6W,Dublin 6W,3,2010,Existing,Household Buyer - Non-Occupier,490000.0
D6W,Dublin 6W,4,2010,All Dwelling Statuses,All Buyer Types,423600.0
D6W,Dublin 6W,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,339000.0
D6W,Dublin 6W,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,480000.0
D6W,Dublin 6W,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
D6W,Dublin 6W,4,2010,New,All Buyer Types,
D6W,Dublin 6W,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,4,2010,New,Household Buyer - Former Owner-Occupier,
D6W,Dublin 6W,4,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,4,2010,Existing,All Buyer Types,423600.0
D6W,Dublin 6W,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,339000.0
D6W,Dublin 6W,4,2010,Existing,Household Buyer - Former Owner-Occupier,480000.0
D6W,Dublin 6W,4,2010,Existing,Household Buyer - Non-Occupier,
D6W,Dublin 6W,5,2010,All Dwelling Statuses,All Buyer Types,389857.0
D6W,Dublin 6W,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,336313.0
D6W,Dublin 6W,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,488500.0
D6W,Dublin 6W,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,325000.0
D6W,Dublin 6W,5,2010,New,All Buyer Types,340500.0
D6W,Dublin 6W,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,340500.0
D6W,Dublin 6W,5,2010,New,Household Buyer - Former Owner-Occupier,
D6W,Dublin 6W,5,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,5,2010,Existing,All Buyer Types,393654.0
D6W,Dublin 6W,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,335714.0
D6W,Dublin 6W,5,2010,Existing,Household Buyer - Former Owner-Occupier,488500.0
D6W,Dublin 6W,5,2010,Existing,Household Buyer - Non-Occupier,325000.0
D6W,Dublin 6W,6,2010,All Dwelling Statuses,All Buyer Types,522484.0
D6W,Dublin 6W,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,335592.0
D6W,Dublin 6W,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,600050.0
D6W,Dublin 6W,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,307500.0
D6W,Dublin 6W,6,2010,New,All Buyer Types,645000.0
D6W,Dublin 6W,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,6,2010,New,Household Buyer - Former Owner-Occupier,982500.0
D6W,Dublin 6W,6,2010,New,Household Buyer - Non-Occupier,307500.0
D6W,Dublin 6W,6,2010,Existing,All Buyer Types,502065.0
D6W,Dublin 6W,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,335592.0
D6W,Dublin 6W,6,2010,Existing,Household Buyer - Former Owner-Occupier,557556.0
D6W,Dublin 6W,6,2010,Existing,Household Buyer - Non-Occupier,
D6W,Dublin 6W,7,2010,All Dwelling Statuses,All Buyer Types,420119.0
D6W,Dublin 6W,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,430319.0
D6W,Dublin 6W,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,437070.0
D6W,Dublin 6W,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169000.0
D6W,Dublin 6W,7,2010,New,All Buyer Types,411500.0
D6W,Dublin 6W,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,7,2010,New,Household Buyer - Former Owner-Occupier,411500.0
D6W,Dublin 6W,7,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,7,2010,Existing,All Buyer Types,420598.0
D6W,Dublin 6W,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,430319.0
D6W,Dublin 6W,7,2010,Existing,Household Buyer - Former Owner-Occupier,439911.0
D6W,Dublin 6W,7,2010,Existing,Household Buyer - Non-Occupier,169000.0
D6W,Dublin 6W,8,2010,All Dwelling Statuses,All Buyer Types,573650.0
D6W,Dublin 6W,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,368000.0
D6W,Dublin 6W,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,609500.0
D6W,Dublin 6W,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,492500.0
D6W,Dublin 6W,8,2010,New,All Buyer Types,
D6W,Dublin 6W,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,8,2010,New,Household Buyer - Former Owner-Occupier,
D6W,Dublin 6W,8,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,8,2010,Existing,All Buyer Types,573650.0
D6W,Dublin 6W,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,368000.0
D6W,Dublin 6W,8,2010,Existing,Household Buyer - Former Owner-Occupier,609500.0
D6W,Dublin 6W,8,2010,Existing,Household Buyer - Non-Occupier,492500.0
D6W,Dublin 6W,9,2010,All Dwelling Statuses,All Buyer Types,374557.0
D6W,Dublin 6W,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,289514.0
D6W,Dublin 6W,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,467328.0
D6W,Dublin 6W,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,304999.0
D6W,Dublin 6W,9,2010,New,All Buyer Types,308562.0
D6W,Dublin 6W,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,312125.0
D6W,Dublin 6W,9,2010,New,Household Buyer - Former Owner-Occupier,
D6W,Dublin 6W,9,2010,New,Household Buyer - Non-Occupier,304999.0
D6W,Dublin 6W,9,2010,Existing,All Buyer Types,382321.0
D6W,Dublin 6W,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,286688.0
D6W,Dublin 6W,9,2010,Existing,Household Buyer - Former Owner-Occupier,467328.0
D6W,Dublin 6W,9,2010,Existing,Household Buyer - Non-Occupier,
D6W,Dublin 6W,10,2010,All Dwelling Statuses,All Buyer Types,399545.0
D6W,Dublin 6W,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,364000.0
D6W,Dublin 6W,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,471000.0
D6W,Dublin 6W,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,220000.0
D6W,Dublin 6W,10,2010,New,All Buyer Types,359999.0
D6W,Dublin 6W,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
D6W,Dublin 6W,10,2010,New,Household Buyer - Former Owner-Occupier,359999.0
D6W,Dublin 6W,10,2010,New,Household Buyer - Non-Occupier,
D6W,Dublin 6W,10,2010,Existing,All Buyer Types,408333.0
D6W,Dublin 6W,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,364000.0
D6W,Dublin 6W,10,2010,Existing,Household Buyer - Former Owner-Occupier,545000.0
D6W,Dublin 6W,10,2010,Existing,Household Buyer - Non-Occupier,220000.0
D6W,Dublin 6W,11,2010,All Dwelling Statuses,All Buyer Types,454833.0
D6W,Dublin 6W,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,287500.0
D6W,Dublin 6W,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,488300.0
D6W,Dublin 6W,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
D6W,Dublin 6W,11,2010,New,All Buyer Types,826301.0
D6W,Dublin 6W,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
