,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
248,F94,1,2010,All Dwelling Statuses,All Buyer Types,207981.0
249,F94,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
250,F94,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,152333.0
251,F94,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,256713.0
808,F94,1,2010,New,All Buyer Types,258425.0
809,F94,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
810,F94,1,2010,New,Household Buyer - Former Owner-Occupier,
811,F94,1,2010,New,Household Buyer - Non-Occupier,258425.0
1368,F94,1,2010,Existing,All Buyer Types,191167.0
1369,F94,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
1370,F94,1,2010,Existing,Household Buyer - Former Owner-Occupier,152333.0
1371,F94,1,2010,Existing,Household Buyer - Non-Occupier,255000.0
1928,F94,2,2010,All Dwelling Statuses,All Buyer Types,187057.0
1929,F94,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169825.0
1930,F94,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,249818.0
1931,F94,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,96000.0
2488,F94,2,2010,New,All Buyer Types,215650.0
2489,F94,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215650.0
2490,F94,2,2010,New,Household Buyer - Former Owner-Occupier,
2491,F94,2,2010,New,Household Buyer - Non-Occupier,
3048,F94,2,2010,Existing,All Buyer Types,179909.0
3049,F94,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,124000.0
3050,F94,2,2010,Existing,Household Buyer - Former Owner-Occupier,249818.0
3051,F94,2,2010,Existing,Household Buyer - Non-Occupier,96000.0
3608,F94,3,2010,All Dwelling Statuses,All Buyer Types,160877.0
3609,F94,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170783.0
3610,F94,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,111560.0
3611,F94,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,186196.0
4168,F94,3,2010,New,All Buyer Types,177753.0
4169,F94,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,171696.0
4170,F94,3,2010,New,Household Buyer - Former Owner-Occupier,173088.0
4171,F94,3,2010,New,Household Buyer - Non-Occupier,190958.0
4728,F94,3,2010,Existing,All Buyer Types,142125.0
4729,F94,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,168500.0
4730,F94,3,2010,Existing,Household Buyer - Former Owner-Occupier,70542.0
4731,F94,3,2010,Existing,Household Buyer - Non-Occupier,182625.0
5288,F94,4,2010,All Dwelling Statuses,All Buyer Types,142841.0
5289,F94,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5290,F94,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157725.0
5291,F94,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,127957.0
5848,F94,4,2010,New,All Buyer Types,230063.0
5849,F94,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5850,F94,4,2010,New,Household Buyer - Former Owner-Occupier,230063.0
5851,F94,4,2010,New,Household Buyer - Non-Occupier,
6408,F94,4,2010,Existing,All Buyer Types,121036.0
6409,F94,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6410,F94,4,2010,Existing,Household Buyer - Former Owner-Occupier,109500.0
6411,F94,4,2010,Existing,Household Buyer - Non-Occupier,127957.0
6968,F94,5,2010,All Dwelling Statuses,All Buyer Types,166961.0
6969,F94,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170717.0
6970,F94,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203500.0
6971,F94,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,126667.0
7528,F94,5,2010,New,All Buyer Types,162050.0
7529,F94,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,148575.0
7530,F94,5,2010,New,Household Buyer - Former Owner-Occupier,189000.0
7531,F94,5,2010,New,Household Buyer - Non-Occupier,
8088,F94,5,2010,Existing,All Buyer Types,169417.0
8089,F94,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
8090,F94,5,2010,Existing,Household Buyer - Former Owner-Occupier,210750.0
8091,F94,5,2010,Existing,Household Buyer - Non-Occupier,126667.0
8648,F94,6,2010,All Dwelling Statuses,All Buyer Types,168715.0
8649,F94,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199994.0
8650,F94,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,120800.0
8651,F94,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,165461.0
9208,F94,6,2010,New,All Buyer Types,239645.0
9209,F94,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,202488.0
9210,F94,6,2010,New,Household Buyer - Former Owner-Occupier,181600.0
9211,F94,6,2010,New,Household Buyer - Non-Occupier,305825.0
9768,F94,6,2010,Existing,All Buyer Types,133250.0
9769,F94,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,197500.0
9770,F94,6,2010,Existing,Household Buyer - Former Owner-Occupier,60000.0
9771,F94,6,2010,Existing,Household Buyer - Non-Occupier,125357.0
10328,F94,7,2010,All Dwelling Statuses,All Buyer Types,149433.0
10329,F94,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
10330,F94,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,114250.0
10331,F94,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140070.0
10888,F94,7,2010,New,All Buyer Types,182664.0
10889,F94,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10890,F94,7,2010,New,Household Buyer - Former Owner-Occupier,
10891,F94,7,2010,New,Household Buyer - Non-Occupier,182664.0
11448,F94,7,2010,Existing,All Buyer Types,141125.0
11449,F94,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201000.0
11450,F94,7,2010,Existing,Household Buyer - Former Owner-Occupier,114250.0
11451,F94,7,2010,Existing,Household Buyer - Non-Occupier,108125.0
12008,F94,8,2010,All Dwelling Statuses,All Buyer Types,244696.0
12009,F94,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
12010,F94,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,277667.0
12011,F94,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,210205.0
12568,F94,8,2010,New,All Buyer Types,217785.0
12569,F94,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
12570,F94,8,2010,New,Household Buyer - Former Owner-Occupier,
12571,F94,8,2010,New,Household Buyer - Non-Occupier,151820.0
13128,F94,8,2010,Existing,All Buyer Types,253667.0
13129,F94,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13130,F94,8,2010,Existing,Household Buyer - Former Owner-Occupier,277667.0
13131,F94,8,2010,Existing,Household Buyer - Non-Occupier,229667.0
13688,F94,9,2010,All Dwelling Statuses,All Buyer Types,121432.0
13689,F94,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
13690,F94,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
13691,F94,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121432.0
14248,F94,9,2010,New,All Buyer Types,187975.0
14249,F94,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14250,F94,9,2010,New,Household Buyer - Former Owner-Occupier,
14251,F94,9,2010,New,Household Buyer - Non-Occupier,187975.0
14808,F94,9,2010,Existing,All Buyer Types,92914.0
14809,F94,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
14810,F94,9,2010,Existing,Household Buyer - Former Owner-Occupier,
14811,F94,9,2010,Existing,Household Buyer - Non-Occupier,92914.0
15368,F94,10,2010,All Dwelling Statuses,All Buyer Types,167805.0
15369,F94,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186620.0
15370,F94,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203511.0
15371,F94,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,72875.0
15928,F94,10,2010,New,All Buyer Types,181619.0
15929,F94,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181033.0
15930,F94,10,2010,New,Household Buyer - Former Owner-Occupier,181870.0
15931,F94,10,2010,New,Household Buyer - Non-Occupier,
16488,F94,10,2010,Existing,All Buyer Types,148071.0
16489,F94,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
16490,F94,10,2010,Existing,Household Buyer - Former Owner-Occupier,355000.0
16491,F94,10,2010,Existing,Household Buyer - Non-Occupier,72875.0
17048,F94,11,2010,All Dwelling Statuses,All Buyer Types,174000.0
17049,F94,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
17050,F94,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,158333.0
17051,F94,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,209333.0
17608,F94,11,2010,New,All Buyer Types,172000.0
17609,F94,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17610,F94,11,2010,New,Household Buyer - Former Owner-Occupier,
17611,F94,11,2010,New,Household Buyer - Non-Occupier,172000.0
18168,F94,11,2010,Existing,All Buyer Types,174333.0
18169,F94,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
18170,F94,11,2010,Existing,Household Buyer - Former Owner-Occupier,158333.0
18171,F94,11,2010,Existing,Household Buyer - Non-Occupier,228000.0
18728,F94,12,2010,All Dwelling Statuses,All Buyer Types,128448.0
18729,F94,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,105675.0
18730,F94,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,92763.0
18731,F94,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,215000.0
19288,F94,12,2010,New,All Buyer Types,161349.0
19289,F94,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161349.0
19290,F94,12,2010,New,Household Buyer - Former Owner-Occupier,
19291,F94,12,2010,New,Household Buyer - Non-Occupier,
19848,F94,12,2010,Existing,All Buyer Types,125158.0
19849,F94,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,50000.0
19850,F94,12,2010,Existing,Household Buyer - Former Owner-Occupier,92763.0
19851,F94,12,2010,Existing,Household Buyer - Non-Occupier,215000.0
20408,F94,1,2011,All Dwelling Statuses,All Buyer Types,
20409,F94,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
20410,F94,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
20411,F94,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
20968,F94,1,2011,New,All Buyer Types,
20969,F94,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
20970,F94,1,2011,New,Household Buyer - Former Owner-Occupier,
20971,F94,1,2011,New,Household Buyer - Non-Occupier,
21528,F94,1,2011,Existing,All Buyer Types,
21529,F94,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21530,F94,1,2011,Existing,Household Buyer - Former Owner-Occupier,
21531,F94,1,2011,Existing,Household Buyer - Non-Occupier,
22088,F94,2,2011,All Dwelling Statuses,All Buyer Types,190217.0
22089,F94,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
22090,F94,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,242500.0
22091,F94,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,175279.0
22648,F94,2,2011,New,All Buyer Types,314850.0
22649,F94,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22650,F94,2,2011,New,Household Buyer - Former Owner-Occupier,
22651,F94,2,2011,New,Household Buyer - Non-Occupier,314850.0
23208,F94,2,2011,Existing,All Buyer Types,154607.0
23209,F94,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
23210,F94,2,2011,Existing,Household Buyer - Former Owner-Occupier,242500.0
23211,F94,2,2011,Existing,Household Buyer - Non-Occupier,119450.0
