,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
56,A92,1,2010,All Dwelling Statuses,All Buyer Types,235805.0
57,A92,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,224517.0
58,A92,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278700.0
59,A92,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
616,A92,1,2010,New,All Buyer Types,228722.0
617,A92,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,201208.0
618,A92,1,2010,New,Household Buyer - Former Owner-Occupier,283750.0
619,A92,1,2010,New,Household Buyer - Non-Occupier,
1176,A92,1,2010,Existing,All Buyer Types,238167.0
1177,A92,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230733.0
1178,A92,1,2010,Existing,Household Buyer - Former Owner-Occupier,275333.0
1179,A92,1,2010,Existing,Household Buyer - Non-Occupier,
1736,A92,2,2010,All Dwelling Statuses,All Buyer Types,177814.0
1737,A92,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,193045.0
1738,A92,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,174585.0
1739,A92,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,94500.0
2296,A92,2,2010,New,All Buyer Types,189718.0
2297,A92,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,198756.0
2298,A92,2,2010,New,Household Buyer - Former Owner-Occupier,171642.0
2299,A92,2,2010,New,Household Buyer - Non-Occupier,
2856,A92,2,2010,Existing,All Buyer Types,167100.0
2857,A92,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187333.0
2858,A92,2,2010,Existing,Household Buyer - Former Owner-Occupier,179000.0
2859,A92,2,2010,Existing,Household Buyer - Non-Occupier,94500.0
3416,A92,3,2010,All Dwelling Statuses,All Buyer Types,201698.0
3417,A92,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199370.0
3418,A92,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225863.0
3419,A92,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,157219.0
3976,A92,3,2010,New,All Buyer Types,197066.0
3977,A92,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,195929.0
3978,A92,3,2010,New,Household Buyer - Former Owner-Occupier,246383.0
3979,A92,3,2010,New,Household Buyer - Non-Occupier,153438.0
4536,A92,3,2010,Existing,All Buyer Types,205750.0
4537,A92,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,204286.0
4538,A92,3,2010,Existing,Household Buyer - Former Owner-Occupier,220000.0
4539,A92,3,2010,Existing,Household Buyer - Non-Occupier,161000.0
