,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
116,D11,1,2010,All Dwelling Statuses,All Buyer Types,230308.0
117,D11,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213067.0
118,D11,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,351000.0
119,D11,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
676,D11,1,2010,New,All Buyer Types,288422.0
677,D11,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,288422.0
678,D11,1,2010,New,Household Buyer - Former Owner-Occupier,
679,D11,1,2010,New,Household Buyer - Non-Occupier,
1236,D11,1,2010,Existing,All Buyer Types,216897.0
1237,D11,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192515.0
1238,D11,1,2010,Existing,Household Buyer - Former Owner-Occupier,351000.0
1239,D11,1,2010,Existing,Household Buyer - Non-Occupier,
1796,D11,2,2010,All Dwelling Statuses,All Buyer Types,206617.0
1797,D11,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,208207.0
1798,D11,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,218002.0
1799,D11,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,149950.0
2356,D11,2,2010,New,All Buyer Types,306450.0
2357,D11,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,306450.0
2358,D11,2,2010,New,Household Buyer - Former Owner-Occupier,
2359,D11,2,2010,New,Household Buyer - Non-Occupier,
2916,D11,2,2010,Existing,All Buyer Types,197542.0
2917,D11,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,191833.0
2918,D11,2,2010,Existing,Household Buyer - Former Owner-Occupier,218002.0
2919,D11,2,2010,Existing,Household Buyer - Non-Occupier,149950.0
3476,D11,3,2010,All Dwelling Statuses,All Buyer Types,243084.0
3477,D11,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,224592.0
3478,D11,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,288150.0
3479,D11,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,205000.0
4036,D11,3,2010,New,All Buyer Types,215053.0
4037,D11,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,223491.0
4038,D11,3,2010,New,Household Buyer - Former Owner-Occupier,147550.0
4039,D11,3,2010,New,Household Buyer - Non-Occupier,
4596,D11,3,2010,Existing,All Buyer Types,261104.0
4597,D11,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225850.0
4598,D11,3,2010,Existing,Household Buyer - Former Owner-Occupier,311583.0
4599,D11,3,2010,Existing,Household Buyer - Non-Occupier,205000.0
5156,D11,4,2010,All Dwelling Statuses,All Buyer Types,272063.0
5157,D11,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,269969.0
5158,D11,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,272438.0
5159,D11,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,290000.0
5716,D11,4,2010,New,All Buyer Types,261231.0
5717,D11,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261231.0
5718,D11,4,2010,New,Household Buyer - Former Owner-Occupier,
5719,D11,4,2010,New,Household Buyer - Non-Occupier,
6276,D11,4,2010,Existing,All Buyer Types,274094.0
6277,D11,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,273714.0
6278,D11,4,2010,Existing,Household Buyer - Former Owner-Occupier,272438.0
6279,D11,4,2010,Existing,Household Buyer - Non-Occupier,290000.0
6836,D11,5,2010,All Dwelling Statuses,All Buyer Types,241115.0
6837,D11,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,253338.0
6838,D11,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,180000.0
6839,D11,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7396,D11,5,2010,New,All Buyer Types,315516.0
7397,D11,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,315516.0
7398,D11,5,2010,New,Household Buyer - Former Owner-Occupier,
7399,D11,5,2010,New,Household Buyer - Non-Occupier,
7956,D11,5,2010,Existing,All Buyer Types,219857.0
7957,D11,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230727.0
7958,D11,5,2010,Existing,Household Buyer - Former Owner-Occupier,180000.0
7959,D11,5,2010,Existing,Household Buyer - Non-Occupier,
8516,D11,6,2010,All Dwelling Statuses,All Buyer Types,255938.0
8517,D11,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226667.0
8518,D11,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,343750.0
8519,D11,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9076,D11,6,2010,New,All Buyer Types,260000.0
9077,D11,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,260000.0
9078,D11,6,2010,New,Household Buyer - Former Owner-Occupier,
9079,D11,6,2010,New,Household Buyer - Non-Occupier,
9636,D11,6,2010,Existing,All Buyer Types,255667.0
9637,D11,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223636.0
9638,D11,6,2010,Existing,Household Buyer - Former Owner-Occupier,343750.0
9639,D11,6,2010,Existing,Household Buyer - Non-Occupier,
10196,D11,7,2010,All Dwelling Statuses,All Buyer Types,208972.0
10197,D11,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196583.0
10198,D11,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224400.0
10199,D11,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,280500.0
10756,D11,7,2010,New,All Buyer Types,
10757,D11,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10758,D11,7,2010,New,Household Buyer - Former Owner-Occupier,
10759,D11,7,2010,New,Household Buyer - Non-Occupier,
11316,D11,7,2010,Existing,All Buyer Types,208972.0
11317,D11,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,196583.0
11318,D11,7,2010,Existing,Household Buyer - Former Owner-Occupier,224400.0
11319,D11,7,2010,Existing,Household Buyer - Non-Occupier,280500.0
11876,D11,8,2010,All Dwelling Statuses,All Buyer Types,241885.0
11877,D11,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,264313.0
11878,D11,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250000.0
11879,D11,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,176667.0
12436,D11,8,2010,New,All Buyer Types,212500.0
12437,D11,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12438,D11,8,2010,New,Household Buyer - Former Owner-Occupier,
12439,D11,8,2010,New,Household Buyer - Non-Occupier,212500.0
12996,D11,8,2010,Existing,All Buyer Types,244333.0
12997,D11,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,264313.0
12998,D11,8,2010,Existing,Household Buyer - Former Owner-Occupier,250000.0
12999,D11,8,2010,Existing,Household Buyer - Non-Occupier,158750.0
13556,D11,9,2010,All Dwelling Statuses,All Buyer Types,268059.0
13557,D11,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,266533.0
13558,D11,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,397000.0
13559,D11,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,162000.0
14116,D11,9,2010,New,All Buyer Types,
14117,D11,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14118,D11,9,2010,New,Household Buyer - Former Owner-Occupier,
14119,D11,9,2010,New,Household Buyer - Non-Occupier,
14676,D11,9,2010,Existing,All Buyer Types,268059.0
14677,D11,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,266533.0
14678,D11,9,2010,Existing,Household Buyer - Former Owner-Occupier,397000.0
14679,D11,9,2010,Existing,Household Buyer - Non-Occupier,162000.0
15236,D11,10,2010,All Dwelling Statuses,All Buyer Types,198765.0
15237,D11,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,176500.0
15238,D11,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,271125.0
15239,D11,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
15796,D11,10,2010,New,All Buyer Types,
15797,D11,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15798,D11,10,2010,New,Household Buyer - Former Owner-Occupier,
15799,D11,10,2010,New,Household Buyer - Non-Occupier,
16356,D11,10,2010,Existing,All Buyer Types,198765.0
16357,D11,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176500.0
16358,D11,10,2010,Existing,Household Buyer - Former Owner-Occupier,271125.0
16359,D11,10,2010,Existing,Household Buyer - Non-Occupier,
16916,D11,11,2010,All Dwelling Statuses,All Buyer Types,248467.0
16917,D11,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,228407.0
16918,D11,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315333.0
16919,D11,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17476,D11,11,2010,New,All Buyer Types,261536.0
17477,D11,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261536.0
17478,D11,11,2010,New,Household Buyer - Former Owner-Occupier,
17479,D11,11,2010,New,Household Buyer - Non-Occupier,
18036,D11,11,2010,Existing,All Buyer Types,246091.0
18037,D11,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,220125.0
18038,D11,11,2010,Existing,Household Buyer - Former Owner-Occupier,315333.0
18039,D11,11,2010,Existing,Household Buyer - Non-Occupier,
18596,D11,12,2010,All Dwelling Statuses,All Buyer Types,251346.0
18597,D11,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,222955.0
18598,D11,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,407500.0
18599,D11,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
19156,D11,12,2010,New,All Buyer Types,
19157,D11,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
19158,D11,12,2010,New,Household Buyer - Former Owner-Occupier,
19159,D11,12,2010,New,Household Buyer - Non-Occupier,
19716,D11,12,2010,Existing,All Buyer Types,251346.0
19717,D11,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222955.0
19718,D11,12,2010,Existing,Household Buyer - Former Owner-Occupier,407500.0
19719,D11,12,2010,Existing,Household Buyer - Non-Occupier,
20276,D11,1,2011,All Dwelling Statuses,All Buyer Types,264518.0
20277,D11,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,290000.0
20278,D11,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,254325.0
20279,D11,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
20836,D11,1,2011,New,All Buyer Types,425625.0
20837,D11,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
20838,D11,1,2011,New,Household Buyer - Former Owner-Occupier,425625.0
20839,D11,1,2011,New,Household Buyer - Non-Occupier,
21396,D11,1,2011,Existing,All Buyer Types,237667.0
21397,D11,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,290000.0
21398,D11,1,2011,Existing,Household Buyer - Former Owner-Occupier,211500.0
21399,D11,1,2011,Existing,Household Buyer - Non-Occupier,
21956,D11,2,2011,All Dwelling Statuses,All Buyer Types,305175.0
21957,D11,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,247750.0
21958,D11,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,380750.0
21959,D11,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,290000.0
22516,D11,2,2011,New,All Buyer Types,
22517,D11,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22518,D11,2,2011,New,Household Buyer - Former Owner-Occupier,
22519,D11,2,2011,New,Household Buyer - Non-Occupier,
23076,D11,2,2011,Existing,All Buyer Types,305175.0
23077,D11,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,247750.0
23078,D11,2,2011,Existing,Household Buyer - Former Owner-Occupier,380750.0
23079,D11,2,2011,Existing,Household Buyer - Non-Occupier,290000.0
23636,D11,3,2011,All Dwelling Statuses,All Buyer Types,244298.0
23637,D11,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183613.0
23638,D11,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,317120.0
23639,D11,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
24196,D11,3,2011,New,All Buyer Types,245840.0
24197,D11,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,245840.0
24198,D11,3,2011,New,Household Buyer - Former Owner-Occupier,
24199,D11,3,2011,New,Household Buyer - Non-Occupier,
24756,D11,3,2011,Existing,All Buyer Types,243956.0
24757,D11,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
24758,D11,3,2011,Existing,Household Buyer - Former Owner-Occupier,317120.0
24759,D11,3,2011,Existing,Household Buyer - Non-Occupier,
25316,D11,4,2011,All Dwelling Statuses,All Buyer Types,229500.0
25317,D11,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
25318,D11,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257500.0
25319,D11,4,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
25876,D11,4,2011,New,All Buyer Types,
25877,D11,4,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
25878,D11,4,2011,New,Household Buyer - Former Owner-Occupier,
25879,D11,4,2011,New,Household Buyer - Non-Occupier,
26436,D11,4,2011,Existing,All Buyer Types,229500.0
26437,D11,4,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
26438,D11,4,2011,Existing,Household Buyer - Former Owner-Occupier,257500.0
26439,D11,4,2011,Existing,Household Buyer - Non-Occupier,
26996,D11,5,2011,All Dwelling Statuses,All Buyer Types,204944.0
26997,D11,5,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,238333.0
26998,D11,5,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192600.0
26999,D11,5,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,166500.0
27556,D11,5,2011,New,All Buyer Types,
27557,D11,5,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
27558,D11,5,2011,New,Household Buyer - Former Owner-Occupier,
27559,D11,5,2011,New,Household Buyer - Non-Occupier,
28116,D11,5,2011,Existing,All Buyer Types,204944.0
28117,D11,5,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,238333.0
28118,D11,5,2011,Existing,Household Buyer - Former Owner-Occupier,192600.0
28119,D11,5,2011,Existing,Household Buyer - Non-Occupier,166500.0
28676,D11,6,2011,All Dwelling Statuses,All Buyer Types,172250.0
28677,D11,6,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,141250.0
28678,D11,6,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203250.0
28679,D11,6,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
29236,D11,6,2011,New,All Buyer Types,
29237,D11,6,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
29238,D11,6,2011,New,Household Buyer - Former Owner-Occupier,
29239,D11,6,2011,New,Household Buyer - Non-Occupier,
29796,D11,6,2011,Existing,All Buyer Types,172250.0
29797,D11,6,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,141250.0
29798,D11,6,2011,Existing,Household Buyer - Former Owner-Occupier,203250.0
29799,D11,6,2011,Existing,Household Buyer - Non-Occupier,
30356,D11,7,2011,All Dwelling Statuses,All Buyer Types,203767.0
30357,D11,7,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
30358,D11,7,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,272417.0
30359,D11,7,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
30916,D11,7,2011,New,All Buyer Types,
30917,D11,7,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
30918,D11,7,2011,New,Household Buyer - Former Owner-Occupier,
30919,D11,7,2011,New,Household Buyer - Non-Occupier,
31476,D11,7,2011,Existing,All Buyer Types,203767.0
31477,D11,7,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
31478,D11,7,2011,Existing,Household Buyer - Former Owner-Occupier,272417.0
31479,D11,7,2011,Existing,Household Buyer - Non-Occupier,
32036,D11,8,2011,All Dwelling Statuses,All Buyer Types,154982.0
32037,D11,8,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,151363.0
32038,D11,8,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,184500.0
32039,D11,8,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,55000.0
32596,D11,8,2011,New,All Buyer Types,163815.0
32597,D11,8,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,163815.0
32598,D11,8,2011,New,Household Buyer - Former Owner-Occupier,
32599,D11,8,2011,New,Household Buyer - Non-Occupier,
33156,D11,8,2011,Existing,All Buyer Types,154000.0
33157,D11,8,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,148250.0
33158,D11,8,2011,Existing,Household Buyer - Former Owner-Occupier,184500.0
33159,D11,8,2011,Existing,Household Buyer - Non-Occupier,55000.0
33716,D11,9,2011,All Dwelling Statuses,All Buyer Types,184892.0
33717,D11,9,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204383.0
33718,D11,9,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,188000.0
33719,D11,9,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,75000.0
34276,D11,9,2011,New,All Buyer Types,163815.0
34277,D11,9,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,163815.0
34278,D11,9,2011,New,Household Buyer - Former Owner-Occupier,
34279,D11,9,2011,New,Household Buyer - Non-Occupier,
34836,D11,9,2011,Existing,All Buyer Types,187233.0
34837,D11,9,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,214525.0
34838,D11,9,2011,Existing,Household Buyer - Former Owner-Occupier,188000.0
34839,D11,9,2011,Existing,Household Buyer - Non-Occupier,75000.0
35396,D11,10,2011,All Dwelling Statuses,All Buyer Types,165417.0
35397,D11,10,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,146429.0
35398,D11,10,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,156667.0
35399,D11,10,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,245000.0
35956,D11,10,2011,New,All Buyer Types,
35957,D11,10,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
35958,D11,10,2011,New,Household Buyer - Former Owner-Occupier,
35959,D11,10,2011,New,Household Buyer - Non-Occupier,
36516,D11,10,2011,Existing,All Buyer Types,165417.0
36517,D11,10,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,146429.0
36518,D11,10,2011,Existing,Household Buyer - Former Owner-Occupier,156667.0
36519,D11,10,2011,Existing,Household Buyer - Non-Occupier,245000.0
37076,D11,11,2011,All Dwelling Statuses,All Buyer Types,155763.0
37077,D11,11,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,143200.0
37078,D11,11,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,196500.0
37079,D11,11,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,76000.0
37636,D11,11,2011,New,All Buyer Types,
37637,D11,11,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
37638,D11,11,2011,New,Household Buyer - Former Owner-Occupier,
37639,D11,11,2011,New,Household Buyer - Non-Occupier,
38196,D11,11,2011,Existing,All Buyer Types,155763.0
38197,D11,11,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,143200.0
38198,D11,11,2011,Existing,Household Buyer - Former Owner-Occupier,196500.0
38199,D11,11,2011,Existing,Household Buyer - Non-Occupier,76000.0
38756,D11,12,2011,All Dwelling Statuses,All Buyer Types,176889.0
38757,D11,12,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178167.0
38758,D11,12,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,188563.0
38759,D11,12,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,72000.0
39316,D11,12,2011,New,All Buyer Types,191000.0
39317,D11,12,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,191000.0
39318,D11,12,2011,New,Household Buyer - Former Owner-Occupier,
39319,D11,12,2011,New,Household Buyer - Non-Occupier,
