,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
160,D6W,1,2010,All Dwelling Statuses,All Buyer Types,529400.0
161,D6W,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
162,D6W,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,580500.0
163,D6W,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
720,D6W,1,2010,New,All Buyer Types,800000.0
721,D6W,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
722,D6W,1,2010,New,Household Buyer - Former Owner-Occupier,800000.0
723,D6W,1,2010,New,Household Buyer - Non-Occupier,
1280,D6W,1,2010,Existing,All Buyer Types,461750.0
1281,D6W,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
1282,D6W,1,2010,Existing,Household Buyer - Former Owner-Occupier,507333.0
1283,D6W,1,2010,Existing,Household Buyer - Non-Occupier,
1840,D6W,2,2010,All Dwelling Statuses,All Buyer Types,423450.0
1841,D6W,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,357000.0
1842,D6W,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,451929.0
1843,D6W,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2400,D6W,2,2010,New,All Buyer Types,
2401,D6W,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2402,D6W,2,2010,New,Household Buyer - Former Owner-Occupier,
2403,D6W,2,2010,New,Household Buyer - Non-Occupier,
2960,D6W,2,2010,Existing,All Buyer Types,423450.0
2961,D6W,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,357000.0
2962,D6W,2,2010,Existing,Household Buyer - Former Owner-Occupier,451929.0
2963,D6W,2,2010,Existing,Household Buyer - Non-Occupier,
3520,D6W,3,2010,All Dwelling Statuses,All Buyer Types,460713.0
3521,D6W,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,390213.0
3522,D6W,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,568450.0
3523,D6W,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,490000.0
4080,D6W,3,2010,New,All Buyer Types,629207.0
4081,D6W,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,383063.0
4082,D6W,3,2010,New,Household Buyer - Former Owner-Occupier,875350.0
4083,D6W,3,2010,New,Household Buyer - Non-Occupier,
4640,D6W,3,2010,Existing,All Buyer Types,412571.0
4641,D6W,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,392000.0
4642,D6W,3,2010,Existing,Household Buyer - Former Owner-Occupier,415000.0
4643,D6W,3,2010,Existing,Household Buyer - Non-Occupier,490000.0
5200,D6W,4,2010,All Dwelling Statuses,All Buyer Types,423600.0
5201,D6W,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,339000.0
5202,D6W,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,480000.0
5203,D6W,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5760,D6W,4,2010,New,All Buyer Types,
5761,D6W,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5762,D6W,4,2010,New,Household Buyer - Former Owner-Occupier,
5763,D6W,4,2010,New,Household Buyer - Non-Occupier,
6320,D6W,4,2010,Existing,All Buyer Types,423600.0
6321,D6W,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,339000.0
6322,D6W,4,2010,Existing,Household Buyer - Former Owner-Occupier,480000.0
6323,D6W,4,2010,Existing,Household Buyer - Non-Occupier,
6880,D6W,5,2010,All Dwelling Statuses,All Buyer Types,389857.0
6881,D6W,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,336313.0
6882,D6W,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,488500.0
6883,D6W,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,325000.0
7440,D6W,5,2010,New,All Buyer Types,340500.0
7441,D6W,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,340500.0
7442,D6W,5,2010,New,Household Buyer - Former Owner-Occupier,
7443,D6W,5,2010,New,Household Buyer - Non-Occupier,
8000,D6W,5,2010,Existing,All Buyer Types,393654.0
8001,D6W,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,335714.0
8002,D6W,5,2010,Existing,Household Buyer - Former Owner-Occupier,488500.0
8003,D6W,5,2010,Existing,Household Buyer - Non-Occupier,325000.0
8560,D6W,6,2010,All Dwelling Statuses,All Buyer Types,522484.0
8561,D6W,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,335592.0
8562,D6W,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,600050.0
8563,D6W,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,307500.0
9120,D6W,6,2010,New,All Buyer Types,645000.0
9121,D6W,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9122,D6W,6,2010,New,Household Buyer - Former Owner-Occupier,982500.0
9123,D6W,6,2010,New,Household Buyer - Non-Occupier,307500.0
9680,D6W,6,2010,Existing,All Buyer Types,502065.0
9681,D6W,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,335592.0
9682,D6W,6,2010,Existing,Household Buyer - Former Owner-Occupier,557556.0
9683,D6W,6,2010,Existing,Household Buyer - Non-Occupier,
10240,D6W,7,2010,All Dwelling Statuses,All Buyer Types,420119.0
10241,D6W,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,430319.0
10242,D6W,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,437070.0
10243,D6W,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169000.0
10800,D6W,7,2010,New,All Buyer Types,411500.0
10801,D6W,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10802,D6W,7,2010,New,Household Buyer - Former Owner-Occupier,411500.0
10803,D6W,7,2010,New,Household Buyer - Non-Occupier,
11360,D6W,7,2010,Existing,All Buyer Types,420598.0
11361,D6W,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,430319.0
11362,D6W,7,2010,Existing,Household Buyer - Former Owner-Occupier,439911.0
11363,D6W,7,2010,Existing,Household Buyer - Non-Occupier,169000.0
11920,D6W,8,2010,All Dwelling Statuses,All Buyer Types,573650.0
11921,D6W,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,368000.0
11922,D6W,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,609500.0
11923,D6W,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,492500.0
12480,D6W,8,2010,New,All Buyer Types,
12481,D6W,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12482,D6W,8,2010,New,Household Buyer - Former Owner-Occupier,
12483,D6W,8,2010,New,Household Buyer - Non-Occupier,
13040,D6W,8,2010,Existing,All Buyer Types,573650.0
13041,D6W,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,368000.0
13042,D6W,8,2010,Existing,Household Buyer - Former Owner-Occupier,609500.0
13043,D6W,8,2010,Existing,Household Buyer - Non-Occupier,492500.0
13600,D6W,9,2010,All Dwelling Statuses,All Buyer Types,374557.0
13601,D6W,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,289514.0
13602,D6W,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,467328.0
13603,D6W,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,304999.0
14160,D6W,9,2010,New,All Buyer Types,308562.0
14161,D6W,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,312125.0
14162,D6W,9,2010,New,Household Buyer - Former Owner-Occupier,
14163,D6W,9,2010,New,Household Buyer - Non-Occupier,304999.0
14720,D6W,9,2010,Existing,All Buyer Types,382321.0
14721,D6W,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,286688.0
14722,D6W,9,2010,Existing,Household Buyer - Former Owner-Occupier,467328.0
14723,D6W,9,2010,Existing,Household Buyer - Non-Occupier,
15280,D6W,10,2010,All Dwelling Statuses,All Buyer Types,399545.0
15281,D6W,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,364000.0
15282,D6W,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,471000.0
15283,D6W,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,220000.0
15840,D6W,10,2010,New,All Buyer Types,359999.0
15841,D6W,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15842,D6W,10,2010,New,Household Buyer - Former Owner-Occupier,359999.0
15843,D6W,10,2010,New,Household Buyer - Non-Occupier,
16400,D6W,10,2010,Existing,All Buyer Types,408333.0
16401,D6W,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,364000.0
16402,D6W,10,2010,Existing,Household Buyer - Former Owner-Occupier,545000.0
16403,D6W,10,2010,Existing,Household Buyer - Non-Occupier,220000.0
16960,D6W,11,2010,All Dwelling Statuses,All Buyer Types,454833.0
16961,D6W,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,287500.0
16962,D6W,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,488300.0
16963,D6W,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17520,D6W,11,2010,New,All Buyer Types,826301.0
17521,D6W,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17522,D6W,11,2010,New,Household Buyer - Former Owner-Occupier,826301.0
17523,D6W,11,2010,New,Household Buyer - Non-Occupier,
18080,D6W,11,2010,Existing,All Buyer Types,380540.0
18081,D6W,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,287500.0
18082,D6W,11,2010,Existing,Household Buyer - Former Owner-Occupier,403800.0
18083,D6W,11,2010,Existing,Household Buyer - Non-Occupier,
18640,D6W,12,2010,All Dwelling Statuses,All Buyer Types,447350.0
18641,D6W,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,348500.0
18642,D6W,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,472357.0
18643,D6W,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,470000.0
19200,D6W,12,2010,New,All Buyer Types,
19201,D6W,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
19202,D6W,12,2010,New,Household Buyer - Former Owner-Occupier,
19203,D6W,12,2010,New,Household Buyer - Non-Occupier,
19760,D6W,12,2010,Existing,All Buyer Types,447350.0
19761,D6W,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,348500.0
