,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
48,A86,1,2010,All Dwelling Statuses,All Buyer Types,272618.0
49,A86,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180355.0
50,A86,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,318750.0
51,A86,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
608,A86,1,2010,New,All Buyer Types,216428.0
609,A86,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180355.0
610,A86,1,2010,New,Household Buyer - Former Owner-Occupier,252500.0
611,A86,1,2010,New,Household Buyer - Non-Occupier,
1168,A86,1,2010,Existing,All Buyer Types,385000.0
1169,A86,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1170,A86,1,2010,Existing,Household Buyer - Former Owner-Occupier,385000.0
1171,A86,1,2010,Existing,Household Buyer - Non-Occupier,
1728,A86,2,2010,All Dwelling Statuses,All Buyer Types,284983.0
1729,A86,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1730,A86,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,375000.0
1731,A86,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,104950.0
2288,A86,2,2010,New,All Buyer Types,345000.0
2289,A86,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2290,A86,2,2010,New,Household Buyer - Former Owner-Occupier,345000.0
2291,A86,2,2010,New,Household Buyer - Non-Occupier,
2848,A86,2,2010,Existing,All Buyer Types,254975.0
2849,A86,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2850,A86,2,2010,Existing,Household Buyer - Former Owner-Occupier,405000.0
2851,A86,2,2010,Existing,Household Buyer - Non-Occupier,104950.0
3408,A86,3,2010,All Dwelling Statuses,All Buyer Types,286500.0
3409,A86,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3410,A86,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,286500.0
3411,A86,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3968,A86,3,2010,New,All Buyer Types,
3969,A86,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
3970,A86,3,2010,New,Household Buyer - Former Owner-Occupier,
3971,A86,3,2010,New,Household Buyer - Non-Occupier,
4528,A86,3,2010,Existing,All Buyer Types,286500.0
4529,A86,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4530,A86,3,2010,Existing,Household Buyer - Former Owner-Occupier,286500.0
4531,A86,3,2010,Existing,Household Buyer - Non-Occupier,
5088,A86,4,2010,All Dwelling Statuses,All Buyer Types,277022.0
5089,A86,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,121067.0
5090,A86,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,355000.0
5091,A86,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5648,A86,4,2010,New,All Buyer Types,121067.0
5649,A86,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,121067.0
5650,A86,4,2010,New,Household Buyer - Former Owner-Occupier,
5651,A86,4,2010,New,Household Buyer - Non-Occupier,
6208,A86,4,2010,Existing,All Buyer Types,355000.0
6209,A86,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6210,A86,4,2010,Existing,Household Buyer - Former Owner-Occupier,355000.0
6211,A86,4,2010,Existing,Household Buyer - Non-Occupier,
6768,A86,5,2010,All Dwelling Statuses,All Buyer Types,304750.0
6769,A86,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,286500.0
6770,A86,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
6771,A86,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,323000.0
7328,A86,5,2010,New,All Buyer Types,
7329,A86,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7330,A86,5,2010,New,Household Buyer - Former Owner-Occupier,
7331,A86,5,2010,New,Household Buyer - Non-Occupier,
7888,A86,5,2010,Existing,All Buyer Types,304750.0
7889,A86,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,286500.0
7890,A86,5,2010,Existing,Household Buyer - Former Owner-Occupier,
7891,A86,5,2010,Existing,Household Buyer - Non-Occupier,323000.0
8448,A86,6,2010,All Dwelling Statuses,All Buyer Types,351000.0
8449,A86,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235000.0
8450,A86,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,400714.0
8451,A86,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9008,A86,6,2010,New,All Buyer Types,110000.0
9009,A86,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,110000.0
9010,A86,6,2010,New,Household Buyer - Former Owner-Occupier,
9011,A86,6,2010,New,Household Buyer - Non-Occupier,
9568,A86,6,2010,Existing,All Buyer Types,377778.0
9569,A86,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,297500.0
9570,A86,6,2010,Existing,Household Buyer - Former Owner-Occupier,400714.0
9571,A86,6,2010,Existing,Household Buyer - Non-Occupier,
10128,A86,7,2010,All Dwelling Statuses,All Buyer Types,324645.0
10129,A86,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,289952.0
10130,A86,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,352400.0
10131,A86,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10688,A86,7,2010,New,All Buyer Types,189903.0
10689,A86,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189903.0
10690,A86,7,2010,New,Household Buyer - Former Owner-Occupier,
10691,A86,7,2010,New,Household Buyer - Non-Occupier,
11248,A86,7,2010,Existing,All Buyer Types,363143.0
11249,A86,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,390000.0
11250,A86,7,2010,Existing,Household Buyer - Former Owner-Occupier,352400.0
11251,A86,7,2010,Existing,Household Buyer - Non-Occupier,
11808,A86,8,2010,All Dwelling Statuses,All Buyer Types,420000.0
