,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
52,A91,1,2010,All Dwelling Statuses,All Buyer Types,213787.0
53,A91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,162000.0
54,A91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,265575.0
55,A91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
612,A91,1,2010,New,All Buyer Types,276200.0
613,A91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
614,A91,1,2010,New,Household Buyer - Former Owner-Occupier,278266.0
615,A91,1,2010,New,Household Buyer - Non-Occupier,
1172,A91,1,2010,Existing,All Buyer Types,151375.0
1173,A91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,126000.0
1174,A91,1,2010,Existing,Household Buyer - Former Owner-Occupier,227500.0
1175,A91,1,2010,Existing,Household Buyer - Non-Occupier,
1732,A91,2,2010,All Dwelling Statuses,All Buyer Types,192514.0
1733,A91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,215947.0
1734,A91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,216743.0
1735,A91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,65681.0
2292,A91,2,2010,New,All Buyer Types,149067.0
2293,A91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244025.0
2294,A91,2,2010,New,Household Buyer - Former Owner-Occupier,217198.0
2295,A91,2,2010,New,Household Buyer - Non-Occupier,67522.0
2852,A91,2,2010,Existing,All Buyer Types,204100.0
2853,A91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,212438.0
2854,A91,2,2010,Existing,Household Buyer - Former Owner-Occupier,216667.0
2855,A91,2,2010,Existing,Household Buyer - Non-Occupier,62000.0
3412,A91,3,2010,All Dwelling Statuses,All Buyer Types,208811.0
3413,A91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185460.0
3414,A91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,269500.0
3415,A91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180833.0
3972,A91,3,2010,New,All Buyer Types,218004.0
3973,A91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211605.0
3974,A91,3,2010,New,Household Buyer - Former Owner-Occupier,250000.0
3975,A91,3,2010,New,Household Buyer - Non-Occupier,
4532,A91,3,2010,Existing,All Buyer Types,205133.0
4533,A91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,166786.0
4534,A91,3,2010,Existing,Household Buyer - Former Owner-Occupier,273400.0
4535,A91,3,2010,Existing,Household Buyer - Non-Occupier,180833.0
5092,A91,4,2010,All Dwelling Statuses,All Buyer Types,228487.0
5093,A91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,275812.0
5094,A91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157500.0
5095,A91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5652,A91,4,2010,New,All Buyer Types,208458.0
5653,A91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,217687.0
5654,A91,4,2010,New,Household Buyer - Former Owner-Occupier,190000.0
5655,A91,4,2010,New,Household Buyer - Non-Occupier,
6212,A91,4,2010,Existing,All Buyer Types,237071.0
6213,A91,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,304875.0
6214,A91,4,2010,Existing,Household Buyer - Former Owner-Occupier,146667.0
6215,A91,4,2010,Existing,Household Buyer - Non-Occupier,
6772,A91,5,2010,All Dwelling Statuses,All Buyer Types,214617.0
6773,A91,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,182803.0
6774,A91,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278245.0
6775,A91,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7332,A91,5,2010,New,All Buyer Types,260976.0
7333,A91,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,165463.0
7334,A91,5,2010,New,Household Buyer - Former Owner-Occupier,356489.0
7335,A91,5,2010,New,Household Buyer - Non-Occupier,
7892,A91,5,2010,Existing,All Buyer Types,191438.0
7893,A91,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188583.0
7894,A91,5,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
7895,A91,5,2010,Existing,Household Buyer - Non-Occupier,
8452,A91,6,2010,All Dwelling Statuses,All Buyer Types,205288.0
8453,A91,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,193120.0
8454,A91,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,229662.0
8455,A91,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,247783.0
9012,A91,6,2010,New,All Buyer Types,220185.0
9013,A91,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,195879.0
9014,A91,6,2010,New,Household Buyer - Former Owner-Occupier,237078.0
9015,A91,6,2010,New,Household Buyer - Non-Occupier,347066.0
9572,A91,6,2010,Existing,All Buyer Types,187682.0
9573,A91,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190667.0
9574,A91,6,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
9575,A91,6,2010,Existing,Household Buyer - Non-Occupier,148500.0
10132,A91,7,2010,All Dwelling Statuses,All Buyer Types,182270.0
10133,A91,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,193468.0
10134,A91,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,174500.0
10135,A91,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,142452.0
10692,A91,7,2010,New,All Buyer Types,260126.0
10693,A91,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,256190.0
10694,A91,7,2010,New,Household Buyer - Former Owner-Occupier,
10695,A91,7,2010,New,Household Buyer - Non-Occupier,279806.0
11252,A91,7,2010,Existing,All Buyer Types,157684.0
11253,A91,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,167333.0
11254,A91,7,2010,Existing,Household Buyer - Former Owner-Occupier,174500.0
11255,A91,7,2010,Existing,Household Buyer - Non-Occupier,96667.0
11812,A91,8,2010,All Dwelling Statuses,All Buyer Types,199000.0
11813,A91,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186143.0
11814,A91,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224167.0
11815,A91,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,138000.0
12372,A91,8,2010,New,All Buyer Types,275000.0
12373,A91,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
12374,A91,8,2010,New,Household Buyer - Former Owner-Occupier,
12375,A91,8,2010,New,Household Buyer - Non-Occupier,
12932,A91,8,2010,Existing,All Buyer Types,193154.0
12933,A91,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,171333.0
12934,A91,8,2010,Existing,Household Buyer - Former Owner-Occupier,224167.0
12935,A91,8,2010,Existing,Household Buyer - Non-Occupier,138000.0
13492,A91,9,2010,All Dwelling Statuses,All Buyer Types,174170.0
13493,A91,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172672.0
13494,A91,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,288000.0
13495,A91,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,66333.0
14052,A91,9,2010,New,All Buyer Types,165033.0
14053,A91,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,165033.0
14054,A91,9,2010,New,Household Buyer - Former Owner-Occupier,
14055,A91,9,2010,New,Household Buyer - Non-Occupier,
14612,A91,9,2010,Existing,All Buyer Types,175313.0
14613,A91,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,174200.0
14614,A91,9,2010,Existing,Household Buyer - Former Owner-Occupier,288000.0
14615,A91,9,2010,Existing,Household Buyer - Non-Occupier,66333.0
15172,A91,10,2010,All Dwelling Statuses,All Buyer Types,174053.0
15173,A91,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,162640.0
15174,A91,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219115.0
15175,A91,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,148407.0
15732,A91,10,2010,New,All Buyer Types,223767.0
15733,A91,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,206957.0
15734,A91,10,2010,New,Household Buyer - Former Owner-Occupier,280913.0
15735,A91,10,2010,New,Household Buyer - Non-Occupier,176720.0
16292,A91,10,2010,Existing,All Buyer Types,149196.0
16293,A91,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,142944.0
16294,A91,10,2010,Existing,Household Buyer - Former Owner-Occupier,177917.0
16295,A91,10,2010,Existing,Household Buyer - Non-Occupier,134250.0
16852,A91,11,2010,All Dwelling Statuses,All Buyer Types,206365.0
16853,A91,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,202304.0
16854,A91,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,266811.0
16855,A91,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,115813.0
17412,A91,11,2010,New,All Buyer Types,235820.0
17413,A91,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,203078.0
17414,A91,11,2010,New,Household Buyer - Former Owner-Occupier,343338.0
17415,A91,11,2010,New,Household Buyer - Non-Occupier,151750.0
17972,A91,11,2010,Existing,All Buyer Types,195513.0
17973,A91,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202023.0
17974,A91,11,2010,Existing,Household Buyer - Former Owner-Occupier,236200.0
17975,A91,11,2010,Existing,Household Buyer - Non-Occupier,103833.0
18532,A91,12,2010,All Dwelling Statuses,All Buyer Types,150452.0
18533,A91,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167244.0
18534,A91,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,155299.0
18535,A91,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,104000.0
19092,A91,12,2010,New,All Buyer Types,206014.0
19093,A91,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,179137.0
19094,A91,12,2010,New,Household Buyer - Former Owner-Occupier,251562.0
19095,A91,12,2010,New,Household Buyer - Non-Occupier,150000.0
19652,A91,12,2010,Existing,All Buyer Types,132773.0
19653,A91,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,164000.0
19654,A91,12,2010,Existing,Household Buyer - Former Owner-Occupier,107167.0
19655,A91,12,2010,Existing,Household Buyer - Non-Occupier,94800.0
