,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
528,X35,1,2010,All Dwelling Statuses,All Buyer Types,225000.0
529,X35,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,230000.0
530,X35,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,190000.0
531,X35,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,250000.0
1088,X35,1,2010,New,All Buyer Types,216667.0
1089,X35,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,230000.0
1090,X35,1,2010,New,Household Buyer - Former Owner-Occupier,190000.0
1091,X35,1,2010,New,Household Buyer - Non-Occupier,
1648,X35,1,2010,Existing,All Buyer Types,250000.0
1649,X35,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1650,X35,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1651,X35,1,2010,Existing,Household Buyer - Non-Occupier,250000.0
2208,X35,2,2010,All Dwelling Statuses,All Buyer Types,335751.0
2209,X35,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,320000.0
2210,X35,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,406629.0
2211,X35,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,225500.0
2768,X35,2,2010,New,All Buyer Types,346252.0
2769,X35,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2770,X35,2,2010,New,Household Buyer - Former Owner-Occupier,406629.0
2771,X35,2,2010,New,Household Buyer - Non-Occupier,225500.0
3328,X35,2,2010,Existing,All Buyer Types,320000.0
3329,X35,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,320000.0
3330,X35,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3331,X35,2,2010,Existing,Household Buyer - Non-Occupier,
3888,X35,3,2010,All Dwelling Statuses,All Buyer Types,228181.0
3889,X35,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
3890,X35,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,201250.0
3891,X35,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,235178.0
4448,X35,3,2010,New,All Buyer Types,241646.0
4449,X35,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
4450,X35,3,2010,New,Household Buyer - Former Owner-Occupier,
4451,X35,3,2010,New,Household Buyer - Non-Occupier,235178.0
5008,X35,3,2010,Existing,All Buyer Types,201250.0
5009,X35,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
5010,X35,3,2010,Existing,Household Buyer - Former Owner-Occupier,201250.0
5011,X35,3,2010,Existing,Household Buyer - Non-Occupier,
5568,X35,4,2010,All Dwelling Statuses,All Buyer Types,223306.0
5569,X35,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192000.0
5570,X35,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,311150.0
5571,X35,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,85000.0
6128,X35,4,2010,New,All Buyer Types,311150.0
6129,X35,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6130,X35,4,2010,New,Household Buyer - Former Owner-Occupier,311150.0
6131,X35,4,2010,New,Household Buyer - Non-Occupier,
6688,X35,4,2010,Existing,All Buyer Types,170600.0
6689,X35,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192000.0
6690,X35,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6691,X35,4,2010,Existing,Household Buyer - Non-Occupier,85000.0
7248,X35,5,2010,All Dwelling Statuses,All Buyer Types,261050.0
7249,X35,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
7250,X35,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7251,X35,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7808,X35,5,2010,New,All Buyer Types,261050.0
7809,X35,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
7810,X35,5,2010,New,Household Buyer - Former Owner-Occupier,
7811,X35,5,2010,New,Household Buyer - Non-Occupier,
8368,X35,5,2010,Existing,All Buyer Types,
8369,X35,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8370,X35,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8371,X35,5,2010,Existing,Household Buyer - Non-Occupier,
8928,X35,6,2010,All Dwelling Statuses,All Buyer Types,279729.0
8929,X35,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,241500.0
8930,X35,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,356188.0
8931,X35,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9488,X35,6,2010,New,All Buyer Types,314125.0
