,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
376,P47,1,2010,All Dwelling Statuses,All Buyer Types,395500.0
377,P47,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
378,P47,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,395500.0
379,P47,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
936,P47,1,2010,New,All Buyer Types,
937,P47,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
938,P47,1,2010,New,Household Buyer - Former Owner-Occupier,
939,P47,1,2010,New,Household Buyer - Non-Occupier,
1496,P47,1,2010,Existing,All Buyer Types,395500.0
1497,P47,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1498,P47,1,2010,Existing,Household Buyer - Former Owner-Occupier,395500.0
1499,P47,1,2010,Existing,Household Buyer - Non-Occupier,
2056,P47,2,2010,All Dwelling Statuses,All Buyer Types,303933.0
2057,P47,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
2058,P47,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,441799.0
2059,P47,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,270000.0
2616,P47,2,2010,New,All Buyer Types,441799.0
2617,P47,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2618,P47,2,2010,New,Household Buyer - Former Owner-Occupier,441799.0
2619,P47,2,2010,New,Household Buyer - Non-Occupier,
3176,P47,2,2010,Existing,All Buyer Types,235000.0
3177,P47,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
3178,P47,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3179,P47,2,2010,Existing,Household Buyer - Non-Occupier,270000.0
3736,P47,3,2010,All Dwelling Statuses,All Buyer Types,231667.0
3737,P47,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
3738,P47,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,325000.0
3739,P47,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4296,P47,3,2010,New,All Buyer Types,217000.0
4297,P47,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,217000.0
4298,P47,3,2010,New,Household Buyer - Former Owner-Occupier,
4299,P47,3,2010,New,Household Buyer - Non-Occupier,
4856,P47,3,2010,Existing,All Buyer Types,239000.0
4857,P47,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153000.0
4858,P47,3,2010,Existing,Household Buyer - Former Owner-Occupier,325000.0
4859,P47,3,2010,Existing,Household Buyer - Non-Occupier,
5416,P47,4,2010,All Dwelling Statuses,All Buyer Types,170873.0
5417,P47,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167500.0
5418,P47,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,266725.0
5419,P47,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,128006.0
5976,P47,4,2010,New,All Buyer Types,201369.0
5977,P47,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5978,P47,4,2010,New,Household Buyer - Former Owner-Occupier,266725.0
5979,P47,4,2010,New,Household Buyer - Non-Occupier,136012.0
6536,P47,4,2010,Existing,All Buyer Types,155625.0
6537,P47,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,167500.0
6538,P47,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6539,P47,4,2010,Existing,Household Buyer - Non-Occupier,120000.0
7096,P47,5,2010,All Dwelling Statuses,All Buyer Types,151720.0
7097,P47,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164300.0
7098,P47,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,162500.0
7099,P47,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,105000.0
7656,P47,5,2010,New,All Buyer Types,181600.0
7657,P47,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
7658,P47,5,2010,New,Household Buyer - Former Owner-Occupier,
7659,P47,5,2010,New,Household Buyer - Non-Occupier,
8216,P47,5,2010,Existing,All Buyer Types,144250.0
8217,P47,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,147000.0
8218,P47,5,2010,Existing,Household Buyer - Former Owner-Occupier,162500.0
8219,P47,5,2010,Existing,Household Buyer - Non-Occupier,105000.0
8776,P47,6,2010,All Dwelling Statuses,All Buyer Types,174750.0
8777,P47,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,285000.0
8778,P47,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,145000.0
8779,P47,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,124000.0
9336,P47,6,2010,New,All Buyer Types,
9337,P47,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9338,P47,6,2010,New,Household Buyer - Former Owner-Occupier,
9339,P47,6,2010,New,Household Buyer - Non-Occupier,
9896,P47,6,2010,Existing,All Buyer Types,174750.0
9897,P47,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,285000.0
9898,P47,6,2010,Existing,Household Buyer - Former Owner-Occupier,145000.0
9899,P47,6,2010,Existing,Household Buyer - Non-Occupier,124000.0
10456,P47,7,2010,All Dwelling Statuses,All Buyer Types,179748.0
10457,P47,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199698.0
10458,P47,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,80000.0
10459,P47,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11016,P47,7,2010,New,All Buyer Types,189497.0
11017,P47,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189497.0
11018,P47,7,2010,New,Household Buyer - Former Owner-Occupier,
11019,P47,7,2010,New,Household Buyer - Non-Occupier,
11576,P47,7,2010,Existing,All Buyer Types,170000.0
11577,P47,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
11578,P47,7,2010,Existing,Household Buyer - Former Owner-Occupier,80000.0
11579,P47,7,2010,Existing,Household Buyer - Non-Occupier,
12136,P47,8,2010,All Dwelling Statuses,All Buyer Types,
12137,P47,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
12138,P47,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
12139,P47,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12696,P47,8,2010,New,All Buyer Types,
12697,P47,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12698,P47,8,2010,New,Household Buyer - Former Owner-Occupier,
12699,P47,8,2010,New,Household Buyer - Non-Occupier,
13256,P47,8,2010,Existing,All Buyer Types,
13257,P47,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
13258,P47,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13259,P47,8,2010,Existing,Household Buyer - Non-Occupier,
13816,P47,9,2010,All Dwelling Statuses,All Buyer Types,266800.0
13817,P47,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,255700.0
13818,P47,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,289000.0
13819,P47,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14376,P47,9,2010,New,All Buyer Types,
14377,P47,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14378,P47,9,2010,New,Household Buyer - Former Owner-Occupier,
14379,P47,9,2010,New,Household Buyer - Non-Occupier,
14936,P47,9,2010,Existing,All Buyer Types,266800.0
14937,P47,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,255700.0
14938,P47,9,2010,Existing,Household Buyer - Former Owner-Occupier,289000.0
14939,P47,9,2010,Existing,Household Buyer - Non-Occupier,
15496,P47,10,2010,All Dwelling Statuses,All Buyer Types,510750.0
15497,P47,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
15498,P47,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,510750.0
15499,P47,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
16056,P47,10,2010,New,All Buyer Types,510750.0
16057,P47,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
16058,P47,10,2010,New,Household Buyer - Former Owner-Occupier,510750.0
16059,P47,10,2010,New,Household Buyer - Non-Occupier,
16616,P47,10,2010,Existing,All Buyer Types,
16617,P47,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
16618,P47,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16619,P47,10,2010,Existing,Household Buyer - Non-Occupier,
17176,P47,11,2010,All Dwelling Statuses,All Buyer Types,120000.0
17177,P47,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
17178,P47,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,120000.0
17179,P47,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17736,P47,11,2010,New,All Buyer Types,
17737,P47,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17738,P47,11,2010,New,Household Buyer - Former Owner-Occupier,
17739,P47,11,2010,New,Household Buyer - Non-Occupier,
18296,P47,11,2010,Existing,All Buyer Types,120000.0
18297,P47,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
18298,P47,11,2010,Existing,Household Buyer - Former Owner-Occupier,120000.0
18299,P47,11,2010,Existing,Household Buyer - Non-Occupier,
18856,P47,12,2010,All Dwelling Statuses,All Buyer Types,187694.0
18857,P47,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,221042.0
18858,P47,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
18859,P47,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121000.0
19416,P47,12,2010,New,All Buyer Types,221042.0
19417,P47,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,221042.0
19418,P47,12,2010,New,Household Buyer - Former Owner-Occupier,
19419,P47,12,2010,New,Household Buyer - Non-Occupier,
19976,P47,12,2010,Existing,All Buyer Types,121000.0
19977,P47,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
19978,P47,12,2010,Existing,Household Buyer - Former Owner-Occupier,
19979,P47,12,2010,Existing,Household Buyer - Non-Occupier,121000.0
20536,P47,1,2011,All Dwelling Statuses,All Buyer Types,237500.0
20537,P47,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,237500.0
20538,P47,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
20539,P47,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
21096,P47,1,2011,New,All Buyer Types,237500.0
21097,P47,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,237500.0
21098,P47,1,2011,New,Household Buyer - Former Owner-Occupier,
21099,P47,1,2011,New,Household Buyer - Non-Occupier,
21656,P47,1,2011,Existing,All Buyer Types,
21657,P47,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21658,P47,1,2011,Existing,Household Buyer - Former Owner-Occupier,
21659,P47,1,2011,Existing,Household Buyer - Non-Occupier,
22216,P47,2,2011,All Dwelling Statuses,All Buyer Types,306250.0
22217,P47,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,212499.0
22218,P47,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,400000.0
22219,P47,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
22776,P47,2,2011,New,All Buyer Types,306250.0
22777,P47,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,212499.0
22778,P47,2,2011,New,Household Buyer - Former Owner-Occupier,400000.0
22779,P47,2,2011,New,Household Buyer - Non-Occupier,
23336,P47,2,2011,Existing,All Buyer Types,
23337,P47,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
23338,P47,2,2011,Existing,Household Buyer - Former Owner-Occupier,
23339,P47,2,2011,Existing,Household Buyer - Non-Occupier,
23896,P47,3,2011,All Dwelling Statuses,All Buyer Types,311063.0
23897,P47,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
23898,P47,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,311063.0
23899,P47,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
24456,P47,3,2011,New,All Buyer Types,312125.0
24457,P47,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
24458,P47,3,2011,New,Household Buyer - Former Owner-Occupier,312125.0
24459,P47,3,2011,New,Household Buyer - Non-Occupier,
25016,P47,3,2011,Existing,All Buyer Types,310000.0
25017,P47,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
25018,P47,3,2011,Existing,Household Buyer - Former Owner-Occupier,310000.0
25019,P47,3,2011,Existing,Household Buyer - Non-Occupier,
25576,P47,4,2011,All Dwelling Statuses,All Buyer Types,153200.0
25577,P47,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
25578,P47,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,181250.0
