,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
44,A85,1,2010,All Dwelling Statuses,All Buyer Types,410000.0
45,A85,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
46,A85,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,410000.0
47,A85,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
604,A85,1,2010,New,All Buyer Types,
605,A85,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
606,A85,1,2010,New,Household Buyer - Former Owner-Occupier,
607,A85,1,2010,New,Household Buyer - Non-Occupier,
1164,A85,1,2010,Existing,All Buyer Types,410000.0
1165,A85,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1166,A85,1,2010,Existing,Household Buyer - Former Owner-Occupier,410000.0
1167,A85,1,2010,Existing,Household Buyer - Non-Occupier,
1724,A85,2,2010,All Dwelling Statuses,All Buyer Types,264875.0
1725,A85,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,202000.0
1726,A85,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,327750.0
1727,A85,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2284,A85,2,2010,New,All Buyer Types,327750.0
2285,A85,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2286,A85,2,2010,New,Household Buyer - Former Owner-Occupier,327750.0
2287,A85,2,2010,New,Household Buyer - Non-Occupier,
2844,A85,2,2010,Existing,All Buyer Types,202000.0
2845,A85,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202000.0
2846,A85,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2847,A85,2,2010,Existing,Household Buyer - Non-Occupier,
3404,A85,3,2010,All Dwelling Statuses,All Buyer Types,282815.0
3405,A85,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,278075.0
3406,A85,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,284000.0
3407,A85,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3964,A85,3,2010,New,All Buyer Types,314038.0
3965,A85,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,278075.0
3966,A85,3,2010,New,Household Buyer - Former Owner-Occupier,350000.0
3967,A85,3,2010,New,Household Buyer - Non-Occupier,
4524,A85,3,2010,Existing,All Buyer Types,262000.0
4525,A85,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4526,A85,3,2010,Existing,Household Buyer - Former Owner-Occupier,262000.0
4527,A85,3,2010,Existing,Household Buyer - Non-Occupier,
5084,A85,4,2010,All Dwelling Statuses,All Buyer Types,335175.0
5085,A85,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,465350.0
5086,A85,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,205000.0
5087,A85,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5644,A85,4,2010,New,All Buyer Types,465350.0
5645,A85,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,465350.0
5646,A85,4,2010,New,Household Buyer - Former Owner-Occupier,
5647,A85,4,2010,New,Household Buyer - Non-Occupier,
6204,A85,4,2010,Existing,All Buyer Types,205000.0
6205,A85,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6206,A85,4,2010,Existing,Household Buyer - Former Owner-Occupier,205000.0
6207,A85,4,2010,Existing,Household Buyer - Non-Occupier,
6764,A85,5,2010,All Dwelling Statuses,All Buyer Types,357950.0
6765,A85,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,334250.0
6766,A85,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,393500.0
6767,A85,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7324,A85,5,2010,New,All Buyer Types,265000.0
7325,A85,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,197500.0
7326,A85,5,2010,New,Household Buyer - Former Owner-Occupier,400001.0
7327,A85,5,2010,New,Household Buyer - Non-Occupier,
7884,A85,5,2010,Existing,All Buyer Types,397786.0
7885,A85,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,402625.0
7886,A85,5,2010,Existing,Household Buyer - Former Owner-Occupier,391333.0
7887,A85,5,2010,Existing,Household Buyer - Non-Occupier,
8444,A85,6,2010,All Dwelling Statuses,All Buyer Types,261083.0
8445,A85,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,271545.0
8446,A85,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,146000.0
8447,A85,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9004,A85,6,2010,New,All Buyer Types,
9005,A85,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9006,A85,6,2010,New,Household Buyer - Former Owner-Occupier,
9007,A85,6,2010,New,Household Buyer - Non-Occupier,
9564,A85,6,2010,Existing,All Buyer Types,261083.0
9565,A85,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,271545.0
9566,A85,6,2010,Existing,Household Buyer - Former Owner-Occupier,146000.0
9567,A85,6,2010,Existing,Household Buyer - Non-Occupier,
10124,A85,7,2010,All Dwelling Statuses,All Buyer Types,280200.0
10125,A85,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,246000.0
10126,A85,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,331500.0
10127,A85,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10684,A85,7,2010,New,All Buyer Types,
10685,A85,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
10686,A85,7,2010,New,Household Buyer - Former Owner-Occupier,
10687,A85,7,2010,New,Household Buyer - Non-Occupier,
11244,A85,7,2010,Existing,All Buyer Types,280200.0
11245,A85,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,246000.0
11246,A85,7,2010,Existing,Household Buyer - Former Owner-Occupier,331500.0
11247,A85,7,2010,Existing,Household Buyer - Non-Occupier,
11804,A85,8,2010,All Dwelling Statuses,All Buyer Types,280336.0
11805,A85,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,323825.0
11806,A85,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,222350.0
11807,A85,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12364,A85,8,2010,New,All Buyer Types,402925.0
12365,A85,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
12366,A85,8,2010,New,Household Buyer - Former Owner-Occupier,488050.0
12367,A85,8,2010,New,Household Buyer - Non-Occupier,
12924,A85,8,2010,Existing,All Buyer Types,231300.0
12925,A85,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,325833.0
12926,A85,8,2010,Existing,Household Buyer - Former Owner-Occupier,89500.0
12927,A85,8,2010,Existing,Household Buyer - Non-Occupier,
13484,A85,9,2010,All Dwelling Statuses,All Buyer Types,279905.0
13485,A85,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,264756.0
13486,A85,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340500.0
13487,A85,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14044,A85,9,2010,New,All Buyer Types,292263.0
14045,A85,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244025.0
14046,A85,9,2010,New,Household Buyer - Former Owner-Occupier,340500.0
14047,A85,9,2010,New,Household Buyer - Non-Occupier,
14604,A85,9,2010,Existing,All Buyer Types,271667.0
14605,A85,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,271667.0
14606,A85,9,2010,Existing,Household Buyer - Former Owner-Occupier,
14607,A85,9,2010,Existing,Household Buyer - Non-Occupier,
15164,A85,10,2010,All Dwelling Statuses,All Buyer Types,296500.0
15165,A85,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,296500.0
15166,A85,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15167,A85,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
15724,A85,10,2010,New,All Buyer Types,
15725,A85,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15726,A85,10,2010,New,Household Buyer - Former Owner-Occupier,
15727,A85,10,2010,New,Household Buyer - Non-Occupier,
16284,A85,10,2010,Existing,All Buyer Types,296500.0
16285,A85,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,296500.0
16286,A85,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16287,A85,10,2010,Existing,Household Buyer - Non-Occupier,
16844,A85,11,2010,All Dwelling Statuses,All Buyer Types,198700.0
16845,A85,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,144250.0
16846,A85,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207500.0
16847,A85,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,290000.0
17404,A85,11,2010,New,All Buyer Types,137833.0
17405,A85,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,144250.0
17406,A85,11,2010,New,Household Buyer - Former Owner-Occupier,125000.0
17407,A85,11,2010,New,Household Buyer - Non-Occupier,
17964,A85,11,2010,Existing,All Buyer Types,290000.0
17965,A85,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
